uptime_s,current_a
68572.566000,0.375500000
68572.768000,0.375200000
68572.970000,0.376500000
68573.171000,0.375500000
68573.373000,0.376350000
68573.575000,0.375300000
68573.777000,0.380850000
68573.979000,0.376000000
68574.180000,0.376350000
68574.382000,0.374750000
68574.584000,0.340050000
68574.786000,0.340500000
68574.988000,0.334850000
68575.189000,0.330150000
68575.391000,0.330500000
68575.593000,0.376500000
68575.795000,0.418650000
68575.997000,0.339300000
68576.198000,0.376150000
68576.400000,0.375100000
68576.602000,0.375900000
68576.804000,0.377600000
68577.006000,0.381300000
68577.207000,0.377400000
68577.409000,0.378550000
68577.611000,0.375800000
68577.813000,0.376700000
68578.015000,0.375900000
68578.216000,0.377450000
68578.418000,0.375900000
68578.620000,0.375950000
68578.822000,0.330200000
68579.024000,0.330250000
68579.225000,0.329950000
68579.427000,0.330050000
68579.629000,0.330950000
68579.831000,0.330700000
68580.033000,0.330700000
68580.234000,0.330200000
68580.436000,0.330600000
68580.638000,0.331200000
68580.840000,0.330350000
68581.042000,0.330000000
68581.243000,0.329900000
68581.445000,0.330500000
68581.647000,0.330100000
68581.849000,0.330300000
68582.051000,0.330350000
68582.252000,0.330850000
68582.454000,0.454250000
68582.656000,1.298700000
68582.858000,1.083450000
68583.060000,1.106800000
68583.261000,1.217200000
68583.463000,0.697950000
68583.665000,1.175900000
68583.867000,1.147500000
68584.069000,1.255550000
68584.270000,1.399400000
68584.472000,1.312900000
68584.674000,1.352650000
68584.876000,1.380800000
68585.078000,1.226100000
68585.279000,1.060450000
68585.481000,1.338650000
68585.683000,0.976650000
68585.885000,1.097600000
68586.087000,1.108500000
68586.288000,1.175500000
68586.490000,1.362950000
68586.692000,1.252250000
68586.894000,0.514050000
68587.096000,0.470750000
68587.297000,0.471350000
68587.499000,0.475450000
68587.701000,0.474400000
68587.903000,0.469600000
68588.105000,0.470450000
68588.306000,0.470450000
68588.508000,0.468600000
68588.710000,0.469250000
68588.912000,0.468950000
68589.114000,0.423250000
68589.315000,0.423250000
68589.517000,0.446450000
68589.719000,0.432750000
68589.921000,0.423250000
68590.123000,0.423450000
68590.324000,0.422950000
68590.526000,0.422400000
68590.728000,0.424200000
68590.930000,0.422600000
68591.132000,0.423350000
68591.333000,0.423000000
68591.535000,0.422800000
68591.737000,0.423400000
68591.939000,0.423450000
68592.141000,0.422400000
68592.342000,0.422600000
68592.544000,0.436400000
68592.746000,0.332250000
68592.948000,0.332650000
68593.150000,0.333150000
68593.351000,0.331900000
68593.553000,0.331900000
68593.755000,0.332650000
68593.957000,0.332150000
68594.159000,0.334300000
68594.360000,0.332300000
68594.562000,0.331800000
68594.764000,0.331750000
68594.966000,0.331700000
68595.168000,0.368500000
68595.369000,0.331700000
68595.571000,0.330950000
68595.773000,0.331950000
68595.975000,0.331750000
68596.177000,0.331850000
68596.378000,0.349600000
68596.580000,0.341750000
68596.782000,0.331900000
