uptime_s,current_a
68417.785000,0.376300000
68417.987000,0.414250000
68418.189000,0.376600000
68418.391000,0.376900000
68418.593000,0.382150000
68418.794000,0.376900000
68418.996000,0.376050000
68419.198000,0.376050000
68419.400000,0.377250000
68419.602000,0.376500000
68419.803000,0.332250000
68420.005000,0.331900000
68420.207000,0.331650000
68420.409000,0.331500000
68420.611000,0.331500000
68420.812000,0.350100000
68421.014000,0.332250000
68421.216000,0.331850000
68421.418000,0.331100000
68421.620000,0.331800000
68421.821000,0.332400000
68422.023000,0.331450000
68422.225000,0.331450000
68422.427000,0.330750000
68422.629000,0.330800000
68422.830000,0.331950000
68423.032000,0.331350000
68423.234000,0.331300000
68423.436000,0.331100000
68423.638000,0.331300000
68423.839000,0.343350000
68424.041000,0.341650000
68424.243000,0.331750000
68424.445000,0.377750000
68424.647000,0.340050000
68424.848000,0.331550000
68425.050000,0.330950000
68425.252000,0.331600000
68425.454000,0.331100000
68425.656000,0.331150000
68425.857000,0.331500000
68426.059000,0.330950000
68426.261000,0.331200000
68426.463000,0.331900000
68426.665000,0.331400000
68426.866000,0.331350000
68427.068000,0.332000000
68427.270000,0.331150000
68427.472000,0.333200000
68427.674000,0.877900000
68427.875000,1.411500000
68428.077000,1.367700000
68428.279000,1.437850000
68428.481000,0.988900000
68428.683000,1.427700000
68428.884000,1.346100000
68429.086000,1.432050000
68429.288000,0.683200000
68429.490000,1.360200000
68429.692000,0.469700000
68429.893000,0.477400000
68430.095000,0.476400000
68430.297000,0.469500000
68430.499000,0.470050000
68430.701000,0.469950000
68430.902000,0.468650000
68431.104000,0.469200000
68431.306000,0.469850000
68431.508000,0.468450000
68431.710000,0.469100000
68431.911000,0.469500000
68432.113000,0.423050000
68432.315000,0.422900000
68432.517000,0.422750000
68432.719000,0.422750000
68432.920000,0.422850000
68433.122000,0.387300000
68433.324000,0.378550000
68433.526000,0.377500000
68433.728000,0.377800000
68433.929000,0.377600000
68434.131000,0.376750000
68434.333000,0.379700000
68434.535000,0.377350000
68434.737000,0.378500000
68434.938000,0.377500000
68435.140000,0.377700000
68435.342000,0.331700000
68435.544000,0.377700000
68435.746000,0.376550000
68435.947000,0.376650000
68436.149000,0.377300000
68436.351000,0.377200000
68436.553000,0.377400000
68436.755000,0.377050000
68436.956000,0.388050000
68437.158000,0.378650000
68437.360000,0.414350000
68437.562000,0.331050000
68437.764000,0.376950000
68437.965000,0.381900000
68438.167000,0.380150000
68438.369000,0.377950000
68438.571000,0.376500000
68438.773000,0.379400000
68438.974000,0.380200000
68439.176000,0.376450000
68439.378000,0.376600000
68439.580000,0.377400000
