uptime_s,current_a
22787.577000,0.382750000
22787.778000,0.381800000
22787.980000,0.382150000
22788.182000,0.381900000
22788.384000,0.391150000
22788.586000,0.383050000
22788.787000,0.381750000
22788.989000,0.382200000
22789.191000,0.418550000
22789.393000,0.382250000
22789.595000,0.336450000
22789.796000,0.336400000
22789.998000,0.337100000
22790.200000,0.336050000
22790.402000,0.336000000
22790.604000,0.336550000
22790.805000,0.336400000
22791.007000,0.338400000
22791.209000,0.335900000
22791.411000,0.339650000
22791.613000,0.335850000
22791.814000,0.336150000
22792.016000,0.336800000
22792.218000,0.336100000
22792.420000,0.336750000
22792.622000,0.336050000
22792.823000,0.336750000
22793.025000,0.382150000
22793.227000,0.382100000
22793.429000,0.383050000
22793.631000,0.388150000
22793.832000,0.380850000
22794.034000,0.382000000
22794.236000,0.382450000
22794.438000,0.383150000
22794.640000,0.383450000
22794.841000,0.384550000
22795.043000,0.381400000
22795.245000,0.376500000
22795.447000,0.346100000
22795.649000,0.336350000
22795.850000,0.335950000
22796.052000,0.336100000
22796.254000,0.336250000
22796.456000,0.336100000
22796.658000,0.336150000
22796.859000,0.336050000
22797.061000,0.336450000
22797.263000,0.335500000
22797.465000,0.467100000
22797.667000,1.398200000
22797.868000,1.391000000
22798.070000,1.235250000
22798.272000,0.679100000
22798.474000,1.329500000
22798.676000,1.374200000
22798.877000,1.390800000
22799.079000,1.356800000
22799.281000,1.376400000
22799.483000,0.495400000
22799.685000,0.476600000
22799.886000,0.476150000
22800.088000,0.477000000
22800.290000,0.474550000
22800.492000,0.481350000
22800.694000,0.475500000
22800.895000,0.475200000
22801.097000,0.476000000
22801.299000,0.475250000
22801.501000,0.474150000
22801.703000,0.474100000
22801.904000,0.474350000
22802.106000,0.475100000
22802.308000,0.474100000
22802.510000,0.474150000
22802.712000,0.436650000
22802.913000,0.337400000
22803.115000,0.338050000
22803.317000,0.337300000
22803.519000,0.338600000
22803.721000,0.337150000
22803.922000,0.337100000
22804.124000,0.336950000
22804.326000,0.337200000
22804.528000,0.337500000
22804.730000,0.336850000
22804.931000,0.336700000
22805.133000,0.337000000
22805.335000,0.337100000
22805.537000,0.336700000
22805.739000,0.375250000
22805.940000,0.336450000
22806.142000,0.336800000
22806.344000,0.336600000
22806.546000,0.336350000
22806.748000,0.336950000
22806.949000,0.336500000
22807.151000,0.336600000
22807.353000,0.335800000
22807.555000,0.381600000
22807.757000,0.382050000
22807.958000,0.382350000
22808.160000,0.381750000
22808.362000,0.400650000
22808.564000,0.421250000
22808.766000,0.382950000
22808.967000,0.381900000
22809.169000,0.381950000
22809.371000,0.381350000
