uptime_s,current_a
38021.257000,0.382900000
38021.459000,0.383200000
38021.660000,0.383050000
38021.862000,0.383100000
38022.064000,0.383700000
38022.266000,0.383600000
38022.468000,0.389650000
38022.669000,0.383700000
38022.871000,0.383600000
38023.073000,0.383050000
38023.275000,0.384900000
38023.477000,0.348350000
38023.678000,0.337500000
38023.880000,0.338700000
38024.082000,0.337750000
38024.284000,0.338300000
38024.486000,0.338700000
38024.687000,0.338000000
38024.889000,0.337900000
38025.091000,0.337850000
38025.293000,0.338000000
38025.495000,0.374800000
38025.696000,0.337500000
38025.898000,0.337450000
38026.100000,0.337900000
38026.302000,0.337400000
38026.504000,0.337650000
38026.705000,0.337350000
38026.907000,0.338950000
38027.109000,0.337750000
38027.311000,0.337800000
38027.513000,0.337800000
38027.714000,0.337650000
38027.916000,0.337600000
38028.118000,0.337500000
38028.320000,0.374550000
38028.522000,0.337850000
38028.723000,0.336450000
38028.925000,0.337450000
38029.127000,0.383150000
38029.329000,0.383150000
38029.531000,0.384200000
38029.732000,0.383250000
38029.934000,0.385200000
38030.136000,0.382700000
38030.338000,0.383150000
38030.540000,0.382950000
38030.741000,0.383200000
38030.943000,0.382400000
38031.145000,0.704850000
38031.347000,1.404850000
38031.549000,1.408250000
38031.750000,0.730200000
38031.952000,1.410150000
38032.154000,1.164900000
38032.356000,1.127450000
38032.558000,1.419450000
38032.759000,1.410250000
38032.961000,1.295700000
38033.163000,0.477350000
38033.365000,0.477150000
38033.567000,0.477000000
38033.768000,0.477350000
38033.970000,0.476650000
38034.172000,0.476250000
38034.374000,0.475850000
38034.576000,0.477650000
38034.777000,0.483200000
38034.979000,0.476800000
38035.181000,0.475250000
38035.383000,0.477150000
38035.585000,0.477100000
38035.786000,0.476250000
38035.988000,0.474700000
38036.190000,0.438250000
38036.392000,0.438600000
38036.594000,0.475400000
38036.795000,0.384950000
38036.997000,0.385500000
38037.199000,0.354350000
38037.401000,0.338900000
38037.603000,0.338450000
38037.804000,0.338500000
38038.006000,0.338800000
38038.208000,0.338200000
38038.410000,0.338700000
38038.612000,0.340250000
38038.813000,0.338500000
38039.015000,0.338450000
38039.217000,0.337600000
38039.419000,0.374850000
38039.621000,0.337450000
38039.822000,0.338400000
38040.024000,0.383000000
38040.226000,0.383550000
38040.428000,0.384150000
38040.630000,0.383150000
38040.831000,0.384750000
38041.033000,0.383600000
38041.235000,0.383600000
38041.437000,0.382850000
38041.639000,0.383400000
38041.840000,0.383150000
38042.042000,0.337550000
38042.244000,0.337650000
38042.446000,0.337200000
38042.648000,0.337050000
38042.849000,0.337350000
