uptime_s,current_a
53408.305000,0.381200000
53408.507000,0.374850000
53408.709000,0.380500000
53408.910000,0.375950000
53409.112000,0.385250000
53409.314000,0.374350000
53409.516000,0.373900000
53409.718000,0.374450000
53409.919000,0.377550000
53410.121000,0.374250000
53410.323000,0.374250000
53410.525000,0.329800000
53410.727000,0.330200000
53410.928000,0.330150000
53411.130000,0.330150000
53411.332000,0.330650000
53411.534000,0.330400000
53411.736000,0.329650000
53411.937000,0.329650000
53412.139000,0.329950000
53412.341000,0.330850000
53412.543000,0.330650000
53412.745000,0.329500000
53412.946000,0.329950000
53413.148000,0.330300000
53413.350000,0.329700000
53413.552000,0.332100000
53413.754000,0.374500000
53413.955000,0.374850000
53414.157000,0.412050000
53414.359000,0.384250000
53414.561000,0.375350000
53414.763000,0.380750000
53414.964000,0.377700000
53415.166000,0.374950000
53415.368000,0.376350000
53415.570000,0.375550000
53415.772000,0.329300000
53415.973000,0.329600000
53416.175000,0.334700000
53416.377000,0.375700000
53416.579000,0.339900000
53416.781000,0.329800000
53416.982000,0.330000000
53417.184000,0.330150000
53417.386000,0.329700000
53417.588000,0.329500000
53417.790000,0.329600000
53417.991000,0.330150000
53418.193000,0.329550000
53418.395000,0.838350000
53418.597000,0.893550000
53418.799000,0.999900000
53419.000000,0.930550000
53419.202000,0.904100000
53419.404000,1.090900000
53419.606000,0.939200000
53419.808000,1.002800000
53420.009000,0.705900000
53420.211000,1.052250000
53420.413000,0.821550000
53420.615000,1.250700000
53420.817000,0.701500000
53421.018000,0.690950000
53421.220000,0.706500000
53421.422000,0.705900000
53421.624000,0.688850000
53421.826000,0.696550000
53422.027000,0.697400000
53422.229000,0.696350000
53422.431000,0.741100000
53422.633000,0.694750000
53422.835000,0.689550000
53423.036000,0.695400000
53423.238000,0.687750000
53423.440000,0.922650000
53423.642000,1.054650000
53423.844000,0.691750000
53424.045000,1.225150000
53424.247000,1.337400000
53424.449000,1.126250000
53424.651000,1.052850000
53424.853000,0.840950000
53425.054000,1.048100000
53425.256000,1.130750000
53425.458000,1.055850000
53425.660000,1.082800000
53425.862000,1.036850000
53426.063000,0.897750000
53426.265000,1.182250000
53426.467000,0.929500000
53426.669000,0.970300000
53426.871000,1.009500000
53427.072000,0.853550000
53427.274000,1.118400000
53427.476000,0.893350000
53427.678000,0.932050000
53427.880000,0.639350000
53428.081000,1.060900000
53428.283000,1.090550000
53428.485000,0.984150000
53428.687000,1.041600000
53428.889000,0.995450000
53429.090000,0.712100000
53429.292000,0.698700000
53429.494000,0.709550000
53429.696000,0.711400000
53429.898000,0.700200000
53430.099000,0.716250000
53430.301000,0.713450000
53430.503000,0.710050000
53430.705000,0.711950000
53430.907000,0.704900000
53431.108000,0.676300000
53431.310000,0.709650000
53431.512000,0.732300000
53431.714000,0.711950000
53431.916000,0.713400000
53432.117000,0.713850000
53432.319000,0.706200000
53432.521000,0.713350000
53432.723000,0.698450000
53432.925000,0.710950000
53433.126000,0.702500000
53433.328000,0.702550000
53433.530000,0.736400000
53433.732000,0.699650000
53433.934000,0.699450000
53434.135000,0.703950000
53434.337000,0.699800000
53434.539000,0.715500000
53434.741000,0.708700000
53434.943000,0.701950000
53435.144000,0.711400000
53435.346000,0.700500000
53435.548000,0.694900000
53435.750000,0.700750000
53435.952000,1.228650000
53436.153000,1.065150000
53436.355000,1.004900000
53436.557000,0.881150000
53436.759000,1.049200000
53436.961000,1.056200000
53437.162000,1.168500000
53437.364000,1.051250000
53437.566000,1.069100000
53437.768000,1.052800000
53437.970000,0.937350000
53438.171000,1.240250000
53438.373000,1.154000000
53438.575000,1.100200000
53438.777000,1.016500000
53438.979000,0.976100000
53439.180000,0.911850000
53439.382000,0.713550000
53439.584000,0.709150000
53439.786000,0.714350000
53439.988000,0.711700000
53440.189000,0.713350000
53440.391000,0.703600000
53440.593000,0.700150000
53440.795000,0.701450000
53440.997000,0.697300000
53441.198000,1.236100000
53441.400000,0.931800000
53441.602000,1.057700000
53441.804000,1.011750000
53442.006000,1.281200000
53442.207000,1.321900000
53442.409000,1.141850000
53442.611000,1.195600000
53442.813000,1.272350000
53443.015000,1.049000000
53443.216000,1.323450000
53443.418000,1.212000000
53443.620000,1.324900000
53443.822000,0.719300000
53444.024000,1.412300000
53444.225000,0.937500000
53444.427000,1.055300000
53444.629000,1.063950000
53444.831000,0.473100000
53445.033000,0.475200000
53445.234000,0.473150000
53445.436000,0.472600000
53445.638000,0.471900000
53445.840000,0.472350000
53446.042000,0.472700000
53446.243000,0.471450000
53446.445000,0.470750000
53446.647000,0.472050000
53446.849000,0.426450000
53447.051000,0.425900000
53447.252000,0.425550000
53447.454000,0.426000000
53447.656000,0.425250000
53447.858000,0.425550000
53448.060000,0.425900000
53448.261000,0.425400000
53448.463000,0.384750000
53448.665000,0.384750000
53448.867000,0.334400000
53449.069000,0.334750000
53449.270000,0.334200000
53449.472000,0.335700000
53449.674000,0.333700000
53449.876000,0.333300000
53450.078000,0.334400000
53450.279000,0.334300000
53450.481000,0.382650000
53450.683000,0.379750000
53450.885000,0.380250000
53451.087000,0.342700000
53451.288000,0.333950000
53451.490000,0.333350000
53451.692000,0.333700000
53451.894000,0.333100000
53452.096000,0.333250000
53452.297000,0.333200000
53452.499000,0.333700000
53452.701000,0.334200000
53452.903000,0.369800000
53453.105000,0.335300000
53453.306000,0.332850000
53453.508000,0.333000000
53453.710000,0.333750000
53453.912000,0.333000000
53454.114000,0.332900000
53454.315000,0.332850000
53454.517000,0.333150000
53454.719000,0.389200000
