uptime_s,current_a
31948.288000,0.410600000
31948.489000,0.372250000
31948.691000,0.372200000
31948.893000,0.372000000
31949.095000,0.371350000
31949.297000,0.372400000
31949.498000,0.371250000
31949.700000,0.372700000
31949.902000,0.372050000
31950.104000,0.372350000
31950.306000,0.329950000
31950.507000,0.327550000
31950.709000,0.327200000
31950.911000,0.327250000
31951.113000,0.327550000
31951.315000,0.327600000
31951.516000,0.327700000
31951.718000,0.327550000
31951.920000,0.328350000
31952.122000,0.374700000
31952.324000,0.336300000
31952.525000,0.327500000
31952.727000,0.328750000
31952.929000,0.327250000
31953.131000,0.327250000
31953.333000,0.327450000
31953.534000,0.327350000
31953.736000,0.327500000
31953.938000,0.327700000
31954.140000,0.337850000
31954.342000,0.327450000
31954.543000,0.327400000
31954.745000,0.327100000
31954.947000,0.327400000
31955.149000,0.327850000
31955.351000,0.327200000
31955.552000,0.328300000
31955.754000,0.327600000
31955.956000,0.327350000
31956.158000,0.327950000
31956.360000,0.327450000
31956.561000,0.364650000
31956.763000,0.327150000
31956.965000,0.328050000
31957.167000,0.327300000
31957.369000,0.372550000
31957.570000,0.375500000
31957.772000,0.372850000
31957.974000,0.371450000
31958.176000,0.723250000
31958.378000,1.455900000
31958.579000,1.452700000
31958.781000,1.023050000
31958.983000,1.429600000
31959.185000,1.447150000
31959.387000,1.043900000
31959.588000,1.385750000
31959.790000,1.458400000
31959.992000,1.023500000
31960.194000,1.138150000
31960.396000,1.445050000
31960.597000,1.014150000
31960.799000,1.166300000
31961.001000,1.440450000
31961.203000,1.001650000
31961.405000,1.226800000
31961.606000,1.425800000
31961.808000,1.019250000
31962.010000,1.229950000
31962.212000,1.417450000
31962.414000,1.042950000
31962.615000,1.227200000
31962.817000,1.421300000
31963.019000,1.049150000
31963.221000,1.237050000
31963.423000,1.390900000
31963.624000,1.031700000
31963.826000,1.236400000
31964.028000,1.464350000
31964.230000,1.159850000
31964.432000,1.237750000
31964.633000,1.364300000
31964.835000,1.032250000
31965.037000,1.244000000
31965.239000,1.306850000
31965.441000,1.252200000
31965.642000,1.219300000
31965.844000,1.418550000
31966.046000,1.035650000
31966.248000,1.234750000
31966.450000,1.411250000
31966.651000,1.040300000
31966.853000,1.235000000
31967.055000,1.405550000
31967.257000,1.047750000
31967.459000,0.825050000
31967.660000,1.465100000
31967.862000,1.040300000
31968.064000,1.314200000
31968.266000,1.457200000
31968.468000,1.024950000
31968.669000,1.482900000
31968.871000,1.444000000
31969.073000,1.183250000
31969.275000,1.021650000
31969.477000,1.491450000
31969.678000,1.437600000
31969.880000,1.017700000
31970.082000,1.408800000
31970.284000,1.453550000
31970.486000,1.052950000
31970.687000,1.454300000
31970.889000,1.445650000
31971.091000,1.046300000
31971.293000,1.458400000
31971.495000,1.393150000
31971.696000,1.014100000
31971.898000,1.440750000
31972.100000,1.472950000
31972.302000,1.028950000
31972.504000,1.268050000
31972.705000,1.449800000
31972.907000,1.047350000
31973.109000,1.462250000
31973.311000,1.386750000
31973.513000,1.445000000
31973.714000,1.459800000
31973.916000,1.469950000
31974.118000,1.133150000
31974.320000,1.475950000
31974.522000,1.417050000
31974.723000,1.064000000
31974.925000,1.102750000
31975.127000,1.450100000
31975.329000,1.059200000
31975.531000,0.935300000
31975.732000,1.475400000
31975.934000,1.095500000
31976.136000,1.073000000
31976.338000,1.491650000
31976.540000,1.035850000
31976.741000,1.473550000
31976.943000,1.466650000
31977.145000,1.022700000
31977.347000,1.471650000
31977.549000,1.467050000
31977.750000,0.477700000
31977.952000,0.475200000
31978.154000,0.474300000
31978.356000,0.473600000
31978.558000,0.472900000
31978.759000,0.471400000
31978.961000,0.472150000
31979.163000,0.472500000
31979.365000,0.471350000
31979.567000,0.470500000
31979.768000,0.471350000
31979.970000,0.425050000
31980.172000,0.425600000
31980.374000,0.424550000
31980.576000,0.424750000
31980.777000,0.424800000
31980.979000,0.424150000
31981.181000,0.423900000
31981.383000,0.423850000
31981.585000,0.423900000
31981.786000,0.423350000
31981.988000,0.469300000
31982.190000,0.468700000
31982.392000,0.469000000
31982.594000,0.470300000
31982.795000,0.469350000
31982.997000,0.468850000
31983.199000,0.467700000
31983.401000,0.381050000
31983.603000,0.379450000
31983.804000,0.378550000
31984.006000,0.332750000
31984.208000,0.370450000
31984.410000,0.332850000
31984.612000,0.332450000
31984.813000,0.332500000
31985.015000,0.332300000
31985.217000,0.331950000
31985.419000,0.331900000
31985.621000,0.331700000
31985.822000,0.331750000
31986.024000,0.331550000
31986.226000,0.331700000
31986.428000,0.377450000
31986.630000,0.371150000
31986.831000,0.336450000
31987.033000,0.370400000
31987.235000,0.331200000
31987.437000,0.331000000
31987.639000,0.382950000
