uptime_s,current_a
31544.284000,0.372150000
31544.486000,0.374450000
31544.688000,0.371150000
31544.889000,0.371100000
31545.091000,0.407500000
31545.293000,0.371300000
31545.495000,0.371250000
31545.697000,0.371250000
31545.898000,0.370900000
31546.100000,0.348100000
31546.302000,0.373150000
31546.504000,0.326900000
31546.706000,0.326150000
31546.907000,0.326600000
31547.109000,0.327500000
31547.311000,0.326400000
31547.513000,0.326700000
31547.715000,0.326850000
31547.916000,0.325450000
31548.118000,0.301000000
31548.320000,0.326600000
31548.522000,0.337250000
31548.724000,0.326400000
31548.925000,0.327000000
31549.127000,0.326600000
31549.329000,0.326250000
31549.531000,0.326850000
31549.733000,0.326300000
31549.934000,0.327700000
31550.136000,0.326150000
31550.338000,0.326000000
31550.540000,0.388950000
31550.742000,0.370700000
31550.943000,0.371850000
31551.145000,0.371000000
31551.347000,0.372100000
31551.549000,0.371600000
31551.751000,0.375300000
31551.952000,0.371050000
31552.154000,0.371450000
31552.356000,0.371100000
31552.558000,0.371250000
31552.760000,0.371400000
31552.961000,0.370650000
31553.163000,0.370550000
31553.365000,0.411100000
31553.567000,0.371600000
31553.769000,0.370850000
31553.970000,0.370650000
31554.172000,0.369950000
31554.374000,1.141600000
31554.576000,1.405850000
31554.778000,1.015850000
31554.979000,1.402000000
31555.181000,1.483250000
31555.383000,1.027150000
31555.585000,1.432750000
31555.787000,1.414250000
31555.988000,1.007550000
31556.190000,1.226250000
31556.392000,1.361300000
31556.594000,1.028800000
31556.796000,1.486300000
31556.997000,1.455050000
31557.199000,1.038200000
31557.401000,1.489700000
31557.603000,1.454600000
31557.805000,1.105050000
31558.006000,1.457900000
31558.208000,1.431900000
31558.410000,1.439600000
31558.612000,1.486350000
31558.814000,1.362550000
31559.015000,1.043050000
31559.217000,1.460450000
31559.419000,1.468500000
31559.621000,1.024500000
31559.823000,1.489550000
31560.024000,1.393100000
31560.226000,1.053850000
31560.428000,1.425200000
31560.630000,1.477200000
31560.832000,1.056650000
31561.033000,1.454000000
31561.235000,1.005600000
31561.437000,1.091400000
31561.639000,1.441900000
31561.841000,1.030000000
31562.042000,1.272600000
31562.244000,1.468300000
31562.446000,1.050350000
31562.648000,1.221750000
31562.850000,1.446050000
31563.051000,1.065500000
31563.253000,1.234450000
31563.455000,1.396700000
31563.657000,1.024550000
31563.859000,1.105050000
31564.060000,1.597800000
31564.262000,1.071000000
31564.464000,1.506000000
31564.666000,1.500000000
31564.868000,1.491100000
31565.069000,1.469350000
31565.271000,1.497450000
31565.473000,1.111800000
31565.675000,1.498800000
31565.877000,1.460000000
31566.078000,1.047800000
31566.280000,1.486100000
31566.482000,1.354550000
31566.684000,1.109700000
31566.886000,1.461000000
31567.087000,1.452700000
31567.289000,1.050250000
31567.491000,1.448900000
31567.693000,1.498300000
31567.895000,1.045600000
31568.096000,1.458100000
31568.298000,1.479850000
31568.500000,1.045700000
31568.702000,1.485600000
31568.904000,1.467850000
31569.105000,1.031900000
31569.307000,1.442600000
31569.509000,1.034400000
31569.711000,1.379600000
31569.913000,1.484700000
31570.114000,1.018600000
31570.316000,1.246300000
31570.518000,1.498000000
31570.720000,1.044500000
31570.922000,1.219900000
31571.123000,1.471500000
31571.325000,1.061200000
31571.527000,1.240700000
31571.729000,1.260900000
31571.931000,1.058100000
31572.132000,1.474400000
31572.334000,1.522500000
31572.536000,1.079100000
31572.738000,1.512300000
31572.940000,1.513700000
31573.141000,1.058400000
31573.343000,1.507650000
31573.545000,1.474000000
31573.747000,0.471550000
31573.949000,0.470850000
31574.150000,0.470150000
31574.352000,0.472000000
31574.554000,0.468550000
31574.756000,0.468400000
31574.958000,0.468100000
31575.159000,0.468100000
31575.361000,0.467850000
31575.563000,0.505000000
31575.765000,0.422200000
31575.967000,0.423200000
31576.168000,0.422250000
31576.370000,0.422900000
31576.572000,0.421250000
31576.774000,0.421450000
31576.976000,0.420900000
31577.177000,0.421500000
31577.379000,0.421000000
31577.581000,0.420650000
31577.783000,0.420350000
31577.985000,0.420750000
31578.186000,0.427300000
31578.388000,0.467850000
31578.590000,0.466500000
31578.792000,0.425150000
31578.994000,0.422300000
31579.195000,0.420250000
31579.397000,0.328600000
31579.599000,0.330350000
31579.801000,0.329250000
31580.003000,0.373500000
31580.204000,0.374000000
31580.406000,0.374200000
31580.608000,0.374350000
31580.810000,0.374350000
31581.012000,0.373700000
31581.213000,0.373500000
31581.415000,0.373300000
31581.617000,0.374700000
31581.819000,0.373550000
31582.021000,0.374000000
31582.222000,0.373600000
31582.424000,0.375650000
31582.626000,0.373350000
31582.828000,0.375450000
31583.030000,0.328700000
31583.231000,0.328050000
31583.433000,0.328450000
31583.635000,0.379700000
