uptime_s,current_a
16285.581000,0.388400000
16285.782000,0.388050000
16285.984000,0.388000000
16286.186000,0.388950000
16286.388000,0.388900000
16286.590000,0.425000000
16286.791000,0.388150000
16286.993000,0.388250000
16287.195000,0.388000000
16287.397000,0.388400000
16287.599000,0.342300000
16287.800000,0.342000000
16288.002000,0.377650000
16288.204000,0.389600000
16288.406000,0.386250000
16288.608000,0.342700000
16288.809000,0.341250000
16289.011000,0.341750000
16289.213000,0.341900000
16289.415000,0.341600000
16289.617000,0.341600000
16289.818000,0.342100000
16290.020000,0.341550000
16290.222000,0.341550000
16290.424000,0.343000000
16290.626000,0.341700000
16290.827000,0.342300000
16291.029000,0.340950000
16291.231000,0.341600000
16291.433000,0.341700000
16291.635000,0.341350000
16291.836000,0.341100000
16292.038000,0.341350000
16292.240000,0.342150000
16292.442000,0.341000000
16292.644000,0.340950000
16292.845000,0.343100000
16293.047000,0.340650000
16293.249000,0.341500000
16293.451000,0.341450000
16293.653000,0.340550000
16293.854000,0.341850000
16294.056000,0.340950000
16294.258000,0.340350000
16294.460000,0.340450000
16294.662000,0.341450000
16294.863000,0.377700000
16295.065000,0.388400000
16295.267000,0.387800000
16295.469000,0.341550000
16295.671000,0.658200000
16295.872000,0.598750000
16296.074000,1.558100000
16296.276000,0.948700000
16296.478000,1.396750000
16296.680000,1.557100000
16296.881000,0.993600000
16297.083000,1.074050000
16297.285000,1.023900000
16297.487000,1.359700000
16297.689000,1.095300000
16297.890000,0.995800000
16298.092000,1.072950000
16298.294000,1.008100000
16298.496000,0.957350000
16298.698000,0.969950000
16298.899000,1.008200000
16299.101000,1.611900000
16299.303000,1.605650000
16299.505000,1.424950000
16299.707000,1.058050000
16299.908000,1.016900000
16300.110000,0.966600000
16300.312000,1.003250000
16300.514000,1.444200000
16300.716000,1.571700000
16300.917000,1.002950000
16301.119000,1.609100000
16301.321000,1.063600000
16301.523000,1.398250000
16301.725000,1.048000000
16301.926000,1.007500000
16302.128000,1.260050000
16302.330000,1.231950000
16302.532000,1.005850000
16302.734000,1.107550000
16302.935000,1.021500000
16303.137000,0.942050000
16303.339000,1.062750000
16303.541000,1.002050000
16303.743000,1.025550000
16303.944000,0.968000000
16304.146000,1.421650000
16304.348000,1.011350000
16304.550000,0.963650000
16304.752000,1.245700000
16304.953000,1.013650000
16305.155000,1.503150000
16305.357000,1.018000000
16305.559000,0.963150000
16305.761000,1.263350000
16305.962000,1.097500000
16306.164000,1.460550000
16306.366000,1.061000000
16306.568000,1.005050000
16306.770000,1.461300000
16306.971000,1.051450000
16307.173000,0.976600000
16307.375000,0.982250000
16307.577000,1.001650000
16307.779000,1.504450000
16307.980000,1.055000000
16308.182000,1.006900000
16308.384000,1.259750000
16308.586000,1.065750000
16308.788000,0.997850000
16308.989000,1.065950000
16309.191000,1.006500000
16309.393000,1.368450000
16309.595000,0.959200000
16309.797000,0.954700000
16309.998000,1.356450000
16310.200000,1.536300000
16310.402000,0.955300000
16310.604000,1.029200000
16310.806000,0.926450000
16311.007000,1.456250000
16311.209000,1.238350000
16311.411000,1.222500000
16311.613000,1.561000000
16311.815000,1.150750000
16312.016000,0.949200000
16312.218000,1.069050000
16312.420000,0.950900000
16312.622000,1.243750000
16312.824000,1.203750000
16313.025000,0.994550000
16313.227000,1.352150000
16313.429000,1.137450000
16313.631000,1.007500000
16313.833000,1.101250000
16314.034000,1.016450000
16314.236000,1.398800000
16314.438000,1.019750000
16314.640000,0.957150000
16314.842000,1.346750000
16315.043000,1.026700000
16315.245000,0.955750000
16315.447000,1.003250000
16315.649000,1.023000000
16315.851000,1.331250000
16316.052000,1.029000000
16316.254000,0.960800000
16316.456000,1.574950000
16316.658000,1.010500000
16316.860000,0.957800000
16317.061000,1.087900000
16317.263000,0.972250000
16317.465000,1.420800000
16317.667000,1.068700000
16317.869000,1.025350000
16318.070000,1.633000000
16318.272000,1.054850000
16318.474000,1.009050000
