uptime_s,current_a
32746.205000,0.379500000
32746.407000,0.381600000
32746.608000,0.380100000
32746.810000,0.380450000
32747.012000,0.380650000
32747.214000,0.380250000
32747.416000,0.380300000
32747.617000,0.386200000
32747.819000,0.379600000
32748.021000,0.380550000
32748.223000,0.334450000
32748.425000,0.334400000
32748.626000,0.333700000
32748.828000,0.334100000
32749.030000,0.334950000
32749.232000,0.334050000
32749.434000,0.372250000
32749.635000,0.334200000
32749.837000,0.381500000
32750.039000,0.379600000
32750.241000,0.381800000
32750.443000,0.382950000
32750.644000,0.379600000
32750.846000,0.379600000
32751.048000,0.418650000
32751.250000,0.381250000
32751.452000,0.379950000
32751.653000,0.380650000
32751.855000,0.379800000
32752.057000,0.379400000
32752.259000,0.379850000
32752.461000,0.333950000
32752.662000,0.334450000
32752.864000,0.333950000
32753.066000,0.333500000
32753.268000,0.333150000
32753.470000,0.333200000
32753.671000,0.334800000
32753.873000,0.333300000
32754.075000,0.333300000
32754.277000,0.333000000
32754.479000,0.333550000
32754.680000,0.334150000
32754.882000,0.333200000
32755.084000,0.333750000
32755.286000,0.332700000
32755.488000,0.333050000
32755.689000,0.333150000
32755.891000,0.333650000
32756.093000,0.418350000
32756.295000,0.630050000
32756.497000,0.842650000
32756.698000,1.139700000
32756.900000,0.981450000
32757.102000,1.292850000
32757.304000,1.034150000
32757.506000,1.329250000
32757.707000,1.025650000
32757.909000,0.958750000
32758.111000,1.337650000
32758.313000,1.030500000
32758.515000,0.984100000
32758.716000,1.579200000
32758.918000,0.979500000
32759.120000,1.418600000
32759.322000,1.071200000
32759.524000,0.970900000
32759.725000,1.051250000
32759.927000,0.988200000
32760.129000,0.956900000
32760.331000,1.151950000
32760.533000,0.982850000
32760.734000,1.267150000
32760.936000,1.032650000
32761.138000,1.268850000
32761.340000,1.468100000
32761.542000,0.925800000
32761.743000,1.520800000
32761.945000,0.980800000
32762.147000,1.442800000
32762.349000,1.143150000
32762.551000,0.981550000
32762.752000,1.407600000
32762.954000,1.431900000
32763.156000,0.985900000
32763.358000,1.047650000
32763.560000,0.994600000
32763.761000,1.404600000
