uptime_s,current_a
62047.565000,0.386800000
62047.767000,0.386750000
62047.968000,0.386700000
62048.170000,0.393750000
62048.372000,0.386350000
62048.574000,0.388750000
62048.776000,0.386300000
62048.977000,0.385800000
62049.179000,0.386300000
62049.381000,0.387000000
62049.583000,0.340750000
62049.785000,0.341200000
62049.986000,0.340750000
62050.188000,0.340450000
62050.390000,0.341050000
62050.592000,0.341200000
62050.794000,0.346000000
62050.995000,0.340650000
62051.197000,0.340400000
62051.399000,0.340100000
62051.601000,0.387700000
62051.803000,0.386750000
62052.004000,0.386450000
62052.206000,0.388750000
62052.408000,0.386650000
62052.610000,0.387500000
62052.812000,0.386450000
62053.013000,0.399850000
62053.215000,0.386350000
62053.417000,0.385600000
62053.619000,0.340350000
62053.821000,0.376650000
62054.022000,0.340150000
62054.224000,0.340250000
62054.426000,0.385350000
62054.628000,0.386900000
62054.830000,0.385850000
62055.031000,0.387350000
62055.233000,0.387600000
62055.435000,0.385550000
62055.637000,0.386550000
62055.839000,0.387800000
62056.040000,0.385800000
62056.242000,0.385300000
62056.444000,0.339450000
62056.646000,0.339400000
62056.848000,0.339250000
62057.049000,0.340100000
62057.251000,0.339650000
62057.453000,0.429900000
62057.655000,1.389750000
62057.857000,1.008700000
62058.058000,1.429400000
62058.260000,1.432600000
62058.462000,1.444450000
62058.664000,1.437650000
62058.866000,1.409800000
62059.067000,1.037250000
62059.269000,1.447600000
62059.471000,1.433450000
62059.673000,1.039700000
62059.875000,1.463300000
62060.076000,1.408450000
62060.278000,1.045900000
62060.480000,1.444300000
62060.682000,1.424950000
62060.884000,1.023850000
62061.085000,1.298150000
62061.287000,1.406400000
62061.489000,1.046750000
62061.691000,1.448250000
62061.893000,1.322550000
62062.094000,1.172200000
62062.296000,1.443100000
62062.498000,1.045550000
62062.700000,1.257900000
62062.902000,1.447400000
62063.103000,1.035750000
62063.305000,1.251950000
62063.507000,1.391600000
62063.709000,1.262550000
62063.911000,1.247150000
62064.112000,1.461350000
62064.314000,1.053650000
62064.516000,1.254350000
62064.718000,1.465450000
62064.920000,1.069750000
62065.121000,1.258100000
62065.323000,1.509750000
62065.525000,1.026150000
62065.727000,1.231200000
62065.929000,1.354900000
62066.130000,1.065300000
62066.332000,1.476250000
62066.534000,1.465300000
62066.736000,1.176550000
62066.938000,1.475500000
62067.139000,1.437750000
62067.341000,1.490050000
62067.543000,1.150250000
62067.745000,1.447100000
62067.947000,1.054250000
62068.148000,1.482150000
62068.350000,1.481350000
62068.552000,1.071600000
62068.754000,1.468500000
62068.956000,1.378750000
62069.157000,1.026250000
62069.359000,1.331300000
62069.561000,1.432500000
62069.763000,1.031050000
62069.965000,1.458200000
62070.166000,1.448300000
62070.368000,1.481650000
62070.570000,1.481100000
62070.772000,1.447800000
62070.974000,1.479800000
62071.175000,1.420150000
62071.377000,1.427250000
62071.579000,1.051400000
62071.781000,1.460100000
62071.983000,1.436950000
62072.184000,1.027000000
62072.386000,1.492200000
62072.588000,1.459550000
62072.790000,1.033900000
62072.992000,1.483800000
62073.193000,1.476100000
62073.395000,1.061700000
62073.597000,1.470400000
62073.799000,1.477700000
62074.001000,1.047450000
62074.202000,1.472200000
62074.404000,1.455650000
62074.606000,1.070550000
62074.808000,1.415150000
62075.010000,1.046300000
62075.211000,0.988150000
62075.413000,1.453900000
62075.615000,1.442200000
62075.817000,0.997600000
62076.019000,1.070700000
62076.220000,1.520800000
62076.422000,1.033350000
62076.624000,1.179450000
62076.826000,1.294400000
62077.028000,0.503500000
62077.229000,0.502300000
62077.431000,0.500050000
62077.633000,0.499500000
62077.835000,0.499050000
62078.037000,0.498100000
62078.238000,0.497350000
62078.440000,0.497100000
62078.642000,0.490100000
62078.844000,0.488550000
62079.046000,0.442950000
62079.247000,0.445800000
62079.449000,0.446300000
62079.651000,0.442700000
62079.853000,0.441200000
62080.055000,0.441100000
62080.256000,0.440200000
62080.458000,0.439450000
62080.660000,0.439700000
62080.862000,0.439700000
62081.064000,0.440050000
62081.265000,0.438950000
62081.467000,0.438150000
62081.669000,0.438550000
62081.871000,0.438250000
62082.073000,0.438750000
62082.274000,0.437200000
62082.476000,0.437600000
62082.678000,0.350150000
62082.880000,0.392550000
62083.082000,0.352650000
62083.283000,0.346450000
62083.485000,0.345750000
62083.687000,0.345050000
62083.889000,0.344800000
62084.091000,0.345150000
62084.292000,0.382200000
62084.494000,0.344550000
62084.696000,0.357900000
62084.898000,0.347300000
62085.100000,0.344200000
62085.301000,0.344000000
62085.503000,0.344950000
62085.705000,0.344500000
62085.907000,0.343600000
62086.109000,0.343350000
62086.310000,0.343550000
62086.512000,0.344000000
62086.714000,0.343600000
62086.916000,0.343250000
