uptime_s,current_a
32196.300000,0.379500000
32196.502000,0.380700000
32196.703000,0.378700000
32196.905000,0.380400000
32197.107000,0.378850000
32197.309000,0.379350000
32197.511000,0.379050000
32197.712000,0.378850000
32197.914000,0.381350000
32198.116000,0.378800000
32198.318000,0.379050000
32198.520000,0.333750000
32198.721000,0.334000000
32198.923000,0.333650000
32199.125000,0.333650000
32199.327000,0.334150000
32199.529000,0.333800000
32199.730000,0.333950000
32199.932000,0.333800000
32200.134000,0.333350000
32200.336000,0.333600000
32200.538000,0.333650000
32200.739000,0.333250000
32200.941000,0.333700000
32201.143000,0.371450000
32201.345000,0.333350000
32201.547000,0.335450000
32201.748000,0.333550000
32201.950000,0.333900000
32202.152000,0.334400000
32202.354000,0.333400000
32202.556000,0.344250000
32202.757000,0.333000000
32202.959000,0.334000000
32203.161000,0.334150000
32203.363000,0.332800000
32203.565000,0.333050000
32203.766000,0.333050000
32203.968000,0.374450000
32204.170000,0.333150000
32204.372000,0.380700000
32204.574000,0.344850000
32204.775000,0.333550000
32204.977000,0.333800000
32205.179000,0.335350000
32205.381000,0.333400000
32205.583000,0.334000000
32205.784000,0.333300000
32205.986000,0.332800000
32206.188000,0.332900000
32206.390000,0.632350000
32206.592000,0.647250000
32206.793000,0.632250000
32206.995000,0.634700000
32207.197000,0.929250000
32207.399000,1.062450000
32207.601000,0.940300000
32207.802000,0.694400000
32208.004000,0.712300000
32208.206000,0.701150000
32208.408000,0.703200000
32208.610000,0.975650000
32208.811000,0.778000000
32209.013000,1.038900000
32209.215000,0.700350000
32209.417000,0.705350000
32209.619000,0.706950000
32209.820000,0.703950000
32210.022000,1.014950000
32210.224000,1.185800000
32210.426000,0.869500000
32210.628000,0.663800000
32210.829000,0.700700000
32211.031000,0.678550000
32211.233000,1.311450000
32211.435000,1.286950000
32211.637000,0.918000000
32211.838000,0.660450000
32212.040000,0.620650000
32212.242000,0.704450000
32212.444000,0.663700000
32212.646000,1.052150000
32212.847000,0.904250000
32213.049000,0.950500000
32213.251000,0.656950000
32213.453000,0.660500000
32213.655000,0.661750000
32213.856000,0.661600000
32214.058000,1.283500000
32214.260000,0.932100000
32214.462000,1.201600000
32214.664000,0.661800000
32214.865000,0.663150000
32215.067000,0.663250000
32215.269000,1.220650000
32215.471000,1.173400000
32215.673000,1.005550000
32215.874000,0.652150000
32216.076000,0.660950000
32216.278000,0.664350000
32216.480000,0.662850000
32216.682000,1.206950000
32216.883000,0.970550000
32217.085000,0.919500000
32217.287000,0.661800000
32217.489000,0.708150000
32217.691000,0.712750000
32217.892000,0.708900000
32218.094000,1.220400000
32218.296000,0.934100000
32218.498000,0.769750000
32218.700000,0.702850000
32218.901000,0.711700000
32219.103000,0.711750000
32219.305000,0.933250000
32219.507000,0.891500000
32219.709000,0.911050000
32219.910000,0.666500000
32220.112000,0.668450000
32220.314000,0.664900000
32220.516000,0.696250000
32220.718000,1.263550000
32220.919000,0.889200000
32221.121000,0.918450000
32221.323000,0.711650000
32221.525000,0.708400000
32221.727000,0.711350000
32221.928000,0.706500000
32222.130000,1.320400000
32222.332000,0.927050000
32222.534000,1.095300000
32222.736000,0.710900000
32222.937000,0.710200000
32223.139000,0.688650000
32223.341000,1.320900000
32223.543000,1.169600000
32223.745000,0.902800000
32223.946000,0.656350000
32224.148000,0.669550000
32224.350000,0.675750000
32224.552000,0.711850000
32224.754000,0.923850000
32224.955000,0.979950000
32225.157000,0.966200000
32225.359000,0.673550000
32225.561000,0.665050000
32225.763000,0.665750000
32225.964000,0.661050000
32226.166000,1.094450000
32226.368000,1.202250000
32226.570000,0.726250000
32226.772000,0.670000000
32226.973000,0.663950000
32227.175000,0.667700000
32227.377000,0.864700000
32227.579000,1.206900000
32227.781000,0.940450000
32227.982000,0.665550000
32228.184000,0.664400000
32228.386000,0.612950000
32228.588000,0.665550000
32228.790000,0.870300000
32228.991000,1.285900000
32229.193000,0.981200000
32229.395000,0.671500000
32229.597000,0.666450000
32229.799000,0.670100000
32230.000000,1.101450000
32230.202000,1.288750000
32230.404000,0.813100000
32230.606000,0.669800000
32230.808000,0.666050000
32231.009000,0.664250000
32231.211000,0.681550000
32231.413000,1.082700000
32231.615000,1.189350000
32231.817000,0.883600000
32232.018000,0.702500000
32232.220000,0.671600000
32232.422000,0.664450000
32232.624000,0.656700000
32232.826000,1.374550000
32233.027000,0.896100000
32233.229000,1.075900000
32233.431000,0.661200000
32233.633000,0.578150000
32233.835000,0.666050000
32234.036000,1.086050000
32234.238000,1.140150000
32234.440000,0.946600000
32234.642000,0.714250000
32234.844000,0.676900000
32235.045000,0.711950000
32235.247000,0.712500000
32235.449000,1.250450000
32235.651000,1.002500000
32235.853000,1.046450000
32236.054000,0.713350000
32236.256000,0.713900000
32236.458000,0.713250000
32236.660000,0.711750000
32236.862000,1.085400000
32237.063000,0.896050000
32237.265000,1.067750000
32237.467000,0.665900000
32237.669000,0.665700000
32237.871000,0.616050000
32238.072000,1.069400000
32238.274000,0.949250000
32238.476000,0.959800000
32238.678000,0.710950000
32238.880000,0.721150000
32239.081000,0.663700000
32239.283000,0.669850000
32239.485000,0.706000000
32239.687000,1.173550000
32239.889000,1.033900000
32240.090000,0.718600000
32240.292000,0.714450000
32240.494000,0.713600000
32240.696000,0.708800000
32240.898000,1.028550000
32241.099000,0.869900000
32241.301000,1.096600000
32241.503000,0.709250000
32241.705000,0.713900000
32241.907000,0.713900000
32242.108000,1.064350000
32242.310000,0.866950000
32242.512000,1.120650000
32242.714000,0.669950000
32242.916000,0.660000000
32243.117000,0.669850000
32243.319000,0.664950000
32243.521000,1.072900000
32243.723000,1.319700000
32243.925000,1.040550000
32244.126000,0.663600000
32244.328000,0.673250000
32244.530000,0.741500000
32244.732000,0.665900000
32244.934000,0.641700000
32245.135000,0.896400000
32245.337000,0.708200000
32245.539000,0.715400000
32245.741000,0.735650000
32245.943000,0.674700000
32246.144000,1.203700000
32246.346000,1.301550000
32246.548000,1.053300000
32246.750000,0.671500000
32246.952000,0.637200000
32247.153000,0.666250000
32247.355000,0.671000000
32247.557000,0.846150000
32247.759000,0.897350000
32247.961000,1.026100000
32248.162000,0.715700000
32248.364000,0.714250000
32248.566000,0.713000000
32248.768000,0.933900000
32248.970000,0.941650000
32249.171000,1.166850000
32249.373000,0.717900000
32249.575000,0.713750000
32249.777000,0.713750000
32249.979000,0.713050000
32250.180000,0.801000000
32250.382000,0.946550000
32250.584000,1.058200000
32250.786000,0.656550000
32250.988000,0.703200000
32251.189000,0.667200000
32251.391000,0.667600000
32251.593000,1.279450000
32251.795000,1.116100000
32251.997000,1.105400000
32252.198000,0.651650000
32252.400000,0.715950000
32252.602000,0.715250000
32252.804000,0.881000000
32253.006000,1.290200000
32253.207000,1.054250000
32253.409000,0.668400000
32253.611000,0.656550000
32253.813000,0.665000000
32254.015000,0.667650000
32254.216000,1.223100000
32254.418000,1.215150000
32254.620000,0.888550000
32254.822000,0.668200000
32255.024000,0.667050000
32255.225000,0.666950000
32255.427000,0.669350000
32255.629000,0.863650000
32255.831000,0.921250000
32256.033000,0.923450000
32256.234000,0.669500000
32256.436000,0.667700000
32256.638000,0.667600000
32256.840000,0.644900000
32257.042000,0.895700000
32257.243000,0.948250000
32257.445000,0.663400000
32257.647000,0.644050000
32257.849000,0.666700000
32258.051000,0.666450000
32258.252000,0.966950000
32258.454000,1.114650000
32258.656000,0.900850000
32258.858000,0.712250000
32259.060000,0.671650000
32259.261000,0.753200000
32259.463000,0.713600000
32259.665000,1.071500000
32259.867000,1.234550000
32260.069000,0.933850000
32260.270000,0.673000000
32260.472000,0.668900000
32260.674000,0.673900000
32260.876000,1.283800000
32261.078000,1.139750000
32261.279000,1.208300000
32261.481000,0.715450000
32261.683000,0.698000000
32261.885000,0.714350000
32262.087000,0.757900000
32262.288000,0.942200000
32262.490000,1.234550000
32262.692000,1.019800000
32262.894000,0.720800000
32263.096000,0.713950000
32263.297000,0.715450000
32263.499000,0.713400000
32263.701000,1.196100000
32263.903000,1.221500000
32264.105000,0.959500000
32264.306000,0.662900000
32264.508000,0.666450000
32264.710000,0.670450000
32264.912000,0.954100000
32265.114000,1.286500000
32265.315000,1.180100000
32265.517000,0.665400000
32265.719000,0.674450000
32265.921000,0.714750000
32266.123000,0.715400000
32266.324000,1.325700000
32266.526000,1.191650000
32266.728000,1.106650000
32266.930000,0.665950000
32267.132000,0.669600000
32267.333000,0.667400000
32267.535000,0.667700000
32267.737000,0.691900000
32267.939000,1.190400000
32268.141000,0.973550000
32268.342000,0.670250000
32268.544000,0.677300000
32268.746000,0.669800000
32268.948000,0.733750000
32269.150000,0.917500000
32269.351000,1.147900000
32269.553000,0.664900000
32269.755000,0.673000000
32269.957000,0.672100000
32270.159000,0.667650000
32270.360000,1.280700000
32270.562000,1.006150000
32270.764000,0.866750000
32270.966000,0.721650000
32271.168000,0.668650000
32271.369000,0.669850000
32271.571000,0.661650000
32271.773000,0.685600000
32271.975000,1.340200000
32272.177000,1.185000000
32272.378000,0.678600000
32272.580000,0.673450000
32272.782000,0.716600000
32272.984000,0.930000000
32273.186000,1.146200000
32273.387000,1.179850000
32273.589000,0.670900000
32273.791000,0.670350000
32273.993000,0.665950000
32274.195000,0.667500000
32274.396000,1.167200000
32274.598000,1.097950000
32274.800000,1.049650000
32275.002000,0.693750000
32275.204000,0.719750000
32275.405000,0.714400000
32275.607000,0.709700000
32275.809000,1.373600000
32276.011000,1.270050000
32276.213000,1.163100000
32276.414000,0.713650000
32276.616000,0.715550000
32276.818000,0.665550000
32277.020000,1.144200000
32277.222000,0.889650000
32277.423000,0.952350000
32277.625000,0.710100000
32277.827000,0.708700000
32278.029000,0.702950000
32278.231000,0.716200000
32278.432000,1.082150000
32278.634000,1.343100000
32278.836000,0.977300000
32279.038000,0.716250000
32279.240000,0.716900000
32279.441000,0.715000000
32279.643000,0.724750000
32279.845000,1.113300000
32280.047000,0.921800000
32280.249000,1.072800000
32280.450000,0.671500000
32280.652000,0.668250000
32280.854000,0.669500000
32281.056000,1.107550000
32281.258000,1.429350000
32281.459000,0.773500000
32281.661000,0.675650000
32281.863000,0.667650000
32282.065000,0.670000000
32282.267000,0.669500000
32282.468000,0.870750000
32282.670000,1.019650000
32282.872000,0.718350000
32283.074000,0.669350000
32283.276000,0.612650000
32283.477000,0.668600000
32283.679000,0.663050000
32283.881000,1.350250000
32284.083000,1.226200000
32284.285000,0.980450000
32284.486000,0.675400000
32284.688000,0.666700000
32284.890000,0.667750000
32285.092000,0.785700000
32285.294000,0.858250000
32285.495000,1.056150000
32285.697000,0.671900000
32285.899000,0.670650000
32286.101000,0.668700000
32286.303000,0.718050000
32286.504000,1.067750000
32286.706000,1.066650000
32286.908000,0.955700000
32287.110000,0.717150000
32287.312000,0.667950000
32287.513000,0.670450000
32287.715000,0.668300000
32287.917000,1.117550000
32288.119000,0.919400000
32288.321000,0.863400000
32288.522000,0.710050000
32288.724000,0.705400000
32288.926000,0.716300000
32289.128000,0.934100000
32289.330000,1.279000000
32289.531000,0.940800000
32289.733000,0.741950000
32289.935000,0.716900000
32290.137000,0.714000000
32290.339000,0.671250000
32290.540000,1.234500000
32290.742000,0.980750000
32290.944000,1.128250000
32291.146000,0.676450000
32291.348000,0.668550000
32291.549000,0.670050000
32291.751000,0.665100000
32291.953000,1.477600000
32292.155000,1.218950000
32292.357000,1.058000000
32292.558000,0.712400000
32292.760000,0.670000000
32292.962000,0.671100000
32293.164000,0.670800000
32293.366000,0.791900000
32293.567000,0.973600000
32293.769000,1.189500000
32293.971000,0.712550000
32294.173000,0.670500000
32294.375000,0.670500000
32294.576000,1.087700000
32294.778000,1.164450000
32294.980000,0.946300000
32295.182000,0.670950000
32295.384000,0.671500000
