uptime_s,current_a
46489.188000,0.384450000
46489.390000,0.384050000
46489.592000,0.383850000
46489.794000,0.383800000
46489.996000,0.384400000
46490.197000,0.383300000
46490.399000,0.383850000
46490.601000,0.384200000
46490.803000,0.421100000
46491.005000,0.383900000
46491.206000,0.386450000
46491.408000,0.338350000
46491.610000,0.338800000
46491.812000,0.338850000
46492.014000,0.338000000
46492.215000,0.338650000
46492.417000,0.337750000
46492.619000,0.337550000
46492.821000,0.338050000
46493.023000,0.351750000
46493.224000,0.337950000
46493.426000,0.338000000
46493.628000,0.338700000
46493.830000,0.337950000
46494.032000,0.338350000
46494.233000,0.337500000
46494.435000,0.337300000
46494.637000,0.337400000
46494.839000,0.338650000
46495.041000,0.338150000
46495.242000,0.337900000
46495.444000,0.337550000
46495.646000,0.337800000
46495.848000,0.344300000
46496.050000,0.336850000
46496.251000,0.337500000
46496.453000,0.338400000
46496.655000,0.337400000
46496.857000,0.336900000
46497.059000,0.382700000
46497.260000,0.383250000
46497.462000,0.337000000
46497.664000,0.337600000
46497.866000,0.337250000
46498.068000,0.337350000
46498.269000,0.337800000
46498.471000,0.336900000
46498.673000,0.337500000
46498.875000,0.338150000
46499.077000,0.374700000
46499.278000,1.440750000
46499.480000,1.448150000
46499.682000,1.051100000
46499.884000,1.463950000
46500.086000,1.451250000
46500.287000,1.340500000
46500.489000,1.140150000
46500.691000,1.481350000
46500.893000,1.481200000
46501.095000,1.445050000
46501.296000,1.478200000
46501.498000,1.444200000
46501.700000,1.264450000
46501.902000,1.516750000
46502.104000,1.046600000
46502.305000,1.458000000
46502.507000,1.477200000
46502.709000,1.022050000
46502.911000,1.476150000
46503.113000,1.444650000
46503.314000,1.021300000
46503.516000,1.452350000
46503.718000,1.478250000
46503.920000,1.050300000
46504.122000,1.163850000
46504.323000,1.497200000
46504.525000,1.055150000
46504.727000,1.009450000
46504.929000,1.422950000
46505.131000,1.058900000
46505.332000,1.464350000
46505.534000,1.491750000
46505.736000,1.074750000
46505.938000,1.444550000
46506.140000,1.491800000
46506.341000,1.476300000
46506.543000,1.489250000
46506.745000,1.478050000
46506.947000,1.445300000
46507.149000,1.458950000
46507.350000,1.451450000
46507.552000,1.451000000
46507.754000,1.320950000
46507.956000,1.424100000
46508.158000,1.054100000
46508.359000,1.417950000
46508.561000,1.477000000
46508.763000,1.051550000
46508.965000,1.454650000
46509.167000,1.473650000
46509.368000,1.033200000
46509.570000,1.508750000
46509.772000,1.480050000
46509.974000,1.039900000
46510.176000,1.513400000
46510.377000,1.425200000
46510.579000,1.049750000
46510.781000,1.451900000
46510.983000,1.493400000
46511.185000,1.053350000
46511.386000,1.398700000
46511.588000,1.496800000
46511.790000,1.059500000
46511.992000,1.460450000
46512.194000,1.303950000
46512.395000,1.414750000
46512.597000,1.405000000
46512.799000,1.318750000
46513.001000,1.067250000
46513.203000,1.467600000
46513.404000,1.060100000
46513.606000,1.489750000
46513.808000,1.468500000
46514.010000,1.051950000
46514.212000,1.064900000
46514.413000,1.305950000
46514.615000,1.029000000
46514.817000,0.680250000
46515.019000,1.460250000
46515.221000,1.051300000
46515.422000,1.277200000
46515.624000,1.339250000
46515.826000,1.043450000
46516.028000,1.282750000
46516.230000,1.425850000
46516.431000,1.115000000
46516.633000,1.279000000
46516.835000,1.483900000
46517.037000,1.074450000
46517.239000,1.281100000
46517.440000,1.245350000
46517.642000,1.069050000
46517.844000,1.283300000
46518.046000,1.247200000
46518.248000,1.042600000
46518.449000,1.087850000
46518.651000,0.494100000
46518.853000,0.491350000
46519.055000,0.490300000
46519.257000,0.489300000
46519.458000,0.488350000
46519.660000,0.488150000
46519.862000,0.487500000
46520.064000,0.488400000
46520.266000,0.485600000
46520.467000,0.486250000
46520.669000,0.485500000
46520.871000,0.438950000
46521.073000,0.438450000
46521.275000,0.475200000
46521.476000,0.438000000
46521.678000,0.438000000
46521.880000,0.437800000
46522.082000,0.437600000
46522.284000,0.436350000
46522.485000,0.437450000
46522.687000,0.481500000
46522.889000,0.481750000
46523.091000,0.481550000
46523.293000,0.481400000
46523.494000,0.482350000
46523.696000,0.481200000
46523.898000,0.480550000
46524.100000,0.480800000
46524.302000,0.480450000
46524.503000,0.388650000
46524.705000,0.403700000
46524.907000,0.353300000
46525.109000,0.343400000
46525.311000,0.342650000
46525.512000,0.342900000
46525.714000,0.342500000
46525.916000,0.342600000
46526.118000,0.342400000
46526.320000,0.342400000
46526.521000,0.342250000
46526.723000,0.342000000
46526.925000,0.341550000
46527.127000,0.341400000
46527.329000,0.342050000
46527.530000,0.341550000
46527.732000,0.344750000
46527.934000,0.341200000
46528.136000,0.341000000
46528.338000,0.340750000
46528.539000,0.340500000
