uptime_s,current_a
62757.295000,0.385000000
62757.497000,0.385050000
62757.699000,0.385900000
62757.901000,0.387000000
62758.103000,0.384600000
62758.304000,0.386100000
62758.506000,0.386350000
62758.708000,0.386000000
62758.910000,0.386800000
62759.112000,0.386100000
62759.313000,0.339950000
62759.515000,0.340200000
62759.717000,0.376700000
62759.919000,0.340550000
62760.121000,0.339750000
62760.322000,0.341450000
62760.524000,0.340200000
62760.726000,0.339950000
62760.928000,0.340100000
62761.130000,0.338750000
62761.331000,0.340400000
62761.533000,0.339650000
62761.735000,0.339700000
62761.937000,0.339200000
62762.139000,0.339500000
62762.340000,0.339650000
62762.542000,0.339500000
62762.744000,0.339650000
62762.946000,0.339850000
62763.148000,0.340350000
62763.349000,0.338750000
62763.551000,0.345800000
62763.753000,0.385700000
62763.955000,0.384000000
62764.157000,0.384500000
62764.358000,0.385100000
62764.560000,0.383800000
62764.762000,0.384850000
62764.964000,0.385100000
62765.166000,0.384200000
62765.367000,0.384250000
62765.569000,0.386000000
62765.771000,0.386150000
62765.973000,0.384850000
62766.175000,0.353150000
62766.376000,0.338650000
62766.578000,0.350950000
62766.780000,0.339300000
62766.982000,0.338900000
62767.184000,0.424500000
62767.385000,0.658400000
62767.587000,1.283450000
62767.789000,1.218700000
62767.991000,1.004550000
62768.193000,1.006650000
62768.394000,1.004100000
62768.596000,1.007000000
62768.798000,1.006300000
62769.000000,1.009900000
62769.202000,0.955300000
62769.403000,0.946150000
62769.605000,0.949450000
62769.807000,0.946100000
62770.009000,0.949050000
62770.211000,0.948100000
62770.412000,0.978050000
62770.614000,1.000750000
62770.816000,1.036050000
62771.018000,0.954350000
62771.220000,1.337500000
62771.421000,1.305350000
62771.623000,1.057550000
62771.825000,1.060900000
62772.027000,1.063650000
62772.229000,1.064300000
62772.430000,1.057450000
62772.632000,1.060800000
62772.834000,1.006950000
62773.036000,1.001550000
62773.238000,0.999950000
62773.439000,0.949850000
62773.641000,0.951100000
62773.843000,1.008700000
62774.045000,0.952550000
62774.247000,0.954250000
62774.448000,1.060700000
62774.650000,0.955600000
62774.852000,1.288800000
62775.054000,1.257200000
62775.256000,1.014950000
62775.457000,1.017050000
62775.659000,1.066700000
62775.861000,1.059950000
62776.063000,1.070100000
62776.265000,1.062200000
62776.466000,1.008100000
62776.668000,1.010500000
62776.870000,1.004300000
62777.072000,1.001650000
62777.274000,1.001600000
62777.475000,1.001600000
62777.677000,1.002550000
62777.879000,0.954050000
62778.081000,0.962450000
62778.283000,0.960700000
62778.484000,1.284700000
62778.686000,1.167050000
62778.888000,1.146600000
62779.090000,1.061600000
62779.292000,1.015450000
62779.493000,1.017850000
62779.695000,1.018650000
62779.897000,1.014600000
62780.099000,0.969200000
62780.301000,0.955800000
62780.502000,0.956500000
62780.704000,0.959700000
62780.906000,0.953400000
62781.108000,0.958250000
62781.310000,0.954050000
62781.511000,0.956000000
62781.713000,0.966650000
62781.915000,0.999300000
62782.117000,1.289650000
62782.319000,1.268900000
62782.520000,1.157050000
62782.722000,1.022600000
62782.924000,1.024150000
62783.126000,1.018400000
62783.328000,1.022900000
62783.529000,1.021850000
62783.731000,0.969700000
62783.933000,0.954850000
62784.135000,0.959500000
62784.337000,1.005250000
62784.538000,0.963700000
62784.740000,0.956950000
62784.942000,0.959350000
62785.144000,0.962300000
62785.346000,0.967150000
62785.547000,0.959800000
62785.749000,1.297450000
62785.951000,1.277050000
62786.153000,1.138700000
62786.355000,1.022800000
62786.556000,1.013100000
62786.758000,1.017500000
62786.960000,1.021800000
62787.162000,1.023250000
62787.364000,0.964850000
62787.565000,0.959700000
62787.767000,0.960300000
62787.969000,0.951350000
62788.171000,0.952350000
62788.373000,0.953750000
62788.574000,0.951450000
62788.776000,0.953850000
62788.978000,0.954350000
62789.180000,0.954400000
62789.382000,0.954050000
62789.583000,1.315550000
62789.785000,1.274700000
62789.987000,1.013000000
62790.189000,1.048900000
62790.391000,1.009350000
62790.592000,1.032550000
62790.794000,1.015600000
62790.996000,1.015300000
62791.198000,0.985800000
62791.400000,0.968050000
62791.601000,0.952450000
62791.803000,0.953100000
62792.005000,0.949700000
62792.207000,0.947600000
62792.409000,0.954050000
62792.610000,0.954500000
62792.812000,0.959400000
62793.014000,0.950900000
62793.216000,0.960050000
62793.418000,1.220750000
62793.619000,1.144700000
62793.821000,1.011550000
62794.023000,1.016800000
62794.225000,1.013900000
62794.427000,1.014150000
62794.628000,1.011700000
62794.830000,1.015400000
62795.032000,0.969550000
62795.234000,0.952200000
62795.436000,0.953350000
62795.637000,0.951950000
62795.839000,0.956400000
62796.041000,0.951700000
62796.243000,0.955300000
62796.445000,0.954600000
62796.646000,0.958300000
62796.848000,0.951350000
62797.050000,0.950450000
62797.252000,0.891800000
62797.454000,1.116700000
62797.655000,1.012600000
62797.857000,1.013750000
62798.059000,1.022900000
62798.261000,1.043900000
62798.463000,1.059350000
62798.664000,1.121800000
62798.866000,0.963150000
62799.068000,0.955550000
62799.270000,0.955950000
62799.472000,0.954900000
62799.673000,0.951200000
62799.875000,0.955150000
62800.077000,0.951950000
62800.279000,0.952600000
62800.481000,0.959200000
62800.682000,0.982800000
62800.884000,0.958100000
62801.086000,1.357700000
62801.288000,1.171850000
62801.490000,1.015400000
62801.691000,1.013950000
62801.893000,1.064500000
62802.095000,1.061200000
62802.297000,1.058850000
62802.499000,0.920850000
62802.700000,1.017300000
62802.902000,0.999700000
62803.104000,1.006650000
62803.306000,1.003800000
62803.508000,0.997600000
62803.709000,1.000700000
62803.911000,1.002600000
62804.113000,1.000500000
62804.315000,0.956950000
62804.517000,0.999900000
62804.718000,1.003150000
62804.920000,1.398500000
62805.122000,1.195950000
62805.324000,1.063900000
62805.526000,1.069850000
62805.727000,1.065850000
62805.929000,1.056850000
62806.131000,1.064500000
62806.333000,1.019550000
62806.535000,0.963300000
62806.736000,0.948950000
62806.938000,0.955500000
62807.140000,0.954150000
62807.342000,0.953450000
62807.544000,0.947150000
62807.745000,0.955500000
62807.947000,0.959300000
62808.149000,0.955600000
62808.351000,0.959300000
62808.553000,0.967850000
62808.754000,1.474900000
62808.956000,1.189100000
62809.158000,1.064850000
62809.360000,1.065300000
62809.562000,1.095250000
62809.763000,1.062950000
62809.965000,1.057450000
62810.167000,1.017050000
62810.369000,1.070450000
62810.571000,1.005100000
62810.772000,0.954150000
62810.974000,1.003050000
62811.176000,0.998300000
62811.378000,0.997150000
62811.580000,1.003200000
62811.781000,0.998000000
62811.983000,1.008750000
62812.185000,1.002500000
62812.387000,1.006500000
62812.589000,1.494100000
62812.790000,1.201850000
62812.992000,1.019100000
62813.194000,1.018550000
62813.396000,1.012100000
62813.598000,1.002850000
62813.799000,1.012500000
62814.001000,0.966750000
62814.203000,1.161850000
62814.405000,1.004750000
62814.607000,1.007850000
62814.808000,1.006200000
62815.010000,0.999500000
62815.212000,1.049550000
62815.414000,1.005500000
62815.616000,1.006150000
62815.817000,1.004800000
62816.019000,1.006800000
62816.221000,0.963850000
62816.423000,1.464900000
62816.625000,1.133100000
62816.826000,1.016200000
62817.028000,1.014750000
62817.230000,1.016150000
62817.432000,1.022250000
62817.634000,1.015100000
62817.835000,1.009150000
62818.037000,0.953450000
62818.239000,0.958700000
62818.441000,0.964150000
62818.643000,1.005100000
62818.844000,1.007550000
62819.046000,1.135950000
62819.248000,0.954350000
62819.450000,0.953200000
62819.652000,0.959350000
62819.853000,0.953450000
62820.055000,1.014850000
62820.257000,1.327500000
62820.459000,1.134700000
62820.661000,1.058150000
62820.862000,1.017950000
62821.064000,1.014100000
62821.266000,1.015200000
62821.468000,1.013250000
62821.670000,0.958450000
62821.871000,0.958200000
62822.073000,0.957800000
62822.275000,0.958900000
62822.477000,0.955350000
62822.679000,0.958500000
62822.880000,0.951400000
62823.082000,0.952500000
62823.284000,0.956250000
62823.486000,0.966750000
62823.688000,0.960100000
62823.889000,1.374600000
62824.091000,1.276000000
62824.293000,1.190850000
62824.495000,1.061850000
62824.697000,1.062000000
62824.898000,1.064100000
62825.100000,1.059350000
62825.302000,1.061700000
62825.504000,1.023000000
62825.706000,1.005900000
62825.907000,1.008150000
62826.109000,1.007500000
62826.311000,0.959350000
62826.513000,0.963150000
62826.715000,0.954450000
62826.916000,0.951150000
62827.118000,0.949250000
62827.320000,0.964150000
62827.522000,0.960000000
62827.724000,1.322250000
62827.925000,1.186100000
62828.127000,1.136950000
62828.329000,1.016150000
62828.531000,1.018550000
62828.733000,1.012750000
62828.934000,1.058550000
62829.136000,1.014150000
62829.338000,0.974600000
62829.540000,0.959700000
62829.742000,0.960050000
62829.943000,0.959550000
62830.145000,0.957650000
62830.347000,0.956200000
62830.549000,0.953650000
62830.751000,0.966800000
62830.952000,0.952550000
62831.154000,1.018700000
62831.356000,0.961600000
62831.558000,1.317800000
62831.760000,1.252550000
62831.961000,1.148650000
62832.163000,1.070850000
62832.365000,1.008500000
62832.567000,1.020550000
62832.769000,1.033200000
62832.970000,1.016150000
62833.172000,0.959000000
62833.374000,0.956000000
62833.576000,0.958600000
62833.778000,0.961500000
62833.979000,0.953800000
62834.181000,0.952400000
62834.383000,0.961550000
62834.585000,0.956300000
62834.787000,0.954150000
62834.988000,0.956900000
62835.190000,0.958400000
62835.392000,1.337750000
62835.594000,1.296550000
62835.796000,1.190700000
62835.997000,1.067000000
62836.199000,1.064250000
62836.401000,1.061550000
62836.603000,1.068200000
62836.805000,1.068350000
62837.006000,1.010250000
62837.208000,1.046900000
62837.410000,1.006250000
62837.612000,1.007750000
62837.814000,1.007950000
62838.015000,0.957750000
62838.217000,0.956400000
62838.419000,0.960750000
62838.621000,0.954500000
62838.823000,0.954350000
62839.024000,0.982000000
62839.226000,1.331150000
62839.428000,1.343350000
