uptime_s,current_a
2791.013000,0.391600000
2791.215000,0.387250000
2791.416000,0.387200000
2791.618000,0.386550000
2791.820000,0.386850000
2792.022000,0.391050000
2792.224000,0.387100000
2792.425000,0.386600000
2792.627000,0.386750000
2792.829000,0.392400000
2793.031000,0.340450000
2793.233000,0.345450000
2793.434000,0.388450000
2793.636000,0.346050000
2793.838000,0.340450000
2794.040000,0.339950000
2794.242000,0.340350000
2794.443000,0.340800000
2794.645000,0.340650000
2794.847000,0.340450000
2795.049000,0.340300000
2795.251000,0.340150000
2795.452000,0.339850000
2795.654000,0.341300000
2795.856000,0.341050000
2796.058000,0.339950000
2796.260000,0.339400000
2796.461000,0.339350000
2796.663000,0.340200000
2796.865000,0.339950000
2797.067000,0.339400000
2797.269000,0.339600000
2797.470000,0.339200000
2797.672000,0.338850000
2797.874000,0.377300000
2798.076000,0.339350000
2798.278000,0.339850000
2798.479000,0.339300000
2798.681000,0.339200000
2798.883000,0.339150000
2799.085000,0.341600000
2799.287000,0.339450000
2799.488000,0.338700000
2799.690000,0.339550000
2799.892000,0.338750000
2800.094000,0.343600000
2800.296000,0.386200000
2800.497000,0.345200000
2800.699000,0.339400000
2800.901000,0.428850000
2801.103000,1.439400000
2801.305000,1.173750000
2801.506000,1.002000000
2801.708000,0.998600000
2801.910000,1.046850000
2802.112000,1.409800000
2802.314000,1.191750000
2802.515000,1.059500000
2802.717000,1.043550000
2802.919000,1.095400000
2803.121000,1.417100000
2803.323000,1.394400000
2803.524000,1.064200000
2803.726000,1.060600000
2803.928000,1.056850000
2804.130000,1.460950000
2804.332000,1.357200000
2804.533000,1.020300000
2804.735000,1.008400000
2804.937000,1.017750000
2805.139000,1.424150000
2805.341000,1.368450000
2805.542000,1.022950000
2805.744000,1.005850000
2805.946000,1.007800000
2806.148000,1.479200000
2806.350000,1.470550000
2806.551000,1.024450000
2806.753000,1.008700000
2806.955000,1.020800000
2807.157000,1.064750000
2807.359000,1.433150000
2807.560000,1.010850000
2807.762000,1.009150000
2807.964000,1.014300000
2808.166000,1.013100000
2808.368000,1.417400000
2808.569000,1.018800000
2808.771000,1.013000000
2808.973000,1.045450000
2809.175000,1.008300000
2809.377000,1.448300000
2809.578000,1.184600000
2809.780000,1.014250000
2809.982000,1.010850000
2810.184000,1.056400000
2810.386000,1.379850000
2810.587000,1.165350000
2810.789000,1.018600000
2810.991000,1.017150000
2811.193000,1.051350000
2811.395000,1.380750000
2811.596000,1.340450000
2811.798000,1.025900000
2812.000000,1.023700000
2812.202000,1.022400000
2812.404000,1.524800000
2812.605000,1.389700000
2812.807000,1.067050000
2813.009000,1.059850000
2813.211000,1.075300000
2813.413000,1.468050000
2813.614000,1.536650000
2813.816000,1.080750000
2814.018000,1.066850000
2814.220000,1.072600000
2814.422000,1.495500000
2814.623000,1.428350000
2814.825000,1.026850000
2815.027000,1.022800000
2815.229000,1.017500000
2815.431000,1.012900000
2815.632000,1.427600000
2815.834000,1.009100000
2816.036000,1.011550000
2816.238000,1.005000000
2816.440000,1.030500000
2816.641000,1.395250000
2816.843000,1.165250000
2817.045000,1.010050000
2817.247000,1.045400000
2817.449000,1.016600000
2817.650000,1.497050000
2817.852000,1.442200000
2818.054000,1.066250000
2818.256000,1.050600000
2818.458000,1.063250000
2818.659000,1.057450000
2818.861000,1.376000000
2819.063000,1.069100000
2819.265000,1.063450000
2819.467000,1.059500000
2819.668000,1.043750000
2819.870000,1.454700000
2820.072000,1.149350000
2820.274000,1.019650000
2820.476000,1.004600000
2820.677000,1.018800000
2820.879000,1.527750000
