uptime_s,current_a
21295.871000,0.398100000
21296.073000,0.399250000
21296.275000,0.398400000
21296.476000,0.404550000
21296.678000,0.398200000
21296.880000,0.398350000
21297.082000,0.435250000
21297.284000,0.411150000
21297.485000,0.398700000
21297.687000,0.398450000
21297.889000,0.352750000
21298.091000,0.352250000
21298.293000,0.352350000
21298.494000,0.352150000
21298.696000,0.351450000
21298.898000,0.352450000
21299.100000,0.352050000
21299.302000,0.404100000
21299.503000,0.398650000
21299.705000,0.399100000
21299.907000,0.397950000
21300.109000,0.399100000
21300.311000,0.399000000
21300.512000,0.403950000
21300.714000,0.399500000
21300.916000,0.399000000
21301.118000,0.398150000
21301.320000,0.402550000
21301.521000,0.350350000
21301.723000,0.351850000
21301.925000,0.351700000
21302.127000,0.398950000
21302.329000,0.353500000
21302.530000,0.398700000
21302.732000,0.397550000
21302.934000,0.398350000
21303.136000,0.398650000
21303.338000,0.397650000
21303.539000,0.398100000
21303.741000,0.397950000
21303.943000,0.398150000
21304.145000,0.399350000
21304.347000,0.398050000
21304.548000,0.398250000
21304.750000,0.397950000
21304.952000,0.350650000
21305.154000,0.350450000
21305.356000,0.388650000
21305.557000,0.351050000
21305.759000,1.279250000
21305.961000,1.391850000
21306.163000,1.008700000
21306.365000,1.007200000
21306.566000,1.011550000
21306.768000,1.007400000
21306.970000,1.423900000
21307.172000,1.186400000
21307.374000,1.058350000
21307.575000,1.064500000
21307.777000,1.069700000
21307.979000,1.445550000
21308.181000,1.532400000
21308.383000,1.065100000
21308.584000,1.068300000
21308.786000,1.054650000
21308.988000,1.064400000
21309.190000,1.553500000
21309.392000,1.068500000
21309.593000,1.071150000
21309.795000,1.068850000
21309.997000,1.074950000
21310.199000,1.416650000
21310.401000,1.547300000
21310.602000,1.065900000
21310.804000,1.073550000
21311.006000,1.068750000
21311.208000,1.406650000
21311.410000,1.425350000
21311.611000,1.022600000
21311.813000,1.037700000
21312.015000,1.026200000
21312.217000,0.995400000
21312.419000,1.514800000
21312.620000,1.192200000
21312.822000,1.078050000
21313.024000,1.076650000
21313.226000,1.075000000
21313.428000,1.522400000
21313.629000,1.420700000
21313.831000,1.075200000
21314.033000,1.081000000
21314.235000,1.068250000
21314.437000,1.029250000
21314.638000,1.487050000
21314.840000,1.025200000
21315.042000,1.031650000
21315.244000,1.028350000
21315.446000,1.020600000
21315.647000,1.381900000
21315.849000,1.140750000
21316.051000,1.026550000
21316.253000,1.079600000
21316.455000,1.078000000
21316.656000,1.406600000
21316.858000,1.444650000
21317.060000,1.028200000
21317.262000,1.029100000
21317.464000,1.033350000
21317.665000,1.013850000
21317.867000,1.523700000
21318.069000,1.192350000
21318.271000,1.081950000
21318.473000,1.083100000
21318.674000,1.077000000
21318.876000,1.537100000
21319.078000,1.575400000
21319.280000,1.076700000
21319.482000,1.087300000
21319.683000,1.076000000
21319.885000,1.291950000
21320.087000,1.274050000
21320.289000,1.027200000
21320.491000,1.030350000
21320.692000,1.027200000
21320.894000,1.033650000
21321.096000,1.391600000
21321.298000,1.102200000
21321.500000,0.984800000
21321.701000,1.036950000
21321.903000,1.030850000
21322.105000,1.413000000
21322.307000,1.354150000
21322.509000,0.955500000
21322.710000,1.030700000
21322.912000,1.038500000
21323.114000,1.064450000
21323.316000,1.390150000
21323.518000,0.993250000
21323.719000,1.028850000
21323.921000,1.042400000
21324.123000,1.002950000
21324.325000,1.426100000
21324.527000,1.401250000
21324.728000,0.941950000
21324.930000,0.997050000
21325.132000,1.019400000
21325.334000,0.996050000
21325.536000,1.402750000
21325.737000,1.382500000
21325.939000,0.937250000
21326.141000,1.040400000
21326.343000,0.997000000
21326.545000,1.023650000
21326.746000,1.279750000
21326.948000,0.929750000
21327.150000,1.036050000
21327.352000,1.029000000
21327.554000,1.082300000
21327.755000,1.328100000
21327.957000,1.347350000
21328.159000,1.039150000
21328.361000,0.955700000
21328.563000,0.947100000
21328.764000,1.031450000
21328.966000,1.356800000
21329.168000,1.147250000
21329.370000,1.043600000
21329.572000,1.055000000
21329.773000,1.089500000
21329.975000,1.472500000
21330.177000,1.275150000
21330.379000,1.082350000
21330.581000,1.088150000
21330.782000,1.048350000
21330.984000,0.942200000
21331.186000,0.980900000
21331.388000,1.346400000
21331.590000,1.036850000
