uptime_s,current_a
22102.264000,0.398600000
22102.466000,0.398100000
22102.667000,0.447600000
22102.869000,0.400750000
22103.071000,0.398650000
22103.273000,0.398700000
22103.475000,0.399700000
22103.676000,0.398100000
22103.878000,0.398500000
22104.080000,0.399200000
22104.282000,0.398900000
22104.484000,0.447400000
22104.685000,0.398350000
22104.887000,0.398250000
22105.089000,0.399500000
22105.291000,0.398650000
22105.493000,0.401000000
22105.694000,0.351950000
22105.896000,0.351400000
22106.098000,0.350400000
22106.300000,0.352000000
22106.502000,0.353750000
22106.703000,0.350900000
22106.905000,0.390750000
22107.107000,0.398450000
22107.309000,0.399200000
22107.511000,0.351600000
22107.712000,0.351100000
22107.914000,0.351400000
22108.116000,0.351650000
22108.318000,0.350450000
22108.520000,0.350450000
22108.721000,0.350600000
22108.923000,0.351800000
22109.125000,0.351300000
22109.327000,0.351800000
22109.529000,0.350300000
22109.730000,0.351000000
22109.932000,0.351150000
22110.134000,0.353450000
22110.336000,0.351850000
22110.538000,0.350150000
22110.739000,0.350300000
22110.941000,0.386750000
22111.143000,0.350950000
22111.345000,0.350800000
22111.547000,0.343800000
22111.748000,0.343400000
22111.950000,0.343200000
22112.152000,0.427850000
22112.354000,0.667850000
22112.556000,1.287900000
22112.757000,1.251950000
22112.959000,1.152300000
22113.161000,0.998750000
22113.363000,0.997600000
22113.565000,0.989500000
22113.766000,1.002150000
22113.968000,1.049200000
22114.170000,0.998100000
22114.372000,0.935400000
22114.574000,0.935400000
22114.775000,0.999550000
22114.977000,0.938600000
22115.179000,0.944800000
22115.381000,0.938450000
22115.583000,0.940650000
22115.784000,0.935400000
22115.986000,0.937600000
22116.188000,0.938100000
22116.390000,1.341450000
22116.592000,1.222750000
22116.793000,1.038700000
22116.995000,1.048750000
22117.197000,1.044450000
22117.399000,1.046350000
22117.601000,1.049400000
22117.802000,1.046400000
22118.004000,0.987650000
22118.206000,0.987750000
22118.408000,0.989400000
22118.610000,0.939050000
22118.811000,0.943050000
22119.013000,0.943250000
22119.215000,0.980650000
22119.417000,0.938100000
22119.619000,0.934050000
22119.820000,0.936700000
22120.022000,0.940750000
22120.224000,1.364350000
22120.426000,1.182950000
22120.628000,1.005750000
22120.829000,1.053100000
22121.031000,1.048850000
22121.233000,1.005750000
22121.435000,0.999400000
22121.637000,1.000800000
22121.838000,1.001250000
22122.040000,1.035500000
22122.242000,0.990900000
22122.444000,0.996450000
22122.646000,0.994350000
22122.847000,0.998500000
22123.049000,0.991500000
22123.251000,0.992150000
22123.453000,0.993150000
22123.655000,0.990800000
22123.856000,0.948700000
22124.058000,1.310900000
22124.260000,1.200350000
22124.462000,1.005750000
22124.664000,1.008900000
22124.865000,1.004100000
22125.067000,0.999800000
22125.269000,1.009800000
22125.471000,1.005150000
22125.673000,0.942400000
22125.874000,0.945600000
22126.076000,0.945100000
22126.278000,0.944600000
