uptime_s,current_a
20539.525000,0.386750000
20539.726000,0.387150000
20539.928000,0.387100000
20540.130000,0.387100000
20540.332000,0.423350000
20540.534000,0.386750000
20540.735000,0.386650000
20540.937000,0.386550000
20541.139000,0.392600000
20541.341000,0.386450000
20541.543000,0.388700000
20541.744000,0.389500000
20541.946000,0.339950000
20542.148000,0.340300000
20542.350000,0.339850000
20542.552000,0.339500000
20542.753000,0.339750000
20542.955000,0.340750000
20543.157000,0.378300000
20543.359000,0.339750000
20543.561000,0.340050000
20543.762000,0.340800000
20543.964000,0.340150000
20544.166000,0.339850000
20544.368000,0.339700000
20544.570000,0.339950000
20544.771000,0.339850000
20544.973000,0.339500000
20545.175000,0.339800000
20545.377000,0.339450000
20545.579000,0.339650000
20545.780000,0.339500000
20545.982000,0.339700000
20546.184000,0.340100000
20546.386000,0.392350000
20546.588000,0.386200000
20546.789000,0.385500000
20546.991000,0.385600000
20547.193000,0.385850000
20547.395000,0.385700000
20547.597000,0.386100000
20547.798000,0.385200000
20548.000000,0.385550000
20548.202000,0.385900000
20548.404000,0.385200000
20548.606000,0.387400000
20548.807000,0.339450000
20549.009000,0.339500000
20549.211000,0.386700000
20549.413000,0.691850000
20549.615000,0.701050000
20549.816000,0.686550000
20550.018000,0.710500000
20550.220000,0.654100000
20550.422000,1.053000000
20550.624000,0.656000000
20550.825000,1.039950000
20551.027000,1.211950000
20551.229000,1.158850000
20551.431000,1.127100000
20551.633000,0.871350000
20551.834000,1.058200000
20552.036000,1.191350000
20552.238000,0.925350000
20552.440000,0.926500000
20552.642000,0.894750000
20552.843000,0.711850000
20553.045000,0.720950000
20553.247000,0.714750000
20553.449000,0.856200000
20553.651000,1.247700000
20553.852000,0.663050000
20554.054000,1.272400000
20554.256000,1.199000000
20554.458000,1.024700000
20554.660000,1.193950000
20554.861000,1.091800000
20555.063000,1.127950000
20555.265000,0.994150000
20555.467000,0.978600000
20555.669000,0.985650000
20555.870000,0.918300000
20556.072000,0.676300000
20556.274000,0.675000000
20556.476000,0.695100000
20556.678000,0.619950000
20556.879000,1.211950000
20557.081000,1.220300000
20557.283000,1.202500000
20557.485000,0.906500000
20557.687000,1.089700000
20557.888000,1.227700000
20558.090000,0.981450000
20558.292000,1.001150000
20558.494000,0.935750000
20558.696000,1.081650000
20558.897000,0.934450000
20559.099000,0.999500000
20559.301000,0.682250000
20559.503000,0.681650000
20559.705000,0.714900000
20559.906000,0.679250000
20560.108000,1.193200000
20560.310000,0.619550000
20560.512000,1.222450000
20560.714000,1.089000000
20560.915000,1.071100000
20561.117000,1.209050000
20561.319000,1.129700000
20561.521000,1.039200000
20561.723000,0.982850000
20561.924000,1.210250000
20562.126000,1.144850000
20562.328000,1.060750000
20562.530000,1.162500000
20562.732000,0.679700000
20562.933000,0.680200000
20563.135000,0.678800000
20563.337000,1.175300000
20563.539000,1.392100000
20563.741000,1.020750000
20563.942000,1.060350000
20564.144000,1.186850000
20564.346000,1.195350000
