uptime_s,current_a
2960.525000,0.387050000
2960.727000,0.386650000
2960.928000,0.388850000
2961.130000,0.389500000
2961.332000,0.387700000
2961.534000,0.390900000
2961.736000,0.388350000
2961.937000,0.387400000
2962.139000,0.392050000
2962.341000,0.390000000
2962.543000,0.340900000
2962.745000,0.340850000
2962.946000,0.340850000
2963.148000,0.351350000
2963.350000,0.341100000
2963.552000,0.387300000
2963.754000,0.391700000
2963.955000,0.430300000
2964.157000,0.387350000
2964.359000,0.392850000
2964.561000,0.392400000
2964.763000,0.387850000
2964.964000,0.386700000
2965.166000,0.387000000
2965.368000,0.386350000
2965.570000,0.385950000
2965.772000,0.386800000
2965.973000,0.391500000
2966.175000,0.386150000
2966.377000,0.385850000
2966.579000,0.386450000
2966.781000,0.425150000
2966.982000,0.390200000
2967.184000,0.340000000
2967.386000,0.393600000
2967.588000,0.386550000
2967.790000,0.386900000
2967.991000,0.386350000
2968.193000,0.386850000
2968.395000,0.386250000
2968.597000,0.387100000
2968.799000,0.386650000
2969.000000,0.385750000
2969.202000,0.386750000
2969.404000,0.386050000
2969.606000,0.340400000
2969.808000,0.339850000
2970.009000,0.353100000
2970.211000,0.339250000
2970.413000,0.431900000
2970.615000,1.374550000
2970.817000,1.462200000
2971.018000,1.020100000
2971.220000,1.013800000
2971.422000,1.008400000
2971.624000,1.427200000
2971.826000,1.471800000
2972.027000,1.081050000
2972.229000,1.074950000
2972.431000,1.072450000
2972.633000,1.527300000
2972.835000,1.558750000
2973.036000,1.071750000
2973.238000,1.078950000
2973.440000,1.071950000
2973.642000,1.436300000
2973.844000,1.400550000
2974.045000,1.020800000
2974.247000,1.028100000
2974.449000,1.026600000
2974.651000,1.443550000
2974.853000,1.445150000
2975.054000,1.066950000
2975.256000,1.020150000
2975.458000,1.020350000
2975.660000,1.454450000
2975.862000,0.886400000
2976.063000,1.025650000
2976.265000,1.027600000
2976.467000,1.008950000
2976.669000,1.056550000
2976.871000,1.476100000
2977.072000,1.077600000
2977.274000,1.078750000
2977.476000,1.082100000
2977.678000,1.106850000
2977.880000,1.472150000
2978.081000,1.075550000
2978.283000,1.076700000
2978.485000,1.066800000
2978.687000,1.114800000
2978.889000,1.459200000
2979.090000,1.339050000
2979.292000,1.044500000
2979.494000,1.023850000
2979.696000,1.064300000
2979.898000,1.389050000
2980.099000,1.214700000
2980.301000,1.035900000
2980.503000,1.029950000
2980.705000,1.023900000
2980.907000,1.388400000
2981.108000,1.195650000
2981.310000,1.191600000
2981.512000,1.024950000
2981.714000,1.033150000
2981.916000,1.449400000
2982.117000,1.570500000
2982.319000,1.094400000
2982.521000,1.084250000
2982.723000,1.081850000
2982.925000,1.436250000
2983.126000,1.514550000
2983.328000,1.121550000
2983.530000,1.074900000
2983.732000,1.071300000
2983.934000,1.524650000
2984.135000,1.448350000
2984.337000,1.016600000
2984.539000,1.029500000
2984.741000,1.020550000
2984.943000,1.068550000
2985.144000,1.339800000
2985.346000,1.023000000
2985.548000,1.022250000
2985.750000,1.029800000
2985.952000,1.103900000
2986.153000,1.497200000
2986.355000,1.207950000
2986.557000,1.027150000
2986.759000,1.022750000
2986.961000,1.022850000
2987.162000,1.484100000
2987.364000,1.525100000
2987.566000,1.022550000
2987.768000,1.024050000
2987.970000,1.021800000
2988.171000,1.464800000
2988.373000,1.440300000
2988.575000,1.024900000
2988.777000,1.023550000
2988.979000,1.023300000
2989.180000,1.053100000
2989.382000,1.409650000
2989.584000,1.010650000
2989.786000,1.028400000
2989.988000,1.032250000
2990.189000,1.023200000
2990.391000,1.399150000
2990.593000,1.434600000
2990.795000,1.022350000
2990.997000,1.020450000
2991.198000,1.007800000
2991.400000,1.452650000
2991.602000,1.386050000
2991.804000,1.024400000
2992.006000,1.019400000
2992.207000,1.030050000
2992.409000,1.073250000
2992.611000,1.474850000
2992.813000,1.071200000
2993.015000,1.080650000
2993.216000,1.066600000
2993.418000,1.120650000
2993.620000,1.447900000
2993.822000,1.254650000
2994.024000,1.072250000
2994.225000,1.080500000
2994.427000,1.086200000
2994.629000,1.495250000
2994.831000,1.499700000
2995.033000,1.024700000
2995.234000,1.030300000
2995.436000,1.028050000
2995.638000,1.476250000
2995.840000,1.246950000
2996.042000,1.030750000
2996.243000,1.020850000
2996.445000,1.018900000
2996.647000,1.070400000
2996.849000,1.459750000
2997.051000,1.569600000
2997.252000,1.040950000
2997.454000,1.028600000
2997.656000,1.026300000
2997.858000,1.395700000
2998.060000,1.471350000
2998.261000,1.080800000
2998.463000,1.018700000
2998.665000,1.022200000
2998.867000,1.480700000
2999.069000,1.373300000
2999.270000,1.038150000
2999.472000,1.029250000
2999.674000,1.075900000
2999.876000,1.101250000
3000.078000,1.440650000
3000.279000,1.026000000
3000.481000,1.023900000
3000.683000,1.032400000
3000.885000,1.060600000
3001.087000,1.399000000
3001.288000,1.193850000
3001.490000,1.020750000
3001.692000,1.018950000
3001.894000,0.998700000
3002.096000,1.459050000
3002.297000,1.382150000
3002.499000,1.026800000
3002.701000,1.072700000
3002.903000,1.024350000
3003.105000,1.142950000
3003.306000,1.399150000
3003.508000,1.066700000
3003.710000,1.072700000
3003.912000,1.070150000
3004.114000,1.110000000
3004.315000,1.077950000
3004.517000,1.266900000
3004.719000,1.177300000
3004.921000,1.068550000
3005.123000,1.080150000
3005.324000,1.464850000
3005.526000,1.567500000
3005.728000,1.032850000
3005.930000,1.031700000
3006.132000,1.028250000
3006.333000,1.478350000
3006.535000,1.444600000
3006.737000,1.083700000
3006.939000,1.030100000
3007.141000,1.024300000
3007.342000,1.129700000
3007.544000,1.325250000
3007.746000,1.011700000
3007.948000,1.029400000
3008.150000,1.026300000
3008.351000,1.032350000
3008.553000,1.451000000
3008.755000,1.463650000
3008.957000,1.078150000
3009.159000,1.079300000
3009.360000,0.948200000
3009.562000,1.515200000
3009.764000,1.405200000
3009.966000,1.077350000
3010.168000,1.082900000
3010.369000,1.077150000
3010.571000,1.070500000
3010.773000,1.439250000
3010.975000,0.964500000
3011.177000,1.036050000
3011.378000,1.025250000
3011.580000,1.021550000
3011.782000,1.406700000
3011.984000,1.434550000
3012.186000,1.021400000
3012.387000,1.029650000
3012.589000,1.030200000
3012.791000,1.465600000
3012.993000,1.278950000
3013.195000,0.986500000
3013.396000,1.084900000
3013.598000,1.079900000
3013.800000,1.094400000
3014.002000,1.449350000
3014.204000,1.000250000
3014.405000,1.081800000
3014.607000,1.071100000
3014.809000,1.027800000
3015.011000,1.421100000
3015.213000,1.592500000
3015.414000,1.079850000
3015.616000,1.086900000
3015.818000,1.079250000
3016.020000,1.468500000
3016.222000,1.181450000
3016.423000,0.988650000
3016.625000,1.026650000
3016.827000,1.023450000
3017.029000,1.022300000
3017.231000,1.484200000
3017.432000,1.112850000
3017.634000,1.025150000
3017.836000,1.021350000
3018.038000,1.030200000
3018.240000,1.355250000
3018.441000,1.379450000
3018.643000,0.956350000
3018.845000,1.026650000
3019.047000,1.026000000
3019.249000,1.483150000
3019.450000,0.999350000
3019.652000,0.956000000
3019.854000,1.031750000
3020.056000,1.022700000
3020.258000,1.093700000
3020.459000,1.427300000
3020.661000,1.151700000
3020.863000,1.029500000
3021.065000,1.021300000
3021.267000,1.021250000
3021.468000,1.350650000
3021.670000,1.274350000
3021.872000,1.016900000
3022.074000,1.073900000
3022.276000,1.030600000
3022.477000,1.074100000
3022.679000,1.432550000
3022.881000,1.030700000
3023.083000,1.037150000
3023.285000,1.024900000
3023.486000,0.990550000
3023.688000,1.043150000
3023.890000,1.383000000
3024.092000,0.989950000
3024.294000,1.033450000
3024.495000,1.031250000
3024.697000,1.544150000
3024.899000,1.487650000
3025.101000,1.080600000
3025.303000,1.045600000
3025.504000,1.057650000
3025.706000,1.123000000
3025.908000,1.505150000
3026.110000,1.225550000
3026.312000,1.104350000
3026.513000,1.086500000
3026.715000,1.076800000
3026.917000,1.496650000
3027.119000,1.419700000
3027.321000,1.075950000
3027.522000,1.080850000
3027.724000,0.998000000
3027.926000,1.126100000
3028.128000,1.275200000
3028.330000,1.038400000
3028.531000,1.082450000
3028.733000,1.070950000
3028.935000,1.085350000
3029.137000,1.418700000
3029.339000,1.365050000
3029.540000,1.042100000
3029.742000,1.047650000
3029.944000,1.032600000
3030.146000,1.480850000
3030.348000,1.231000000
3030.549000,0.931600000
3030.751000,1.026300000
3030.953000,1.028300000
3031.155000,1.045550000
3031.357000,1.033250000
3031.558000,1.197600000
3031.760000,1.035200000
3031.962000,1.030500000
3032.164000,1.032100000
3032.366000,1.468300000
3032.567000,1.305300000
3032.769000,1.026800000
3032.971000,0.990250000
3033.173000,1.117150000
3033.375000,1.071250000
3033.576000,1.219650000
3033.778000,1.169900000
3033.980000,1.006100000
3034.182000,1.081100000
3034.384000,1.086450000
3034.585000,1.560450000
3034.787000,1.273650000
3034.989000,1.074850000
3035.191000,1.030700000
3035.393000,1.015550000
3035.594000,1.069400000
3035.796000,1.332550000
3035.998000,1.003000000
3036.200000,1.079250000
3036.402000,1.069700000
3036.603000,1.077950000
3036.805000,1.339900000
3037.007000,1.591900000
3037.209000,1.079500000
3037.411000,1.084650000
3037.612000,1.077750000
3037.814000,1.470200000
3038.016000,1.461150000
3038.218000,0.953900000
3038.420000,0.993700000
3038.621000,1.024400000
3038.823000,1.076950000
3039.025000,1.297550000
3039.227000,1.148000000
3039.429000,1.088550000
3039.630000,0.991600000
3039.832000,1.026400000
3040.034000,1.476150000
3040.236000,1.320200000
3040.438000,0.991500000
3040.639000,1.029650000
3040.841000,0.982100000
3041.043000,1.042550000
3041.245000,1.456200000
3041.447000,1.114700000
3041.648000,0.994650000
3041.850000,1.040550000
3042.052000,0.953500000
3042.254000,1.354900000
3042.456000,1.308300000
3042.657000,0.954600000
3042.859000,0.998050000
3043.061000,1.029500000
3043.263000,1.063700000
3043.465000,1.302150000
3043.666000,1.047100000
3043.868000,0.989650000
3044.070000,1.038100000
3044.272000,1.040950000
3044.474000,1.467050000
3044.675000,1.517950000
3044.877000,0.949650000
3045.079000,0.989450000
3045.281000,0.950650000
3045.483000,1.068000000
3045.684000,1.452350000
3045.886000,1.057400000
3046.088000,0.990350000
3046.290000,1.033550000
3046.492000,1.023900000
3046.693000,1.489400000
3046.895000,1.329200000
3047.097000,1.030100000
3047.299000,1.074700000
3047.501000,1.068600000
3047.702000,1.073450000
3047.904000,1.389250000
3048.106000,1.232600000
3048.308000,1.045700000
3048.510000,1.074450000
3048.711000,1.082650000
3048.913000,1.435450000
3049.115000,1.296050000
3049.317000,1.024700000
3049.519000,0.995000000
3049.720000,1.026000000
3049.922000,1.040200000
3050.124000,1.489350000
3050.326000,0.910650000
3050.528000,1.037850000
3050.729000,0.956250000
3050.931000,1.020950000
3051.133000,1.436500000
3051.335000,1.266150000
3051.537000,1.031850000
3051.738000,0.935500000
3051.940000,1.024850000
3052.142000,1.066700000
3052.344000,1.405500000
3052.546000,1.034250000
3052.747000,0.956000000
3052.949000,1.026200000
3053.151000,1.005450000
3053.353000,1.346550000
3053.555000,1.294100000
3053.756000,0.930600000
3053.958000,1.036400000
3054.160000,1.031350000
3054.362000,1.056650000
3054.564000,1.176550000
3054.765000,1.155050000
3054.967000,1.062900000
3055.169000,0.985900000
3055.371000,1.035200000
3055.573000,1.448850000
3055.774000,1.197100000
3055.976000,0.993650000
3056.178000,1.034950000
3056.380000,0.988050000
3056.582000,0.978450000
3056.783000,1.307250000
3056.985000,1.046550000
3057.187000,0.938200000
3057.389000,1.026250000
3057.591000,1.042800000
3057.792000,1.485500000
3057.994000,1.376050000
3058.196000,1.038550000
3058.398000,1.041000000
3058.600000,1.035950000
3058.801000,1.028000000
3059.003000,1.412850000
3059.205000,1.148400000
3059.407000,1.080550000
3059.609000,1.044500000
3059.810000,1.027850000
3060.012000,1.426300000
3060.214000,1.397200000
3060.416000,0.950250000
3060.618000,1.029800000
3060.819000,0.951900000
3061.021000,0.966200000
3061.223000,0.849000000
3061.425000,1.086700000
3061.627000,1.044450000
3061.828000,1.033000000
3062.030000,1.029700000
3062.232000,1.353100000
3062.434000,1.372700000
3062.636000,1.040550000
3062.837000,0.975300000
3063.039000,0.990900000
3063.241000,1.074850000
3063.443000,1.294650000
3063.645000,1.227450000
3063.846000,1.084100000
3064.048000,1.046250000
3064.250000,1.084500000
3064.452000,1.488950000
3064.654000,1.345100000
3064.855000,1.041950000
3065.057000,1.085750000
3065.259000,0.986950000
3065.461000,0.995900000
3065.663000,1.189800000
3065.864000,1.258950000
3066.066000,1.009000000
3066.268000,1.030050000
3066.470000,0.991250000
3066.672000,1.106750000
3066.873000,1.253150000
3067.075000,1.034200000
3067.277000,1.031000000
3067.479000,1.036250000
3067.681000,0.978500000
3067.882000,1.368500000
3068.084000,1.224400000
3068.286000,1.001150000
3068.488000,0.999450000
3068.690000,0.989750000
3068.891000,1.013850000
3069.093000,1.369350000
3069.295000,0.976200000
3069.497000,1.072000000
3069.699000,1.031300000
3069.900000,1.037450000
3070.102000,1.343250000
3070.304000,1.299650000
3070.506000,0.966700000
3070.708000,1.077900000
3070.909000,0.961550000
3071.111000,1.062200000
3071.313000,1.247300000
3071.515000,0.911250000
3071.717000,0.991900000
3071.918000,1.035300000
3072.120000,1.030700000
3072.322000,1.363000000
3072.524000,1.247200000
3072.726000,1.031450000
3072.927000,1.024100000
3073.129000,0.951600000
3073.331000,1.069800000
3073.533000,1.337700000
3073.735000,0.932400000
3073.936000,0.954750000
3074.138000,0.993500000
3074.340000,1.033850000
3074.542000,1.379750000
3074.744000,1.268100000
3074.945000,0.911150000
3075.147000,1.028100000
3075.349000,1.080850000
3075.551000,1.104350000
3075.753000,1.255000000
3075.954000,1.083300000
3076.156000,0.962700000
3076.358000,1.031350000
3076.560000,1.036150000
3076.762000,1.463050000
3076.963000,1.376200000
3077.165000,0.990350000
3077.367000,0.933400000
3077.569000,0.953300000
3077.771000,1.071300000
3077.972000,1.172600000
3078.174000,1.120200000
3078.376000,0.989800000
3078.578000,1.032250000
3078.780000,1.039350000
3078.981000,1.469700000
3079.183000,1.219700000
3079.385000,0.935400000
3079.587000,0.936500000
3079.789000,0.954750000
3079.990000,1.026950000
3080.192000,1.473450000
3080.394000,1.206000000
3080.596000,1.081900000
3080.798000,1.033400000
3080.999000,0.988050000
3081.201000,1.534800000
3081.403000,1.335850000
3081.605000,1.079000000
3081.807000,1.055250000
3082.008000,1.040750000
3082.210000,1.077500000
3082.412000,1.417800000
3082.614000,1.287300000
3082.816000,0.952550000
3083.017000,1.077750000
3083.219000,1.034700000
3083.421000,1.441650000
3083.623000,1.284800000
3083.825000,0.951500000
3084.026000,1.036550000
3084.228000,0.984450000
3084.430000,0.993600000
3084.632000,1.457100000
3084.834000,1.344450000
3085.035000,0.977500000
3085.237000,1.002650000
3085.439000,1.037050000
3085.641000,1.022250000
3085.843000,1.366700000
3086.044000,1.105650000
3086.246000,1.094800000
3086.448000,1.004700000
3086.650000,1.010350000
3086.852000,1.494050000
3087.053000,1.292500000
3087.255000,1.006900000
3087.457000,1.089450000
3087.659000,0.989900000
3087.861000,1.108900000
3088.062000,1.367150000
3088.264000,1.117800000
3088.466000,1.084250000
3088.668000,1.041650000
3088.870000,1.045100000
3089.071000,1.483200000
3089.273000,0.949200000
3089.475000,0.960400000
3089.677000,1.034000000
3089.879000,1.033150000
3090.080000,0.951950000
3090.282000,1.316450000
3090.484000,1.374900000
3090.686000,0.932350000
3090.888000,0.943350000
3091.089000,1.024100000
3091.291000,1.022400000
3091.493000,1.288400000
3091.695000,1.159950000
3091.897000,1.004500000
3092.098000,1.039550000
3092.300000,1.006650000
3092.502000,1.528450000
3092.704000,1.337800000
3092.906000,0.985300000
3093.107000,1.004050000
3093.309000,1.082250000
3093.511000,1.079500000
3093.713000,1.287150000
3093.915000,1.354550000
3094.116000,1.028900000
3094.318000,1.000500000
3094.520000,1.079750000
3094.722000,1.238900000
3094.924000,1.338000000
3095.125000,1.013150000
3095.327000,0.986750000
