uptime_s,current_a
4615.890000,0.395300000
4616.092000,0.388650000
4616.294000,0.389000000
4616.496000,0.388550000
4616.697000,0.388300000
4616.899000,0.388050000
4617.101000,0.389750000
4617.303000,0.388100000
4617.505000,0.389650000
4617.706000,0.388350000
4617.908000,0.390400000
4618.110000,0.389250000
4618.312000,0.397350000
4618.514000,0.389800000
4618.715000,0.389950000
4618.917000,0.388800000
4619.119000,0.388900000
4619.321000,0.389950000
4619.523000,0.388800000
4619.724000,0.390050000
4619.926000,0.389550000
4620.128000,0.388450000
4620.330000,0.389300000
4620.532000,0.340250000
4620.733000,0.343150000
4620.935000,0.342200000
4621.137000,0.341250000
4621.339000,0.341350000
4621.541000,0.341250000
4621.742000,0.340450000
4621.944000,0.341250000
4622.146000,0.340400000
4622.348000,0.340550000
4622.550000,0.340650000
4622.751000,0.340650000
4622.953000,0.378650000
4623.155000,0.340150000
4623.357000,0.341850000
4623.559000,0.340250000
4623.760000,0.340800000
4623.962000,0.340300000
4624.164000,0.340450000
4624.366000,0.343000000
4624.568000,0.340300000
4624.769000,0.340050000
4624.971000,0.340050000
4625.173000,0.340000000
4625.375000,0.340250000
4625.577000,0.339600000
4625.778000,0.429350000
4625.980000,0.478950000
4626.182000,0.551150000
4626.384000,0.485050000
4626.586000,0.600700000
4626.787000,0.635750000
4626.989000,0.682750000
4627.191000,0.685600000
4627.393000,0.642300000
4627.595000,0.660600000
4627.796000,0.638800000
4627.998000,0.650200000
4628.200000,0.649450000
4628.402000,0.642300000
4628.604000,0.669350000
4628.805000,0.676100000
4629.007000,0.681300000
4629.209000,0.658800000
4629.411000,0.673500000
4629.613000,0.656100000
4629.814000,1.219300000
4630.016000,1.070350000
4630.218000,1.070750000
4630.420000,1.496300000
4630.622000,1.412300000
4630.823000,1.028200000
4631.025000,1.025550000
4631.227000,1.021350000
4631.429000,1.428800000
4631.631000,1.411300000
4631.832000,1.032250000
4632.034000,1.032500000
4632.236000,1.028100000
4632.438000,1.455400000
4632.640000,1.488800000
4632.841000,1.061700000
4633.043000,1.026950000
4633.245000,1.013700000
4633.447000,1.426050000
4633.649000,1.318250000
4633.850000,1.026800000
4634.052000,1.068500000
4634.254000,1.103800000
4634.456000,1.419600000
4634.658000,1.418300000
4634.859000,1.033500000
4635.061000,1.023200000
4635.263000,1.036550000
4635.465000,1.414600000
4635.667000,1.445950000
4635.868000,1.028100000
4636.070000,1.044900000
4636.272000,1.028050000
4636.474000,1.027050000
4636.676000,1.450350000
4636.877000,1.027850000
4637.079000,1.034450000
4637.281000,1.029800000
4637.483000,1.033400000
4637.685000,1.487750000
4637.886000,1.087700000
4638.088000,1.035200000
4638.290000,1.030100000
4638.492000,1.043050000
4638.694000,1.423800000
4638.895000,1.031950000
4639.097000,1.021350000
4639.299000,1.034350000
4639.501000,1.041550000
4639.703000,1.529900000
4639.904000,1.262450000
4640.106000,1.073050000
4640.308000,1.078950000
4640.510000,1.078700000
4640.712000,1.527700000
4640.913000,1.590650000
4641.115000,1.078700000
4641.317000,1.074200000
4641.519000,1.080850000
4641.721000,1.496800000
4641.922000,1.480900000
4642.124000,1.081150000
4642.326000,1.120750000
4642.528000,1.028650000
4642.730000,1.031350000
4642.931000,1.504850000
4643.133000,1.024050000
4643.335000,1.027950000
4643.537000,1.025250000
4643.739000,1.045800000
4643.940000,1.369350000
4644.142000,1.194250000
4644.344000,1.028800000
4644.546000,1.030450000
4644.748000,1.034000000
4644.949000,1.450000000
4645.151000,1.638350000
4645.353000,1.079900000
4645.555000,1.076700000
4645.757000,1.077950000
4645.958000,1.350050000
4646.160000,1.563200000
4646.362000,1.089300000
4646.564000,1.069550000
4646.766000,1.075000000
4646.967000,1.086000000
4647.169000,1.528350000
4647.371000,1.021600000
