uptime_s,current_a
14908.699000,0.374850000
14908.901000,0.412400000
14909.103000,0.376400000
14909.305000,0.375350000
14909.506000,0.375550000
14909.708000,0.377250000
14909.910000,0.375800000
14910.112000,0.375650000
14910.314000,0.375150000
14910.515000,0.375900000
14910.717000,0.375250000
14910.919000,0.330550000
14911.121000,0.330000000
14911.323000,0.330350000
14911.524000,0.331400000
14911.726000,0.367150000
14911.928000,0.330100000
14912.130000,0.330700000
14912.332000,0.346250000
14912.533000,0.374350000
14912.735000,0.339550000
14912.937000,0.330500000
14913.139000,0.330300000
14913.341000,0.332250000
14913.542000,0.330250000
14913.744000,0.330550000
14913.946000,0.331150000
14914.148000,0.330900000
14914.350000,0.330250000
14914.551000,0.330550000
14914.753000,0.330350000
14914.955000,0.330250000
14915.157000,0.330550000
14915.359000,0.330150000
14915.560000,0.330700000
14915.762000,0.330150000
14915.964000,0.330300000
14916.166000,0.330100000
14916.368000,0.330000000
14916.569000,0.330250000
14916.771000,0.329900000
14916.973000,0.332500000
14917.175000,0.330600000
14917.377000,0.330400000
14917.578000,0.329900000
14917.780000,0.330300000
14917.982000,0.330050000
14918.184000,0.331100000
14918.386000,0.329550000
14918.587000,0.330750000
14918.789000,0.449200000
14918.991000,0.464350000
14919.193000,1.440450000
14919.395000,1.325050000
14919.596000,1.036950000
14919.798000,1.151250000
14920.000000,1.119800000
14920.202000,1.142550000
14920.404000,0.704050000
14920.605000,1.114200000
14920.807000,1.308600000
14921.009000,1.378650000
14921.211000,1.300700000
14921.413000,1.218600000
14921.614000,1.323150000
14921.816000,1.114450000
14922.018000,1.154450000
14922.220000,1.122150000
14922.422000,0.993100000
14922.623000,1.196000000
14922.825000,1.242750000
14923.027000,1.335550000
14923.229000,1.316300000
14923.431000,0.479100000
14923.632000,0.473950000
14923.834000,0.469350000
14924.036000,0.475100000
14924.238000,0.468400000
14924.440000,0.468850000
14924.641000,0.468850000
14924.843000,0.474300000
14925.045000,0.468350000
14925.247000,0.467750000
14925.449000,0.469700000
14925.650000,0.422550000
14925.852000,0.422350000
14926.054000,0.422450000
14926.256000,0.468150000
14926.458000,0.466550000
14926.659000,0.422050000
14926.861000,0.422400000
14927.063000,0.422050000
14927.265000,0.422350000
14927.467000,0.421600000
14927.668000,0.421700000
14927.870000,0.423250000
14928.072000,0.421300000
14928.274000,0.458600000
14928.476000,0.421600000
14928.677000,0.421150000
14928.879000,0.422600000
14929.081000,0.421500000
14929.283000,0.331950000
14929.485000,0.331900000
14929.686000,0.331750000
14929.888000,0.332350000
14930.090000,0.331850000
14930.292000,0.335300000
14930.494000,0.331700000
14930.695000,0.331900000
14930.897000,0.331550000
14931.099000,0.369200000
14931.301000,0.331650000
14931.503000,0.331650000
14931.704000,0.331600000
14931.906000,0.331450000
14932.108000,0.331300000
14932.310000,0.331150000
14932.512000,0.375750000
14932.713000,0.379350000
14932.915000,0.384650000
14933.117000,0.378050000
14933.319000,0.375650000
14933.521000,0.380400000
