uptime_s,current_a
30522.974000,0.379250000
30523.176000,0.379500000
30523.378000,0.379650000
30523.580000,0.419750000
30523.781000,0.378750000
30523.983000,0.379600000
30524.185000,0.379500000
30524.387000,0.379200000
30524.589000,0.378850000
30524.790000,0.380300000
30524.992000,0.379950000
30525.194000,0.380550000
30525.396000,0.380000000
30525.598000,0.379000000
30525.799000,0.378850000
30526.001000,0.382150000
30526.203000,0.380050000
30526.405000,0.416650000
30526.607000,0.383000000
30526.808000,0.379600000
30527.010000,0.333500000
30527.212000,0.336250000
30527.414000,0.333950000
30527.616000,0.334050000
30527.817000,0.379200000
30528.019000,0.384000000
30528.221000,0.384900000
30528.423000,0.378650000
30528.625000,0.379050000
30528.826000,0.379400000
30529.028000,0.378700000
30529.230000,0.378850000
30529.432000,0.379850000
30529.634000,0.379100000
30529.835000,0.379100000
30530.037000,0.378950000
30530.239000,0.378750000
30530.441000,0.338050000
30530.643000,0.333700000
30530.844000,0.336950000
30531.046000,0.333700000
30531.248000,0.334000000
30531.450000,0.333750000
30531.652000,0.333500000
30531.853000,0.333900000
30532.055000,0.344050000
30532.257000,0.333800000
30532.459000,0.346950000
30532.661000,0.344250000
30532.862000,0.934800000
30533.064000,1.165550000
30533.266000,1.422100000
30533.468000,1.339100000
30533.670000,1.377050000
30533.871000,1.279850000
30534.073000,1.162100000
30534.275000,0.820050000
30534.477000,1.121950000
30534.679000,1.174700000
30534.880000,1.311600000
30535.082000,1.371500000
30535.284000,1.420450000
30535.486000,1.272900000
30535.688000,1.006650000
30535.889000,1.037550000
30536.091000,1.170150000
30536.293000,1.374900000
30536.495000,1.369250000
30536.697000,1.182400000
30536.898000,1.312350000
30537.100000,0.476800000
30537.302000,0.475950000
30537.504000,0.474700000
30537.706000,0.476800000
30537.907000,0.475100000
30538.109000,0.474100000
30538.311000,0.474800000
30538.513000,0.474050000
30538.715000,0.473350000
30538.916000,0.474300000
30539.118000,0.428150000
30539.320000,0.427350000
30539.522000,0.427500000
30539.724000,0.476100000
30539.925000,0.474100000
30540.127000,0.433700000
30540.329000,0.427600000
30540.531000,0.438050000
30540.733000,0.427500000
30540.934000,0.426800000
30541.136000,0.427050000
30541.338000,0.427400000
30541.540000,0.426550000
30541.742000,0.426550000
30541.943000,0.427950000
30542.145000,0.426450000
30542.347000,0.426550000
30542.549000,0.426250000
30542.751000,0.426500000
30542.952000,0.427450000
30543.154000,0.335400000
30543.356000,0.336100000
30543.558000,0.336100000
30543.760000,0.335550000
30543.961000,0.335550000
30544.163000,0.335550000
30544.365000,0.336300000
30544.567000,0.335800000
30544.769000,0.335700000
30544.970000,0.335350000
30545.172000,0.335000000
30545.374000,0.336350000
30545.576000,0.335100000
30545.778000,0.372050000
30545.979000,0.335050000
30546.181000,0.334550000
30546.383000,0.334900000
30546.585000,0.334350000
30546.787000,0.381650000
30546.988000,0.379650000
