uptime_s,current_a
31675.858000,0.373650000
31676.059000,0.373050000
31676.261000,0.373100000
31676.463000,0.372650000
31676.665000,0.373950000
31676.867000,0.375800000
31677.068000,0.373550000
31677.270000,0.373000000
31677.472000,0.373100000
31677.674000,0.372950000
31677.876000,0.373550000
31678.077000,0.328350000
31678.279000,0.328150000
31678.481000,0.328150000
31678.683000,0.328700000
31678.885000,0.328050000
31679.086000,0.328400000
31679.288000,0.329550000
31679.490000,0.330600000
31679.692000,0.328500000
31679.894000,0.328200000
31680.095000,0.328500000
31680.297000,0.328900000
31680.499000,0.333150000
31680.701000,0.328300000
31680.903000,0.328450000
31681.104000,0.328600000
31681.306000,0.328250000
31681.508000,0.328550000
31681.710000,0.329250000
31681.912000,0.329550000
31682.113000,0.328250000
31682.315000,0.328600000
31682.517000,0.365800000
31682.719000,0.329100000
31682.921000,0.328000000
31683.122000,0.330400000
31683.324000,0.328200000
31683.526000,0.328650000
31683.728000,0.376200000
31683.930000,0.369100000
31684.131000,0.348000000
31684.333000,0.328050000
31684.535000,0.327700000
31684.737000,0.328350000
31684.939000,0.328300000
31685.140000,0.328750000
31685.342000,0.328100000
31685.544000,0.328300000
31685.746000,0.328200000
31685.948000,1.354950000
31686.149000,1.076800000
31686.351000,1.378950000
31686.553000,1.419400000
31686.755000,0.681900000
31686.957000,1.382300000
31687.158000,1.206700000
31687.360000,0.960000000
31687.562000,1.335250000
31687.764000,1.405950000
31687.966000,0.468300000
31688.167000,0.467550000
31688.369000,0.464550000
31688.571000,0.464750000
31688.773000,0.464700000
31688.975000,0.465100000
31689.176000,0.464750000
31689.378000,0.464050000
31689.580000,0.464900000
31689.782000,0.464100000
31689.984000,0.418150000
31690.185000,0.418700000
31690.387000,0.418300000
31690.589000,0.423750000
31690.791000,0.502150000
31690.993000,0.386950000
31691.194000,0.330250000
31691.396000,0.329900000
31691.598000,0.329050000
31691.800000,0.330800000
31692.002000,0.329550000
31692.203000,0.374800000
31692.405000,0.374250000
31692.607000,0.382150000
31692.809000,0.374750000
31693.011000,0.374050000
31693.212000,0.373700000
31693.414000,0.376650000
31693.616000,0.411300000
31693.818000,0.374600000
31694.020000,0.374550000
31694.221000,0.330000000
31694.423000,0.328950000
31694.625000,0.328850000
31694.827000,0.328650000
31695.029000,0.328850000
31695.230000,0.329500000
31695.432000,0.328300000
31695.634000,0.328450000
31695.836000,0.328600000
31696.038000,0.328650000
31696.239000,0.329100000
31696.441000,0.328400000
31696.643000,0.329050000
31696.845000,0.328750000
31697.047000,0.376600000
31697.248000,0.373450000
31697.450000,0.377700000
31697.652000,0.374100000
31697.854000,0.373400000
