uptime_s,current_a
15252.768000,0.373600000
15252.970000,0.372500000
15253.172000,0.372150000
15253.374000,0.372350000
15253.575000,0.372600000
15253.777000,0.373200000
15253.979000,0.372850000
15254.181000,0.372750000
15254.383000,0.374450000
15254.584000,0.372900000
15254.786000,0.327600000
15254.988000,0.364950000
15255.190000,0.329350000
15255.392000,0.327400000
15255.593000,0.328250000
15255.795000,0.328050000
15255.997000,0.377300000
15256.199000,0.328300000
15256.401000,0.373200000
15256.602000,0.371700000
15256.804000,0.328100000
15257.006000,0.327650000
15257.208000,0.328000000
15257.410000,0.327650000
15257.611000,0.328750000
15257.813000,0.328050000
15258.015000,0.329900000
15258.217000,0.327650000
15258.419000,0.327700000
15258.620000,0.327550000
15258.822000,0.327250000
15259.024000,0.327300000
15259.226000,0.327400000
15259.428000,0.327650000
15259.629000,0.327600000
15259.831000,0.327650000
15260.033000,0.327050000
15260.235000,0.327550000
15260.437000,0.328600000
15260.638000,0.327700000
15260.840000,0.372500000
15261.042000,0.327750000
15261.244000,0.327600000
15261.446000,0.327300000
15261.647000,0.327400000
15261.849000,0.327800000
15262.051000,0.327950000
15262.253000,0.327650000
15262.455000,0.787500000
15262.656000,1.430500000
15262.858000,1.294200000
15263.060000,1.362500000
15263.262000,1.129500000
15263.464000,1.175400000
15263.665000,1.395950000
15263.867000,1.337600000
15264.069000,1.389550000
15264.271000,0.656150000
15264.473000,0.464950000
15264.674000,0.464600000
15264.876000,0.464100000
15265.078000,0.464000000
15265.280000,0.464650000
15265.482000,0.463100000
15265.683000,0.463500000
15265.885000,0.466350000
15266.087000,0.468200000
15266.289000,0.463150000
15266.491000,0.418200000
15266.692000,0.418150000
15266.894000,0.418200000
15267.096000,0.418300000
15267.298000,0.418000000
15267.500000,0.417950000
15267.701000,0.418950000
15267.903000,0.384400000
15268.105000,0.329050000
15268.307000,0.328950000
15268.509000,0.380550000
15268.710000,0.374850000
15268.912000,0.375150000
15269.114000,0.374800000
15269.316000,0.373950000
15269.518000,0.374350000
15269.719000,0.373500000
15269.921000,0.373950000
15270.123000,0.377100000
15270.325000,0.373550000
15270.527000,0.374400000
15270.728000,0.327950000
15270.930000,0.328500000
15271.132000,0.328150000
15271.334000,0.328250000
15271.536000,0.365350000
15271.737000,0.328450000
15271.939000,0.330350000
15272.141000,0.328300000
15272.343000,0.328400000
15272.545000,0.329400000
15272.746000,0.328050000
15272.948000,0.328450000
15273.150000,0.328250000
15273.352000,0.328000000
15273.554000,0.327850000
15273.755000,0.328500000
15273.957000,0.373050000
15274.159000,0.373250000
15274.361000,0.420750000
