uptime_s,current_a
76144.102000,0.372350000
76144.304000,0.373150000
76144.506000,0.372450000
76144.707000,0.375000000
76144.909000,0.372700000
76145.111000,0.372400000
76145.313000,0.372700000
76145.515000,0.372500000
76145.716000,0.372750000
76145.918000,0.372650000
76146.120000,0.328000000
76146.322000,0.329400000
76146.524000,0.327950000
76146.725000,0.328450000
76146.927000,0.365300000
76147.129000,0.327750000
76147.331000,0.327950000
76147.533000,0.327550000
76147.734000,0.327450000
76147.936000,0.327500000
76148.138000,0.327450000
76148.340000,0.350600000
76148.542000,0.331700000
76148.743000,0.374050000
76148.945000,0.333300000
76149.147000,0.372650000
76149.349000,0.373050000
76149.551000,0.373500000
76149.752000,0.372700000
76149.954000,0.373550000
76150.156000,0.373550000
76150.358000,0.373700000
76150.560000,0.373150000
76150.761000,0.373600000
76150.963000,0.375350000
76151.165000,0.328950000
76151.367000,0.327800000
76151.569000,0.327700000
76151.770000,0.330400000
76151.972000,0.328000000
76152.174000,0.373150000
76152.376000,0.372850000
76152.578000,0.373300000
76152.779000,0.372750000
76152.981000,0.373200000
76153.183000,0.373650000
76153.385000,0.378250000
76153.587000,0.373550000
76153.788000,0.373000000
76153.990000,0.372400000
76154.192000,1.363200000
76154.394000,1.410400000
76154.596000,1.364400000
76154.797000,1.326700000
76154.999000,1.292950000
76155.201000,1.390700000
76155.403000,1.358500000
76155.605000,1.341700000
76155.806000,1.404450000
76156.008000,0.465350000
76156.210000,0.465200000
76156.412000,0.465450000
76156.614000,0.464700000
76156.815000,0.464750000
76157.017000,0.464400000
76157.219000,0.464200000
76157.421000,0.467950000
76157.623000,0.469000000
76157.824000,0.464250000
76158.026000,0.483650000
76158.228000,0.419550000
76158.430000,0.418500000
76158.632000,0.418750000
76158.833000,0.420000000
76159.035000,0.418650000
76159.237000,0.383550000
76159.439000,0.383750000
76159.641000,0.328900000
76159.842000,0.330250000
76160.044000,0.328700000
76160.246000,0.328350000
76160.448000,0.329300000
76160.650000,0.328600000
76160.851000,0.328900000
76161.053000,0.328600000
76161.255000,0.328700000
76161.457000,0.328150000
76161.659000,0.332500000
76161.860000,0.328200000
76162.062000,0.328350000
76162.264000,0.355400000
76162.466000,0.374000000
76162.668000,0.336750000
76162.869000,0.327950000
76163.071000,0.328200000
76163.273000,0.328250000
76163.475000,0.328200000
76163.677000,0.328250000
76163.878000,0.328400000
76164.080000,0.328150000
76164.282000,0.328500000
76164.484000,0.328500000
76164.686000,0.328200000
76164.887000,0.327700000
76165.089000,0.329600000
76165.291000,0.327900000
76165.493000,0.327950000
76165.695000,0.328650000
76165.896000,0.330500000
