uptime_s,current_a
31609.465000,0.374800000
31609.667000,0.374650000
31609.869000,0.374250000
31610.071000,0.375950000
31610.273000,0.377400000
31610.474000,0.374100000
31610.676000,0.374350000
31610.878000,0.374700000
31611.080000,0.374550000
31611.282000,0.377400000
31611.483000,0.329800000
31611.685000,0.330050000
31611.887000,0.329350000
31612.089000,0.330250000
31612.291000,0.329700000
31612.492000,0.331150000
31612.694000,0.330100000
31612.896000,0.329500000
31613.098000,0.330250000
31613.300000,0.367100000
31613.501000,0.329050000
31613.703000,0.329500000
31613.905000,0.329250000
31614.107000,0.329250000
31614.309000,0.330350000
31614.510000,0.329400000
31614.712000,0.329200000
31614.914000,0.340650000
31615.116000,0.375800000
31615.318000,0.333400000
31615.519000,0.329250000
31615.721000,0.329550000
31615.923000,0.329850000
31616.125000,0.329450000
31616.327000,0.329750000
31616.528000,0.328900000
31616.730000,0.330350000
31616.932000,0.329600000
31617.134000,0.329700000
31617.336000,0.329800000
31617.537000,0.329100000
31617.739000,0.329700000
31617.941000,0.329200000
31618.143000,0.339800000
31618.345000,0.329250000
31618.546000,0.328900000
31618.748000,0.329550000
31618.950000,0.329200000
31619.152000,0.330150000
31619.354000,0.408000000
31619.555000,0.711950000
31619.757000,1.181400000
31619.959000,1.335400000
31620.161000,1.299000000
31620.363000,1.014000000
31620.564000,1.085750000
31620.766000,1.473800000
31620.968000,1.363950000
31621.170000,1.398700000
31621.372000,1.211900000
31621.573000,1.126750000
31621.775000,0.905250000
31621.977000,1.187450000
31622.179000,1.428450000
31622.381000,1.305900000
31622.582000,1.070100000
31622.784000,1.128950000
31622.986000,0.893050000
31623.188000,1.309200000
31623.390000,1.387700000
31623.591000,1.260400000
31623.793000,0.987400000
31623.995000,0.469750000
31624.197000,0.468950000
31624.399000,0.506500000
31624.600000,0.468600000
31624.802000,0.467800000
31625.004000,0.467950000
31625.206000,0.467350000
31625.408000,0.469900000
31625.609000,0.466550000
31625.811000,0.467150000
31626.013000,0.422050000
31626.215000,0.421400000
31626.417000,0.422050000
31626.618000,0.421850000
31626.820000,0.422700000
31627.022000,0.421450000
31627.224000,0.420900000
31627.426000,0.421600000
31627.627000,0.421350000
31627.829000,0.421400000
31628.031000,0.420650000
31628.233000,0.420900000
31628.435000,0.420200000
31628.636000,0.421050000
31628.838000,0.467000000
31629.040000,0.451150000
31629.242000,0.426650000
31629.444000,0.420450000
31629.645000,0.331250000
31629.847000,0.331600000
31630.049000,0.331100000
31630.251000,0.331700000
31630.453000,0.330500000
31630.654000,0.330700000
31630.856000,0.331300000
31631.058000,0.330950000
31631.260000,0.330950000
31631.462000,0.330700000
31631.663000,0.331600000
31631.865000,0.330800000
31632.067000,0.330450000
31632.269000,0.331250000
31632.471000,0.330750000
31632.672000,0.369400000
31632.874000,0.330450000
31633.076000,0.332750000
31633.278000,0.330650000
31633.480000,0.330300000
31633.681000,0.330350000
