uptime_s,current_a
16851.831000,0.379850000
16852.033000,0.375300000
16852.235000,0.373900000
16852.437000,0.374550000
16852.639000,0.374200000
16852.840000,0.376900000
16853.042000,0.411900000
16853.244000,0.374750000
16853.446000,0.376100000
16853.648000,0.374400000
16853.849000,0.374600000
16854.051000,0.328900000
16854.253000,0.329200000
16854.455000,0.329200000
16854.657000,0.329750000
16854.858000,0.332000000
16855.060000,0.375500000
16855.262000,0.335200000
16855.464000,0.329150000
16855.666000,0.329150000
16855.867000,0.367350000
16856.069000,0.329200000
16856.271000,0.329150000
16856.473000,0.329200000
16856.675000,0.329150000
16856.876000,0.329500000
16857.078000,0.329050000
16857.280000,0.329000000
16857.482000,0.329050000
16857.684000,0.329400000
16857.885000,0.329200000
16858.087000,0.384650000
16858.289000,0.330100000
16858.491000,0.329450000
16858.693000,0.329450000
16858.894000,0.329450000
16859.096000,0.329350000
16859.298000,0.329350000
16859.500000,0.328900000
16859.702000,0.328800000
16859.903000,0.328850000
16860.105000,0.329750000
16860.307000,0.329450000
16860.509000,0.328650000
16860.711000,0.328800000
16860.912000,0.328400000
16861.114000,0.342500000
16861.316000,0.329350000
16861.518000,0.328600000
16861.720000,0.333250000
16861.921000,0.488550000
16862.123000,0.440750000
16862.325000,0.879700000
16862.527000,1.250500000
16862.729000,1.271200000
16862.930000,1.292950000
16863.132000,1.160300000
16863.334000,1.074000000
16863.536000,0.766300000
16863.738000,1.182400000
16863.939000,1.377650000
16864.141000,1.409100000
16864.343000,1.233900000
16864.545000,0.980550000
16864.747000,1.123750000
16864.948000,1.113400000
16865.150000,1.389900000
16865.352000,1.375800000
16865.554000,1.074700000
16865.756000,0.997350000
16865.957000,1.120950000
16866.159000,0.906850000
16866.361000,1.223250000
16866.563000,1.305850000
16866.765000,0.468250000
16866.966000,0.468200000
16867.168000,0.468050000
16867.370000,0.467950000
16867.572000,0.467300000
16867.774000,0.467100000
16867.975000,0.467200000
16868.177000,0.466500000
16868.379000,0.473900000
16868.581000,0.467100000
16868.783000,0.467550000
16868.984000,0.425950000
16869.186000,0.421250000
16869.388000,0.420650000
16869.590000,0.421000000
16869.792000,0.420850000
16869.993000,0.420850000
16870.195000,0.420750000
16870.397000,0.420700000
16870.599000,0.420900000
16870.801000,0.420950000
16871.002000,0.419950000
16871.204000,0.420400000
16871.406000,0.420600000
16871.608000,0.420300000
16871.810000,0.420700000
16872.011000,0.423050000
16872.213000,0.420000000
16872.415000,0.458100000
16872.617000,0.329350000
16872.819000,0.331200000
16873.020000,0.330800000
16873.222000,0.330500000
16873.424000,0.330150000
16873.626000,0.331500000
16873.828000,0.330600000
16874.029000,0.330650000
16874.231000,0.330600000
16874.433000,0.341000000
16874.635000,0.330300000
16874.837000,0.330050000
16875.038000,0.330750000
16875.240000,0.368250000
16875.442000,0.339600000
16875.644000,0.376150000
16875.846000,0.365150000
16876.047000,0.331100000
16876.249000,0.329700000
16876.451000,0.330250000
16876.653000,0.375150000
