uptime_s,current_a
15169.627000,0.372350000
15169.828000,0.372500000
15170.030000,0.373550000
15170.232000,0.372100000
15170.434000,0.373050000
15170.636000,0.375550000
15170.837000,0.381100000
15171.039000,0.377750000
15171.241000,0.373850000
15171.443000,0.372200000
15171.645000,0.327900000
15171.846000,0.328000000
15172.048000,0.327450000
15172.250000,0.328300000
15172.452000,0.328000000
15172.654000,0.327650000
15172.855000,0.327550000
15173.057000,0.327600000
15173.259000,0.327500000
15173.461000,0.327800000
15173.663000,0.327700000
15173.864000,0.373400000
15174.066000,0.362300000
15174.268000,0.328650000
15174.470000,0.327750000
15174.672000,0.365850000
15174.873000,0.330050000
15175.075000,0.327600000
15175.277000,0.327800000
15175.479000,0.328100000
15175.681000,0.327700000
15175.882000,0.327950000
15176.084000,0.328150000
15176.286000,0.327600000
15176.488000,0.327850000
15176.690000,0.328700000
15176.891000,0.327350000
15177.093000,0.327600000
15177.295000,0.328150000
15177.497000,0.327600000
15177.699000,0.327450000
15177.900000,0.328050000
15178.102000,0.327850000
15178.304000,0.327700000
15178.506000,0.330200000
15178.708000,0.327700000
15178.909000,0.327600000
15179.111000,0.328200000
15179.313000,0.327800000
15179.515000,0.496600000
15179.717000,1.331400000
15179.918000,1.147450000
15180.120000,0.746850000
15180.322000,1.344400000
15180.524000,1.276700000
15180.726000,0.718100000
15180.927000,1.291850000
15181.129000,1.263300000
15181.331000,1.333500000
15181.533000,0.471400000
15181.735000,0.470000000
15181.936000,0.464150000
15182.138000,0.463500000
15182.340000,0.463450000
15182.542000,0.463400000
15182.744000,0.463400000
15182.945000,0.502200000
15183.147000,0.462800000
15183.349000,0.463200000
15183.551000,0.462750000
15183.753000,0.418050000
15183.954000,0.418850000
15184.156000,0.418100000
15184.358000,0.417700000
15184.560000,0.417650000
15184.762000,0.417600000
15184.963000,0.328050000
15185.165000,0.328800000
15185.367000,0.331050000
15185.569000,0.328900000
15185.771000,0.367000000
15185.972000,0.341250000
15186.174000,0.328300000
15186.376000,0.329350000
15186.578000,0.328200000
15186.780000,0.328300000
15186.981000,0.328550000
15187.183000,0.327900000
15187.385000,0.374900000
15187.587000,0.378100000
15187.789000,0.373850000
15187.990000,0.328050000
15188.192000,0.328500000
15188.394000,0.328700000
15188.596000,0.328150000
15188.798000,0.329300000
15188.999000,0.328250000
15189.201000,0.328300000
15189.403000,0.327950000
15189.605000,0.328600000
15189.807000,0.328000000
15190.008000,0.328000000
15190.210000,0.328300000
15190.412000,0.328100000
15190.614000,0.327700000
15190.816000,0.328000000
15191.017000,0.328250000
15191.219000,0.328200000
15191.421000,0.328200000
