uptime_s,current_a
14857.846000,0.374550000
14858.047000,0.376100000
14858.249000,0.376500000
14858.451000,0.375150000
14858.653000,0.375950000
14858.855000,0.384800000
14859.056000,0.412550000
14859.258000,0.374750000
14859.460000,0.374750000
14859.662000,0.374900000
14859.864000,0.329950000
14860.065000,0.330350000
14860.267000,0.375850000
14860.469000,0.376800000
14860.671000,0.375350000
14860.873000,0.376550000
14861.074000,0.375450000
14861.276000,0.376300000
14861.478000,0.375650000
14861.680000,0.375150000
14861.882000,0.413400000
14862.083000,0.375650000
14862.285000,0.377750000
14862.487000,0.375600000
14862.689000,0.375750000
14862.891000,0.331200000
14863.092000,0.329300000
14863.294000,0.329650000
14863.496000,0.330300000
14863.698000,0.329750000
14863.900000,0.330000000
14864.101000,0.329550000
14864.303000,0.371750000
14864.505000,0.355150000
14864.707000,0.331400000
14864.909000,0.330150000
14865.110000,0.329650000
14865.312000,0.331200000
14865.514000,0.329550000
14865.716000,0.330050000
14865.918000,0.331950000
14866.119000,0.329800000
14866.321000,0.329750000
14866.523000,0.329450000
14866.725000,0.329950000
14866.927000,0.329750000
14867.128000,0.330100000
14867.330000,0.329150000
14867.532000,0.329750000
14867.734000,0.369750000
14867.936000,0.444650000
14868.137000,0.457250000
14868.339000,1.318650000
14868.541000,1.142000000
14868.743000,0.695900000
14868.945000,1.385600000
14869.146000,1.219250000
14869.348000,0.689250000
14869.550000,0.696650000
14869.752000,1.141650000
14869.954000,1.203800000
14870.155000,0.728950000
14870.357000,0.689600000
14870.559000,1.165650000
14870.761000,0.731350000
14870.963000,0.686850000
14871.164000,1.025050000
14871.366000,1.221300000
14871.568000,1.181200000
14871.770000,0.689450000
14871.972000,0.677300000
14872.173000,1.028100000
14872.375000,1.242150000
14872.577000,0.684700000
14872.779000,0.705700000
14872.981000,1.213950000
14873.182000,1.292100000
14873.384000,0.688500000
14873.586000,0.676700000
14873.788000,1.222650000
14873.990000,1.216050000
14874.191000,0.695500000
14874.393000,1.035200000
14874.595000,1.112100000
14874.797000,1.276700000
14874.999000,0.690200000
14875.200000,0.699900000
14875.402000,0.824750000
14875.604000,1.127950000
14875.806000,0.689350000
14876.008000,0.695700000
14876.209000,1.207050000
14876.411000,0.686200000
14876.613000,0.696150000
14876.815000,0.677450000
14877.017000,1.251250000
14877.218000,1.214800000
14877.420000,0.681000000
14877.622000,0.704300000
14877.824000,1.205400000
14878.026000,1.043700000
14878.227000,0.703200000
14878.429000,0.742950000
14878.631000,1.197950000
14878.833000,0.686850000
14879.035000,0.707300000
14879.236000,0.674550000
14879.438000,1.328850000
14879.640000,1.241000000
14879.842000,0.697800000
14880.044000,1.202100000
14880.245000,1.286300000
14880.447000,0.691450000
14880.649000,0.707300000
14880.851000,1.010850000
14881.053000,1.344200000
14881.254000,0.736350000
14881.456000,0.705450000
14881.658000,1.389950000
14881.860000,1.117550000
14882.062000,0.701400000
14882.263000,0.703900000
14882.465000,1.239050000
14882.667000,1.186200000
14882.869000,0.705550000
14883.071000,0.704650000
14883.272000,1.157300000
14883.474000,1.141600000
14883.676000,0.704250000
14883.878000,1.088550000
14884.080000,1.212400000
14884.281000,1.219200000
14884.483000,0.704700000
14884.685000,0.704850000
14884.887000,1.168600000
14885.089000,1.317900000
14885.290000,0.699750000
14885.492000,0.708800000
14885.694000,1.257450000
14885.896000,0.719850000
14886.098000,0.693850000
14886.299000,1.256750000
14886.501000,1.013250000
14886.703000,0.706450000
14886.905000,0.703900000
14887.107000,1.088950000
14887.308000,1.295900000
14887.510000,0.692800000
14887.712000,1.031000000
14887.914000,1.129650000
14888.116000,1.095050000
14888.317000,0.709500000
14888.519000,1.030350000
14888.721000,0.478200000
14888.923000,0.471800000
14889.125000,0.471800000
14889.326000,0.472050000
14889.528000,0.514400000
14889.730000,0.470500000
14889.932000,0.470400000
14890.134000,0.470700000
14890.335000,0.470700000
14890.537000,0.475600000
14890.739000,0.470000000
14890.941000,0.428250000
14891.143000,0.424200000
14891.344000,0.424250000
14891.546000,0.470000000
14891.748000,0.434250000
14891.950000,0.470450000
14892.152000,0.428550000
14892.353000,0.423250000
14892.555000,0.423400000
14892.757000,0.424000000
14892.959000,0.423200000
14893.161000,0.382350000
14893.362000,0.382000000
14893.564000,0.381050000
14893.766000,0.333900000
14893.968000,0.333700000
14894.170000,0.334650000
14894.371000,0.333800000
14894.573000,0.333350000
14894.775000,0.333500000
14894.977000,0.333050000
14895.179000,0.334050000
14895.380000,0.334550000
14895.582000,0.333150000
14895.784000,0.332950000
14895.986000,0.332400000
14896.188000,0.336100000
14896.389000,0.333050000
14896.591000,0.333800000
14896.793000,0.332750000
14896.995000,0.332650000
14897.197000,0.332000000
14897.398000,0.332450000
14897.600000,0.332950000
14897.802000,0.332200000
14898.004000,0.332150000
14898.206000,0.332150000
14898.407000,0.331900000
14898.609000,0.382700000
