uptime_s,current_a
15201.713000,0.371850000
15201.915000,0.371550000
15202.116000,0.371400000
15202.318000,0.413600000
15202.520000,0.376850000
15202.722000,0.373250000
15202.924000,0.371850000
15203.125000,0.371850000
15203.327000,0.373650000
15203.529000,0.372150000
15203.731000,0.327650000
15203.933000,0.327950000
15204.134000,0.327300000
15204.336000,0.327450000
15204.538000,0.327400000
15204.740000,0.327000000
15204.942000,0.327550000
15205.143000,0.365350000
15205.345000,0.327050000
15205.547000,0.327000000
15205.749000,0.327050000
15205.951000,0.327100000
15206.152000,0.327400000
15206.354000,0.327550000
15206.556000,0.327350000
15206.758000,0.327300000
15206.960000,0.329650000
15207.161000,0.327050000
15207.363000,0.327100000
15207.565000,0.372100000
15207.767000,0.371400000
15207.969000,0.371800000
15208.170000,0.371550000
15208.372000,0.371800000
15208.574000,0.378200000
15208.776000,0.371750000
15208.978000,0.372500000
15209.179000,0.372100000
15209.381000,0.371900000
15209.583000,0.371650000
15209.785000,0.327100000
15209.987000,0.326850000
15210.188000,0.327400000
15210.390000,0.328750000
15210.592000,0.326850000
15210.794000,0.327250000
15210.996000,0.371400000
15211.197000,0.371850000
15211.399000,0.371200000
15211.601000,0.458250000
15211.803000,0.573300000
15212.005000,1.169000000
15212.206000,1.333450000
15212.408000,0.695850000
15212.610000,1.014550000
15212.812000,1.280600000
15213.014000,0.690300000
15213.215000,0.699350000
15213.417000,0.761400000
15213.619000,1.271700000
15213.821000,0.677400000
15214.023000,0.696100000
15214.224000,1.264150000
15214.426000,1.205300000
15214.628000,0.692850000
15214.830000,1.216300000
15215.032000,1.051150000
15215.233000,1.302450000
15215.435000,0.691950000
15215.637000,0.694500000
15215.839000,1.295500000
15216.041000,0.676850000
15216.242000,0.694550000
15216.444000,0.993000000
15216.646000,1.225650000
15216.848000,0.923900000
15217.050000,0.692500000
15217.251000,0.698950000
15217.453000,1.041200000
15217.655000,1.244000000
15217.857000,0.675600000
15218.059000,0.704100000
15218.260000,0.755500000
15218.462000,1.144200000
15218.664000,0.811350000
15218.866000,0.694100000
15219.068000,1.027550000
15219.269000,1.249850000
15219.471000,0.683050000
15219.673000,0.693650000
15219.875000,1.231550000
15220.077000,0.688550000
15220.278000,0.725700000
15220.480000,0.931550000
15220.682000,1.208850000
15220.884000,0.690250000
15221.086000,0.699300000
15221.287000,1.153550000
15221.489000,1.210200000
15221.691000,0.731300000
15221.893000,0.697800000
15222.095000,0.745750000
15222.296000,1.156150000
15222.498000,0.683050000
15222.700000,0.699250000
15222.902000,0.893650000
15223.104000,1.336450000
15223.305000,0.701650000
15223.507000,0.698300000
15223.709000,1.258300000
15223.911000,0.926650000
15224.113000,0.683150000
15224.314000,1.036450000
15224.516000,0.939300000
15224.718000,1.082100000
15224.920000,0.695000000
15225.122000,0.988400000
15225.323000,1.249000000
15225.525000,0.690000000
15225.727000,0.702850000
15225.929000,1.179650000
15226.131000,1.075200000
15226.332000,0.697200000
15226.534000,1.065200000
15226.736000,1.209050000
15226.938000,1.206050000
15227.140000,0.679450000
15227.341000,1.044950000
15227.543000,1.198500000
15227.745000,0.684950000
15227.947000,0.703550000
15228.149000,0.842600000
15228.350000,1.241950000
15228.552000,0.687450000
15228.754000,0.692550000
15228.956000,1.223250000
15229.158000,0.686400000
15229.359000,0.686050000
15229.561000,1.335750000
15229.763000,1.190800000
15229.965000,0.681400000
15230.167000,0.698800000
15230.368000,1.176500000
15230.570000,0.689000000
15230.772000,0.686400000
15230.974000,1.241250000
15231.176000,1.338000000
15231.377000,0.700250000
15231.579000,0.692650000
15231.781000,1.239900000
15231.983000,1.088650000
15232.185000,0.675600000
15232.386000,0.478600000
15232.588000,0.467600000
15232.790000,0.505600000
15232.992000,0.467150000
15233.194000,0.466200000
15233.395000,0.466450000
15233.597000,0.466850000
15233.799000,0.466000000
15234.001000,0.467250000
15234.203000,0.465650000
15234.404000,0.470300000
15234.606000,0.420650000
15234.808000,0.420600000
15235.010000,0.420600000
15235.212000,0.420100000
15235.413000,0.465850000
15235.615000,0.504550000
15235.817000,0.471450000
15236.019000,0.450500000
15236.221000,0.419850000
15236.422000,0.420700000
15236.624000,0.419550000
15236.826000,0.419700000
15237.028000,0.378700000
15237.230000,0.330700000
15237.431000,0.330700000
15237.633000,0.330850000
15237.835000,0.330500000
15238.037000,0.330150000
15238.239000,0.330350000
15238.440000,0.330050000
15238.642000,0.329800000
15238.844000,0.331400000
15239.046000,0.329750000
15239.248000,0.329800000
15239.449000,0.329750000
15239.651000,0.330050000
15239.853000,0.330700000
15240.055000,0.329700000
15240.257000,0.329400000
15240.458000,0.329300000
15240.660000,0.329100000
15240.862000,0.329200000
15241.064000,0.329250000
15241.266000,0.328950000
15241.467000,0.329150000
15241.669000,0.339650000
15241.871000,0.328900000
15242.073000,0.329350000
15242.275000,0.374300000
