uptime_s,current_a
15042.291000,0.372550000
15042.493000,0.381400000
15042.694000,0.372450000
15042.896000,0.373700000
15043.098000,0.373250000
15043.300000,0.373050000
15043.502000,0.372850000
15043.703000,0.372200000
15043.905000,0.378300000
15044.107000,0.377650000
15044.309000,0.327950000
15044.511000,0.328000000
15044.712000,0.328400000
15044.914000,0.328400000
15045.116000,0.328100000
15045.318000,0.329850000
15045.520000,0.328000000
15045.721000,0.328250000
15045.923000,0.328700000
15046.125000,0.328450000
15046.327000,0.328450000
15046.529000,0.327900000
15046.730000,0.328200000
15046.932000,0.328250000
15047.134000,0.330500000
15047.336000,0.366300000
15047.538000,0.328150000
15047.739000,0.328700000
15047.941000,0.328350000
15048.143000,0.328100000
15048.345000,0.327800000
15048.547000,0.328250000
15048.748000,0.328200000
15048.950000,0.328000000
15049.152000,0.328200000
15049.354000,0.328900000
15049.556000,0.328050000
15049.757000,0.327800000
15049.959000,0.359300000
15050.161000,0.374550000
15050.363000,0.332650000
15050.565000,0.327700000
15050.766000,0.329900000
15050.968000,0.328200000
15051.170000,0.328050000
15051.372000,0.327850000
15051.574000,0.327750000
15051.775000,0.328250000
15051.977000,0.328050000
15052.179000,0.377900000
15052.381000,0.669000000
15052.583000,0.456800000
15052.784000,0.683400000
15052.986000,1.034600000
15053.188000,1.024850000
15053.390000,0.678950000
15053.592000,0.691600000
15053.793000,0.685100000
15053.995000,1.053300000
15054.197000,0.678550000
15054.399000,0.682950000
15054.601000,1.189100000
15054.802000,1.116450000
15055.004000,0.918150000
15055.206000,1.202600000
15055.408000,1.335350000
15055.610000,1.026550000
15055.811000,0.971300000
15056.013000,0.888500000
15056.215000,0.898450000
15056.417000,0.889500000
15056.619000,0.951050000
15056.820000,0.942600000
15057.022000,0.672400000
15057.224000,0.748400000
15057.426000,0.917650000
15057.628000,0.918000000
15057.829000,0.697000000
15058.031000,0.690450000
15058.233000,0.689150000
15058.435000,0.863250000
15058.637000,1.029450000
15058.838000,1.108300000
15059.040000,0.942350000
15059.242000,1.035550000
15059.444000,0.930750000
15059.646000,1.039850000
15059.847000,1.025200000
15060.049000,0.881150000
15060.251000,0.790350000
15060.453000,0.923950000
15060.655000,1.064350000
15060.856000,1.076400000
15061.058000,0.836450000
15061.260000,0.922200000
15061.462000,0.705150000
15061.664000,0.698850000
15061.865000,0.685450000
15062.067000,0.690700000
15062.269000,0.688050000
15062.471000,0.695900000
15062.673000,0.681100000
15062.874000,0.684150000
15063.076000,0.691200000
15063.278000,0.688350000
15063.480000,0.694450000
15063.682000,1.105250000
15063.883000,0.691350000
15064.085000,1.073550000
15064.287000,0.872400000
15064.489000,0.930800000
15064.691000,1.099350000
15064.892000,0.874850000
15065.094000,1.024700000
15065.296000,0.980900000
15065.498000,1.181250000
15065.700000,1.058900000
15065.901000,1.066050000
15066.103000,0.784900000
15066.305000,0.906550000
15066.507000,0.962100000
15066.709000,0.935250000
15066.910000,0.876750000
15067.112000,0.905750000
15067.314000,0.927350000
15067.516000,1.346550000
15067.718000,0.692950000
15067.919000,0.704050000
15068.121000,0.683850000
15068.323000,0.956650000
15068.525000,0.688700000
15068.727000,1.143400000
15068.928000,1.245050000
15069.130000,0.701750000
15069.332000,1.313850000
15069.534000,1.117000000
15069.736000,1.042550000
15069.937000,1.073550000
15070.139000,0.893000000
15070.341000,1.046750000
15070.543000,0.905450000
15070.745000,0.701550000
15070.946000,0.705000000
15071.148000,0.707800000
15071.350000,0.693900000
15071.552000,0.690600000
15071.754000,0.698350000
15071.955000,0.982850000
15072.157000,1.026350000
15072.359000,1.038500000
15072.561000,1.009250000
15072.763000,1.037250000
15072.964000,0.708900000
15073.166000,1.102250000
15073.368000,0.998900000
15073.570000,0.895950000
15073.772000,0.822050000
15073.973000,0.705800000
15074.175000,0.706550000
15074.377000,0.699500000
15074.579000,0.693400000
15074.781000,0.687300000
15074.982000,0.730450000
15075.184000,0.698700000
15075.386000,0.704300000
15075.588000,1.125700000
15075.790000,1.081000000
15075.991000,0.988950000
15076.193000,1.079350000
15076.395000,0.904750000
15076.597000,0.845000000
15076.799000,1.053000000
15077.000000,0.892150000
15077.202000,0.889050000
15077.404000,0.906650000
15077.606000,0.713950000
15077.808000,0.744000000
15078.009000,0.698400000
15078.211000,0.647250000
15078.413000,0.698250000
15078.615000,0.690150000
15078.817000,0.691900000
15079.018000,0.701000000
15079.220000,1.019700000
15079.422000,0.891800000
15079.624000,1.058250000
15079.826000,0.468950000
15080.027000,0.469500000
15080.229000,0.469150000
15080.431000,0.469150000
15080.633000,0.468000000
15080.835000,0.468250000
15081.036000,0.471500000
15081.238000,0.472750000
15081.440000,0.467650000
15081.642000,0.468100000
15081.844000,0.421850000
15082.045000,0.422100000
15082.247000,0.422100000
15082.449000,0.386350000
15082.651000,0.332850000
15082.853000,0.332650000
15083.054000,0.332700000
15083.256000,0.334500000
15083.458000,0.332300000
15083.660000,0.331650000
15083.862000,0.331700000
15084.063000,0.331550000
15084.265000,0.331900000
15084.467000,0.378750000
15084.669000,0.365000000
15084.871000,0.331550000
15085.072000,0.332000000
15085.274000,0.331650000
15085.476000,0.331550000
15085.678000,0.331200000
15085.880000,0.331200000
15086.081000,0.414000000
15086.283000,0.376150000
15086.485000,0.376500000
15086.687000,0.376750000
15086.889000,0.378700000
15087.090000,0.375800000
15087.292000,0.376500000
15087.494000,0.376200000
15087.696000,0.375900000
15087.898000,0.375900000
15088.099000,0.377650000
15088.301000,0.375500000
15088.503000,0.329950000
15088.705000,0.330800000
15088.907000,0.330300000
15089.108000,0.331200000
15089.310000,0.330450000
15089.512000,0.330550000
