uptime_s,current_a
14710.330000,0.388100000
14710.532000,0.380900000
14710.733000,0.380550000
14710.935000,0.386500000
14711.137000,0.381950000
14711.339000,0.384400000
14711.541000,0.381300000
14711.742000,0.381650000
14711.944000,0.380400000
14712.146000,0.381750000
14712.348000,0.419800000
14712.550000,0.382200000
14712.751000,0.382000000
14712.953000,0.383150000
14713.155000,0.381900000
14713.357000,0.338600000
14713.559000,0.335450000
14713.760000,0.335450000
14713.962000,0.335850000
14714.164000,0.335200000
14714.366000,0.335100000
14714.568000,0.335650000
14714.769000,0.336150000
14714.971000,0.335400000
14715.173000,0.373900000
14715.375000,0.334650000
14715.577000,0.336400000
14715.778000,0.335500000
14715.980000,0.335300000
14716.182000,0.335700000
14716.384000,0.335800000
14716.586000,0.335250000
14716.787000,0.335300000
14716.989000,0.339650000
14717.191000,0.335000000
14717.393000,0.335400000
14717.595000,0.335400000
14717.796000,0.335050000
14717.998000,0.336250000
14718.200000,0.380600000
14718.402000,0.382450000
14718.604000,0.381250000
14718.805000,0.382750000
14719.007000,0.380700000
14719.209000,0.380300000
14719.411000,0.381200000
14719.613000,0.402600000
14719.814000,0.381550000
14720.016000,0.380750000
14720.218000,0.387050000
14720.420000,1.226700000
14720.622000,0.962400000
14720.823000,0.771400000
14721.025000,1.318350000
14721.227000,1.392450000
14721.429000,1.424800000
14721.631000,1.367400000
14721.832000,1.341350000
14722.034000,1.380400000
14722.236000,1.391100000
14722.438000,1.386000000
14722.640000,1.401150000
14722.841000,1.383500000
14723.043000,0.479700000
14723.245000,0.479600000
14723.447000,0.512600000
14723.649000,0.479550000
14723.850000,0.473050000
14724.052000,0.479450000
14724.254000,0.478450000
14724.456000,0.478400000
14724.658000,0.477150000
14724.859000,0.472450000
14725.061000,0.426700000
14725.263000,0.477650000
14725.465000,0.431500000
14725.667000,0.339350000
14725.868000,0.337350000
14726.070000,0.337100000
14726.272000,0.336250000
14726.474000,0.336600000
14726.676000,0.337000000
14726.877000,0.383750000
14727.079000,0.349550000
14727.281000,0.336550000
14727.483000,0.336400000
14727.685000,0.336700000
14727.886000,0.336450000
14728.088000,0.336950000
14728.290000,0.336050000
14728.492000,0.336050000
14728.694000,0.336150000
14728.895000,0.335750000
14729.097000,0.338350000
14729.299000,0.335800000
14729.501000,0.337250000
14729.703000,0.335900000
14729.904000,0.336350000
14730.106000,0.335550000
14730.308000,0.335250000
14730.510000,0.336300000
14730.712000,0.335250000
14730.913000,0.336050000
14731.115000,0.335800000
14731.317000,0.335150000
14731.519000,0.335450000
14731.721000,0.371800000
14731.922000,0.335350000
14732.124000,0.335800000
14732.326000,0.334850000
14732.528000,0.334950000
14732.730000,0.335300000
14732.931000,0.335850000
