uptime_s,current_a
16462.357000,0.382150000
16462.559000,0.397100000
16462.761000,0.418550000
16462.963000,0.381450000
16463.165000,0.381300000
16463.366000,0.382150000
16463.568000,0.382800000
16463.770000,0.381950000
16463.972000,0.381450000
16464.174000,0.381750000
16464.375000,0.336150000
16464.577000,0.335700000
16464.779000,0.335750000
16464.981000,0.336600000
16465.183000,0.336400000
16465.384000,0.336200000
16465.586000,0.336300000
16465.788000,0.336000000
16465.990000,0.336450000
16466.192000,0.338500000
16466.393000,0.335500000
16466.595000,0.335500000
16466.797000,0.335850000
16466.999000,0.335400000
16467.201000,0.335550000
16467.402000,0.336400000
16467.604000,0.335200000
16467.806000,0.335750000
16468.008000,0.335600000
16468.210000,0.336150000
16468.411000,0.335700000
16468.613000,0.335550000
16468.815000,0.335450000
16469.017000,0.383950000
16469.219000,0.336050000
16469.420000,0.335450000
16469.622000,0.335700000
16469.824000,0.382450000
16470.026000,0.367750000
16470.228000,0.339000000
16470.429000,0.335150000
16470.631000,0.335300000
16470.833000,0.335450000
16471.035000,0.372000000
16471.237000,0.336200000
16471.438000,0.335300000
16471.640000,0.380650000
16471.842000,0.381600000
16472.044000,0.381350000
16472.246000,0.428650000
16472.447000,1.092600000
16472.649000,1.367050000
16472.851000,1.329750000
16473.053000,1.090950000
16473.255000,1.338600000
16473.456000,1.015750000
16473.658000,1.382600000
16473.860000,1.359300000
16474.062000,1.241500000
16474.264000,1.371600000
16474.465000,1.309650000
16474.667000,1.411300000
16474.869000,0.483850000
16475.071000,0.475600000
16475.273000,0.475800000
16475.474000,0.475400000
16475.676000,0.474850000
16475.878000,0.474050000
16476.080000,0.475000000
16476.282000,0.474100000
16476.483000,0.473350000
16476.685000,0.473950000
16476.887000,0.474050000
16477.089000,0.428800000
16477.291000,0.427350000
16477.492000,0.427800000
16477.694000,0.395750000
16477.896000,0.395350000
16478.098000,0.394300000
16478.300000,0.395250000
16478.501000,0.338100000
16478.703000,0.337600000
16478.905000,0.337250000
16479.107000,0.336300000
16479.309000,0.383750000
16479.510000,0.336850000
16479.712000,0.336350000
16479.914000,0.336900000
16480.116000,0.354400000
16480.318000,0.336700000
16480.519000,0.336600000
16480.721000,0.381750000
16480.923000,0.382100000
16481.125000,0.382300000
16481.327000,0.382250000
16481.528000,0.381950000
16481.730000,0.382200000
16481.932000,0.381650000
16482.134000,0.419350000
16482.336000,0.382100000
16482.537000,0.382350000
16482.739000,0.380900000
16482.941000,0.381000000
16483.143000,0.381300000
16483.345000,0.381850000
16483.546000,0.347550000
16483.748000,0.359400000
16483.950000,0.339050000
16484.152000,0.335600000
16484.354000,0.335550000
16484.555000,0.335900000
16484.757000,0.335700000
