uptime_s,current_a
39603.167000,0.379750000
39603.369000,0.379200000
39603.571000,0.379500000
39603.772000,0.380250000
39603.974000,0.379600000
39604.176000,0.379050000
39604.378000,0.378600000
39604.580000,0.378700000
39604.781000,0.378950000
39604.983000,0.380050000
39605.185000,0.374050000
39605.387000,0.334050000
39605.589000,0.333200000
39605.790000,0.333800000
39605.992000,0.333050000
39606.194000,0.333650000
39606.396000,0.333400000
39606.598000,0.332850000
39606.799000,0.333550000
39607.001000,0.344300000
39607.203000,0.337100000
39607.405000,0.379650000
39607.607000,0.339150000
39607.808000,0.334050000
39608.010000,0.371100000
39608.212000,0.333850000
39608.414000,0.333200000
39608.616000,0.333950000
39608.817000,0.335750000
39609.019000,0.333500000
39609.221000,0.333450000
39609.423000,0.333000000
39609.625000,0.332950000
39609.826000,0.333500000
39610.028000,0.333150000
39610.230000,0.334350000
39610.432000,0.333300000
39610.634000,0.332950000
39610.835000,0.333500000
39611.037000,0.333450000
39611.239000,0.332900000
39611.441000,0.332950000
39611.643000,0.332600000
39611.844000,0.332850000
39612.046000,0.333200000
39612.248000,0.332700000
39612.450000,0.334550000
39612.652000,0.333800000
39612.853000,0.332100000
39613.055000,0.668400000
39613.257000,0.630000000
39613.459000,1.300550000
39613.661000,0.937800000
39613.862000,1.446650000
39614.064000,1.052450000
39614.266000,0.985350000
39614.468000,1.214950000
39614.670000,1.048100000
39614.871000,1.458000000
39615.073000,1.183750000
39615.275000,1.003200000
39615.477000,1.300200000
39615.679000,1.050300000
39615.880000,0.991700000
39616.082000,0.995800000
39616.284000,0.998000000
39616.486000,1.279450000
39616.688000,1.133800000
39616.889000,1.002800000
39617.091000,0.899100000
39617.293000,1.076850000
39617.495000,0.848100000
39617.697000,0.992800000
39617.898000,0.945850000
39618.100000,1.297950000
39618.302000,0.997250000
39618.504000,0.942500000
39618.706000,1.005000000
39618.907000,1.411450000
39619.109000,1.297050000
39619.311000,1.055550000
39619.513000,1.001400000
39619.715000,1.589400000
39619.916000,1.005300000
39620.118000,1.284450000
39620.320000,1.062500000
39620.522000,1.011450000
39620.724000,1.252250000
39620.925000,1.014700000
39621.127000,1.415350000
39621.329000,1.144650000
39621.531000,0.963700000
39621.733000,1.031900000
39621.934000,0.958550000
39622.136000,0.904100000
39622.338000,1.004550000
39622.540000,0.949100000
39622.742000,1.252350000
39622.943000,1.193350000
39623.145000,1.368900000
39623.347000,1.018900000
39623.549000,0.955150000
39623.751000,1.110600000
39623.952000,1.004400000
39624.154000,0.955450000
39624.356000,1.064650000
39624.558000,1.045350000
39624.760000,1.098550000
39624.961000,1.054850000
39625.163000,1.007400000
39625.365000,1.077100000
39625.567000,1.018750000
39625.769000,0.916950000
39625.970000,1.579050000
39626.172000,1.006150000
39626.374000,1.322450000
39626.576000,0.995750000
39626.778000,1.457250000
39626.979000,1.201250000
39627.181000,0.949550000
39627.383000,1.381550000
39627.585000,1.568550000
39627.787000,1.469050000
39627.988000,1.069350000
39628.190000,0.974700000
39628.392000,1.548500000
39628.594000,1.161650000
39628.796000,0.959000000
39628.997000,1.027300000
39629.199000,1.028000000
39629.401000,1.374800000
39629.603000,1.065100000
39629.805000,1.011850000
39630.006000,1.094750000
39630.208000,1.014250000
39630.410000,1.361050000
39630.612000,1.056350000
39630.814000,0.999750000
39631.015000,1.386450000
39631.217000,1.060350000
39631.419000,1.318650000
39631.621000,1.240900000
39631.823000,0.959500000
39632.024000,1.248900000
39632.226000,1.009250000
39632.428000,1.346400000
39632.630000,1.138050000
39632.832000,0.961000000
39633.033000,1.241100000
39633.235000,1.019000000
39633.437000,0.961000000
39633.639000,1.019950000
39633.841000,0.972900000
39634.042000,1.270600000
39634.244000,1.155000000
39634.446000,1.425500000
39634.648000,1.092000000
39634.850000,1.016450000
39635.051000,1.408300000
39635.253000,1.062300000
39635.455000,1.009100000
39635.657000,1.179550000
39635.859000,1.062450000
39636.060000,1.510650000
39636.262000,1.064250000
39636.464000,0.964450000
39636.666000,1.187250000
39636.868000,1.020350000
39637.069000,0.961500000
39637.271000,1.218200000
39637.473000,0.962400000
39637.675000,1.367500000
39637.877000,1.015600000
39638.078000,0.953600000
39638.280000,1.022350000
39638.482000,0.985100000
39638.684000,1.370800000
39638.886000,1.144150000
39639.087000,0.962700000
39639.289000,1.027650000
39639.491000,1.028950000
39639.693000,0.934250000
39639.895000,1.057850000
39640.096000,1.005500000
39640.298000,1.234650000
39640.500000,1.265550000
39640.702000,1.454700000
39640.904000,1.067800000
39641.105000,1.014150000
39641.307000,1.177200000
39641.509000,1.059450000
39641.711000,1.014300000
39641.913000,1.022000000
39642.114000,0.962850000
39642.316000,0.900950000
39642.518000,1.022450000
39642.720000,0.944600000
39642.922000,1.029950000
39643.123000,0.978600000
39643.325000,0.866100000
39643.527000,1.373550000
39643.729000,1.009000000
39643.931000,1.497650000
39644.132000,1.018100000
39644.334000,1.526000000
39644.536000,1.238400000
39644.738000,1.009050000
39644.940000,0.972700000
39645.141000,1.056800000
39645.343000,1.434500000
39645.545000,1.061550000
39645.747000,1.017050000
39645.949000,1.485550000
39646.150000,1.046800000
39646.352000,1.019300000
39646.554000,1.061050000
39646.756000,1.043950000
39646.958000,1.053700000
39647.159000,1.021050000
39647.361000,0.969500000
39647.563000,1.046450000
39647.765000,0.976300000
39647.967000,1.318700000
39648.168000,1.016200000
39648.370000,0.969150000
39648.572000,1.267550000
39648.774000,1.035100000
39648.976000,1.310900000
39649.177000,1.126850000
39649.379000,0.962300000
39649.581000,1.262300000
39649.783000,1.022000000
39649.985000,1.420800000
39650.186000,1.217550000
39650.388000,1.012650000
39650.590000,1.390600000
39650.792000,1.184200000
39650.994000,1.005100000
39651.195000,1.068750000
39651.397000,1.084200000
39651.599000,1.366850000
39651.801000,1.069800000
39652.003000,1.001450000
39652.204000,1.083300000
39652.406000,1.028200000
39652.608000,1.351500000
39652.810000,1.065450000
39653.012000,1.015450000
39653.213000,0.943800000
39653.415000,1.074050000
39653.617000,1.546600000
39653.819000,1.074100000
39654.021000,0.960650000
39654.222000,1.301050000
39654.424000,1.017100000
39654.626000,1.002500000
39654.828000,0.998850000
39655.030000,1.058150000
39655.231000,1.367950000
39655.433000,1.072050000
39655.635000,1.016650000
39655.837000,1.070850000
39656.039000,1.028000000
39656.240000,1.312400000
39656.442000,1.208000000
39656.644000,1.069200000
39656.846000,0.973700000
39657.048000,1.582950000
