uptime_s,current_a
8972.954000,0.380500000
8973.156000,0.379850000
8973.358000,0.379750000
8973.559000,0.379500000
8973.761000,0.379150000
8973.963000,0.380900000
8974.165000,0.379950000
8974.367000,0.382450000
8974.568000,0.379650000
8974.770000,0.381100000
8974.972000,0.341800000
8975.174000,0.334700000
8975.376000,0.334650000
8975.577000,0.334000000
8975.779000,0.334200000
8975.981000,0.344500000
8976.183000,0.380000000
8976.385000,0.397300000
8976.586000,0.420000000
8976.788000,0.380700000
8976.990000,0.380000000
8977.192000,0.380000000
8977.394000,0.380550000
8977.595000,0.379650000
8977.797000,0.380450000
8977.999000,0.382100000
8978.201000,0.380050000
8978.403000,0.380000000
8978.604000,0.333850000
8978.806000,0.334200000
8979.008000,0.333450000
8979.210000,0.333500000
8979.412000,0.333450000
8979.613000,0.333600000
8979.815000,0.333450000
8980.017000,0.334750000
8980.219000,0.333400000
8980.421000,0.333650000
8980.622000,0.333800000
8980.824000,0.333600000
8981.026000,0.333350000
8981.228000,0.333200000
8981.430000,0.334750000
8981.631000,0.333250000
8981.833000,0.334400000
8982.035000,0.333500000
8982.237000,0.333550000
8982.439000,0.334350000
8982.640000,0.333150000
8982.842000,0.386650000
8983.044000,0.510350000
8983.246000,0.537650000
8983.448000,0.478250000
8983.649000,1.043400000
8983.851000,1.432100000
8984.053000,1.438350000
8984.255000,1.232550000
8984.457000,1.458350000
8984.658000,1.461150000
8984.860000,1.355150000
8985.062000,1.406900000
8985.264000,1.431700000
8985.466000,1.416650000
8985.667000,1.262500000
8985.869000,1.469300000
8986.071000,1.487200000
8986.273000,1.202700000
8986.475000,1.483150000
8986.676000,1.483400000
8986.878000,1.211300000
8987.080000,1.431500000
8987.282000,1.471800000
8987.484000,1.472400000
8987.685000,1.530550000
8987.887000,1.447050000
8988.089000,1.213950000
8988.291000,1.485300000
8988.493000,1.287800000
8988.694000,1.243350000
8988.896000,1.481600000
8989.098000,1.478050000
8989.300000,1.449850000
8989.502000,1.438500000
8989.703000,1.038700000
8989.905000,1.488550000
8990.107000,1.433450000
8990.309000,1.233500000
8990.511000,1.050150000
8990.712000,1.417500000
8990.914000,1.507650000
8991.116000,1.462350000
8991.318000,1.483800000
8991.520000,1.059100000
8991.721000,1.492650000
8991.923000,1.508150000
8992.125000,1.073350000
8992.327000,1.479450000
8992.529000,1.460250000
8992.730000,1.064400000
8992.932000,1.498800000
8993.134000,1.498650000
8993.336000,1.072250000
8993.538000,1.495000000
8993.739000,1.514150000
8993.941000,1.062650000
8994.143000,1.466950000
8994.345000,1.370400000
8994.547000,1.067950000
8994.748000,1.500350000
8994.950000,1.516300000
8995.152000,1.073750000
8995.354000,1.496950000
8995.556000,1.480950000
8995.757000,1.061450000
8995.959000,1.530350000
8996.161000,1.511950000
8996.363000,1.060250000
8996.565000,1.500950000
8996.766000,1.462350000
8996.968000,1.088450000
8997.170000,1.481050000
8997.372000,1.506450000
8997.574000,1.074700000
8997.775000,1.483650000
8997.977000,1.519000000
8998.179000,1.070500000
8998.381000,1.504400000
8998.583000,1.415400000
8998.784000,1.053450000
8998.986000,1.058650000
8999.188000,1.497800000
8999.390000,1.079400000
8999.592000,1.473500000
8999.793000,1.517400000
8999.995000,1.070750000
9000.197000,1.495950000
9000.399000,1.516200000
9000.601000,1.080150000
9000.802000,1.484100000
9001.004000,1.291950000
9001.206000,1.053750000
9001.408000,1.455250000
9001.610000,1.464200000
9001.811000,1.072500000
9002.013000,1.406900000
9002.215000,1.589900000
9002.417000,1.071950000
9002.619000,1.467550000
9002.820000,1.501900000
9003.022000,0.491300000
9003.224000,0.486350000
9003.426000,0.483600000
9003.628000,0.483700000
9003.829000,0.485750000
9004.031000,0.485600000
9004.233000,0.520400000
9004.435000,0.482200000
9004.637000,0.480250000
9004.838000,0.480000000
9005.040000,0.481900000
9005.242000,0.433900000
9005.444000,0.433100000
9005.646000,0.432700000
9005.847000,0.432350000
9006.049000,0.432850000
9006.251000,0.431900000
9006.453000,0.431900000
9006.655000,0.431650000
9006.856000,0.431650000
9007.058000,0.468250000
9007.260000,0.431600000
9007.462000,0.432100000
9007.664000,0.430550000
9007.865000,0.430800000
9008.067000,0.430550000
9008.269000,0.430150000
9008.471000,0.430750000
9008.673000,0.430300000
9008.874000,0.339650000
9009.076000,0.339850000
9009.278000,0.339350000
9009.480000,0.339500000
9009.682000,0.339100000
9009.883000,0.340100000
9010.085000,0.339000000
9010.287000,0.337900000
9010.489000,0.338000000
9010.691000,0.338750000
9010.892000,0.345950000
9011.094000,0.389200000
9011.296000,0.385000000
9011.498000,0.337550000
9011.700000,0.338500000
9011.901000,0.338300000
9012.103000,0.337900000
9012.305000,0.338550000
9012.507000,0.337250000
9012.709000,0.337700000
9012.910000,0.336950000
