uptime_s,current_a
39767.836000,0.384500000
39768.038000,0.385050000
39768.239000,0.385700000
39768.441000,0.384450000
39768.643000,0.384700000
39768.845000,0.384500000
39769.047000,0.384300000
39769.248000,0.387000000
39769.450000,0.384200000
39769.652000,0.384350000
39769.854000,0.339500000
39770.056000,0.339400000
39770.257000,0.386200000
39770.459000,0.386050000
39770.661000,0.339050000
39770.863000,0.338800000
39771.065000,0.339450000
39771.266000,0.338700000
39771.468000,0.339050000
39771.670000,0.339200000
39771.872000,0.338450000
39772.074000,0.339350000
39772.275000,0.375150000
39772.477000,0.338000000
39772.679000,0.340000000
39772.881000,0.340100000
39773.083000,0.338850000
39773.284000,0.338750000
39773.486000,0.338950000
39773.688000,0.340200000
39773.890000,0.339050000
39774.092000,0.338200000
39774.293000,0.338500000
39774.495000,0.337950000
39774.697000,0.338200000
39774.899000,0.338700000
39775.101000,0.374900000
39775.302000,0.337900000
39775.504000,0.337750000
39775.706000,0.338500000
39775.908000,0.338600000
39776.110000,0.338350000
39776.311000,0.338200000
39776.513000,0.339650000
39776.715000,0.337950000
39776.917000,0.337600000
39777.119000,0.384400000
39777.320000,0.384950000
39777.522000,0.337250000
39777.724000,0.670050000
39777.926000,1.271150000
39778.128000,1.408700000
39778.329000,1.045300000
39778.531000,1.054850000
39778.733000,1.449200000
39778.935000,1.086900000
39779.137000,1.061900000
39779.338000,1.452550000
39779.540000,1.024300000
39779.742000,1.048000000
39779.944000,1.391200000
39780.146000,1.504500000
39780.347000,1.343000000
39780.549000,1.436400000
39780.751000,1.048350000
39780.953000,1.461850000
39781.155000,1.434000000
39781.356000,1.048150000
39781.558000,1.392850000
39781.760000,1.028600000
39781.962000,1.275100000
39782.164000,1.339750000
39782.365000,1.048700000
39782.567000,1.283200000
39782.769000,1.321800000
39782.971000,1.054800000
39783.173000,1.451300000
39783.374000,1.474850000
39783.576000,1.034900000
39783.778000,1.428100000
39783.980000,1.458400000
39784.182000,1.058050000
39784.383000,1.460850000
39784.585000,1.451800000
39784.787000,1.459600000
39784.989000,1.467800000
39785.191000,1.424650000
39785.392000,1.049550000
39785.594000,1.406350000
39785.796000,1.001200000
39785.998000,1.210450000
39786.200000,1.469850000
39786.401000,1.051750000
39786.603000,1.282900000
39786.805000,1.450000000
39787.007000,1.022100000
39787.209000,1.287350000
39787.410000,1.451850000
39787.612000,1.060350000
39787.814000,1.463350000
39788.016000,1.464350000
39788.218000,1.035600000
39788.419000,1.473400000
39788.621000,1.459450000
39788.823000,1.097300000
39789.025000,1.392050000
39789.227000,1.448350000
39789.428000,1.057350000
39789.630000,1.442150000
39789.832000,1.462400000
39790.034000,1.510850000
39790.236000,1.488300000
39790.437000,1.062250000
39790.639000,1.280700000
39790.841000,1.333000000
39791.043000,1.046400000
39791.245000,1.282450000
39791.446000,1.451550000
39791.648000,1.081750000
39791.850000,1.457350000
39792.052000,1.446650000
39792.254000,1.065100000
39792.455000,1.462700000
39792.657000,1.496000000
39792.859000,1.059450000
39793.061000,1.462450000
39793.263000,1.448350000
39793.464000,1.492300000
39793.666000,1.476550000
39793.868000,1.401850000
39794.070000,1.067600000
39794.272000,1.419000000
39794.473000,1.521000000
39794.675000,0.983050000
39794.877000,1.467050000
39795.079000,1.046950000
39795.281000,1.272950000
39795.482000,1.456050000
39795.684000,1.073350000
39795.886000,1.247400000
39796.088000,1.505450000
39796.290000,1.248350000
39796.491000,1.243600000
39796.693000,1.447600000
39796.895000,1.036900000
39797.097000,0.494150000
39797.299000,0.492150000
39797.500000,0.491450000
39797.702000,0.493500000
39797.904000,0.489800000
39798.106000,0.489800000
39798.308000,0.489500000
39798.509000,0.524000000
39798.711000,0.488200000
39798.913000,0.487700000
39799.115000,0.440900000
39799.317000,0.454650000
39799.518000,0.439650000
39799.720000,0.439150000
39799.922000,0.439650000
39800.124000,0.440250000
39800.326000,0.439200000
39800.527000,0.438400000
39800.729000,0.438300000
39800.931000,0.438450000
39801.133000,0.438300000
39801.335000,0.436850000
39801.536000,0.485000000
39801.738000,0.482550000
39801.940000,0.483550000
39802.142000,0.483000000
39802.344000,0.483150000
39802.545000,0.482950000
39802.747000,0.519650000
39802.949000,0.390300000
39803.151000,0.390350000
39803.353000,0.391050000
39803.554000,0.397050000
39803.756000,0.344050000
39803.958000,0.355300000
39804.160000,0.343050000
39804.362000,0.343550000
39804.563000,0.400250000
39804.765000,0.390400000
39804.967000,0.345200000
39805.169000,0.343450000
39805.371000,0.343500000
39805.572000,0.343150000
39805.774000,0.342450000
39805.976000,0.344900000
39806.178000,0.342600000
39806.380000,0.343700000
39806.581000,0.342100000
39806.783000,0.342200000
