uptime_s,current_a
54591.862000,0.382850000
54592.064000,0.382800000
54592.266000,0.385250000
54592.467000,0.382550000
54592.669000,0.383250000
54592.871000,0.382150000
54593.073000,0.382550000
54593.275000,0.382150000
54593.476000,0.382350000
54593.678000,0.383150000
54593.880000,0.337300000
54594.082000,0.336900000
54594.284000,0.336750000
54594.485000,0.336750000
54594.687000,0.336750000
54594.889000,0.337850000
54595.091000,0.337100000
54595.293000,0.337000000
54595.494000,0.337000000
54595.696000,0.336650000
54595.898000,0.338850000
54596.100000,0.336700000
54596.302000,0.336500000
54596.503000,0.336400000
54596.705000,0.336350000
54596.907000,0.335950000
54597.109000,0.336950000
54597.311000,0.336300000
54597.512000,0.336500000
54597.714000,0.343100000
54597.916000,0.335550000
54598.118000,0.337050000
54598.320000,0.337350000
54598.521000,0.335800000
54598.723000,0.335950000
54598.925000,0.365950000
54599.127000,0.338700000
54599.329000,0.338650000
54599.530000,0.383400000
54599.732000,0.343550000
54599.934000,0.336150000
54600.136000,0.335800000
54600.338000,0.335800000
54600.539000,0.335900000
54600.741000,0.337050000
54600.943000,0.336100000
54601.145000,0.335850000
54601.347000,0.336250000
54601.548000,0.336100000
54601.750000,0.446200000
54601.952000,0.661750000
54602.154000,0.636250000
54602.356000,0.640750000
54602.557000,0.649200000
54602.759000,1.078300000
54602.961000,0.900150000
54603.163000,1.076700000
54603.365000,0.712350000
54603.566000,0.675750000
54603.768000,0.712050000
54603.970000,0.711650000
54604.172000,1.270000000
54604.374000,1.063950000
54604.575000,1.100550000
54604.777000,0.706550000
54604.979000,0.707600000
54605.181000,0.715800000
54605.383000,0.711950000
54605.584000,0.922500000
54605.786000,0.994450000
54605.988000,1.093600000
54606.190000,0.714300000
54606.392000,0.719750000
54606.593000,0.676950000
54606.795000,0.659700000
54606.997000,1.102500000
54607.199000,0.870750000
54607.401000,1.027800000
54607.602000,0.661850000
54607.804000,0.667900000
54608.006000,0.670800000
54608.208000,0.668950000
54608.410000,1.237650000
54608.611000,1.004650000
54608.813000,0.956500000
54609.015000,0.647150000
54609.217000,0.668450000
54609.419000,0.671900000
54609.620000,0.669600000
54609.822000,0.906400000
54610.024000,1.179750000
54610.226000,1.107750000
54610.428000,0.649800000
54610.629000,0.671350000
54610.831000,0.669000000
54611.033000,0.671800000
54611.235000,1.355300000
54611.437000,1.263650000
54611.638000,0.819600000
54611.840000,0.651000000
54612.042000,0.671100000
54612.244000,0.669200000
54612.446000,0.666550000
54612.647000,1.330700000
54612.849000,1.279550000
54613.051000,1.061900000
54613.253000,0.720700000
54613.455000,0.676750000
54613.656000,0.661500000
54613.858000,0.676950000
54614.060000,1.106300000
54614.262000,0.758200000
54614.464000,1.205250000
54614.665000,0.672650000
54614.867000,0.671750000
54615.069000,0.671700000
54615.271000,0.670650000
54615.473000,1.196600000
54615.674000,1.252700000
54615.876000,1.041050000
54616.078000,0.678050000
54616.280000,0.672550000
54616.482000,0.661950000
54616.683000,0.668950000
54616.885000,1.118600000
54617.087000,1.081300000
54617.289000,1.083500000
54617.491000,0.716450000
54617.692000,0.716700000
54617.894000,0.719000000
54618.096000,0.718150000
54618.298000,1.309700000
54618.500000,1.291800000
54618.701000,1.342550000
54618.903000,0.714550000
54619.105000,0.627550000
54619.307000,0.718700000
54619.509000,0.714150000
54619.710000,1.216250000
54619.912000,1.121050000
54620.114000,1.135100000
54620.316000,0.678100000
54620.518000,0.670350000
54620.719000,0.676050000
54620.921000,0.673300000
54621.123000,0.914050000
54621.325000,1.016100000
54621.527000,1.033550000
54621.728000,0.676300000
54621.930000,0.676600000
54622.132000,0.670150000
54622.334000,0.667000000
54622.536000,0.796050000
54622.737000,1.155550000
54622.939000,1.102800000
54623.141000,0.673950000
54623.343000,0.672750000
54623.545000,0.667050000
54623.746000,0.673400000
54623.948000,0.768200000
54624.150000,0.748900000
54624.352000,1.127850000
54624.554000,0.683800000
54624.755000,0.671400000
54624.957000,0.671050000
54625.159000,0.672250000
54625.361000,1.135250000
54625.563000,1.254200000
54625.764000,0.902850000
54625.966000,0.633650000
54626.168000,0.674000000
54626.370000,0.673350000
54626.572000,0.672300000
54626.773000,0.939600000
54626.975000,1.338700000
54627.177000,1.040800000
54627.379000,0.673550000
54627.581000,0.671100000
54627.782000,0.669450000
54627.984000,0.673150000
