uptime_s,current_a
54851.780000,0.384250000
54851.982000,0.384350000
54852.184000,0.383950000
54852.386000,0.383700000
54852.588000,0.383250000
54852.789000,0.383300000
54852.991000,0.384000000
54853.193000,0.383200000
54853.395000,0.384450000
54853.597000,0.384300000
54853.798000,0.342900000
54854.000000,0.383750000
54854.202000,0.344350000
54854.404000,0.338700000
54854.606000,0.338100000
54854.807000,0.337750000
54855.009000,0.337600000
54855.211000,0.337600000
54855.413000,0.337700000
54855.615000,0.338000000
54855.816000,0.338050000
54856.018000,0.337700000
54856.220000,0.337550000
54856.422000,0.374650000
54856.624000,0.337950000
54856.825000,0.337300000
54857.027000,0.337600000
54857.229000,0.336750000
54857.431000,0.337250000
54857.633000,0.337500000
54857.834000,0.337500000
54858.036000,0.337400000
54858.238000,0.336450000
54858.440000,0.336350000
54858.642000,0.337550000
54858.843000,0.337000000
54859.045000,0.337350000
54859.247000,0.336500000
54859.449000,0.336650000
54859.651000,0.338400000
54859.852000,0.337250000
54860.054000,0.337100000
54860.256000,0.336600000
54860.458000,0.336500000
54860.660000,0.341400000
54860.861000,0.383350000
54861.063000,0.342700000
54861.265000,0.336750000
54861.467000,0.337450000
54861.669000,0.665850000
54861.870000,1.012550000
54862.072000,1.525500000
54862.274000,1.479850000
54862.476000,1.063550000
54862.678000,1.263500000
54862.879000,1.428500000
54863.081000,1.470100000
54863.283000,1.041350000
54863.485000,1.478450000
54863.687000,1.522000000
54863.888000,1.065100000
54864.090000,1.048850000
54864.292000,1.429850000
54864.494000,1.477800000
54864.696000,1.563750000
54864.897000,1.415250000
54865.099000,1.530050000
54865.301000,1.504700000
54865.503000,1.065750000
54865.705000,1.461450000
54865.906000,1.527300000
54866.108000,1.066900000
54866.310000,1.272350000
54866.512000,1.515100000
54866.714000,1.466200000
54866.915000,1.087750000
54867.117000,1.470750000
54867.319000,1.513350000
54867.521000,1.116100000
54867.723000,1.458150000
54867.924000,1.238100000
54868.126000,1.506350000
54868.328000,1.427750000
54868.530000,1.125800000
54868.732000,1.464000000
54868.933000,1.526000000
54869.135000,1.056550000
54869.337000,1.515600000
54869.539000,1.494150000
54869.741000,1.078200000
54869.942000,1.271850000
54870.144000,1.390850000
54870.346000,1.515100000
54870.548000,1.115250000
54870.750000,1.023950000
54870.951000,1.472500000
54871.153000,1.069500000
54871.355000,1.094300000
54871.557000,1.517050000
54871.759000,1.486450000
54871.960000,1.075700000
54872.162000,1.028850000
54872.364000,1.480500000
54872.566000,1.519800000
54872.768000,1.083200000
54872.969000,1.328700000
54873.171000,1.442700000
54873.373000,1.085500000
54873.575000,1.277850000
54873.777000,1.570150000
54873.978000,1.399900000
54874.180000,1.047200000
54874.382000,1.402550000
54874.584000,1.286150000
54874.786000,1.072750000
54874.987000,1.547850000
54875.189000,1.454650000
54875.391000,1.478200000
54875.593000,1.085350000
54875.795000,1.542250000
54875.996000,1.357100000
54876.198000,1.483150000
54876.400000,1.079450000
54876.602000,1.466050000
54876.804000,1.534900000
54877.005000,1.091600000
54877.207000,1.282350000
54877.409000,1.530800000
54877.611000,1.500600000
54877.813000,1.078750000
54878.014000,1.235350000
54878.216000,1.638350000
54878.418000,1.080800000
54878.620000,0.940250000
54878.822000,1.450450000
54879.023000,1.476750000
54879.225000,1.085700000
54879.427000,1.038250000
54879.629000,1.476850000
54879.831000,1.538000000
54880.032000,1.096550000
54880.234000,1.463050000
54880.436000,1.537300000
54880.638000,1.093300000
54880.840000,1.292250000
54881.041000,1.523750000
54881.243000,1.543250000
54881.445000,1.067550000
54881.647000,1.529100000
54881.849000,1.391900000
54882.050000,0.493100000
54882.252000,0.491450000
54882.454000,0.492300000
54882.656000,0.491800000
54882.858000,0.489800000
54883.059000,0.488750000
54883.261000,0.489300000
54883.463000,0.487150000
54883.665000,0.487050000
54883.867000,0.487000000
54884.068000,0.478200000
54884.270000,0.439950000
54884.472000,0.440100000
54884.674000,0.438700000
54884.876000,0.439150000
54885.077000,0.438300000
54885.279000,0.439100000
54885.481000,0.437400000
54885.683000,0.438250000
54885.885000,0.436850000
54886.086000,0.436950000
54886.288000,0.436800000
54886.490000,0.436550000
54886.692000,0.436600000
54886.894000,0.382000000
54887.095000,0.345150000
54887.297000,0.344550000
54887.499000,0.345050000
54887.701000,0.343850000
54887.903000,0.344200000
54888.104000,0.344350000
54888.306000,0.389550000
54888.508000,0.391450000
54888.710000,0.343150000
54888.912000,0.342700000
54889.113000,0.343200000
54889.315000,0.343450000
54889.517000,0.342650000
54889.719000,0.342400000
54889.921000,0.342900000
54890.122000,0.342400000
54890.324000,0.342300000
54890.526000,0.342100000
54890.728000,0.342550000
54890.930000,0.343150000
54891.131000,0.342300000
54891.333000,0.342050000
54891.535000,0.341450000
54891.737000,0.341750000
54891.939000,0.341500000
