uptime_s,current_a
11943.450000,0.387050000
11943.652000,0.386450000
11943.854000,0.385250000
11944.055000,0.389750000
11944.257000,0.387850000
11944.459000,0.385900000
11944.661000,0.387700000
11944.863000,0.385450000
11945.064000,0.385900000
11945.266000,0.386350000
11945.468000,0.385300000
11945.670000,0.339950000
11945.872000,0.340400000
11946.073000,0.339300000
11946.275000,0.339250000
11946.477000,0.339150000
11946.679000,0.341650000
11946.881000,0.377550000
11947.082000,0.339050000
11947.284000,0.339550000
11947.486000,0.340150000
11947.688000,0.339250000
11947.890000,0.339400000
11948.091000,0.386550000
11948.293000,0.360950000
11948.495000,0.339800000
11948.697000,0.339250000
11948.899000,0.339550000
11949.100000,0.315250000
11949.302000,0.339500000
11949.504000,0.339100000
11949.706000,0.376050000
11949.908000,0.338800000
11950.109000,0.339100000
11950.311000,0.339300000
11950.513000,0.384700000
11950.715000,0.386100000
11950.917000,0.385150000
11951.118000,0.386650000
11951.320000,0.385250000
11951.522000,0.384800000
11951.724000,0.385050000
11951.926000,0.384700000
11952.127000,0.385150000
11952.329000,0.385100000
11952.531000,0.338400000
11952.733000,0.339700000
11952.935000,0.338350000
11953.136000,0.338650000
11953.338000,0.379150000
11953.540000,0.467800000
11953.742000,0.433100000
11953.944000,0.431700000
11954.145000,0.474950000
11954.347000,0.433000000
11954.549000,0.488650000
11954.751000,0.544600000
11954.953000,0.452150000
11955.154000,0.447700000
11955.356000,0.435900000
11955.558000,0.499350000
11955.760000,1.280150000
11955.962000,1.220600000
11956.163000,1.004500000
11956.365000,1.001000000
11956.567000,1.020000000
11956.769000,1.012350000
11956.971000,1.005650000
11957.172000,0.997650000
11957.374000,0.952550000
11957.576000,0.953900000
11957.778000,0.950250000
11957.980000,0.984650000
11958.181000,0.946850000
11958.383000,1.138900000
11958.585000,0.950950000
11958.787000,0.949650000
11958.989000,0.939050000
11959.190000,0.947150000
11959.392000,1.337900000
11959.594000,1.361700000
11959.796000,1.051500000
11959.998000,1.065450000
11960.199000,1.070900000
11960.401000,1.082200000
11960.603000,1.073200000
11960.805000,1.068500000
11961.007000,1.004900000
11961.208000,1.008400000
11961.410000,1.008450000
11961.612000,1.002050000
11961.814000,0.999750000
11962.016000,1.059750000
11962.217000,1.004600000
11962.419000,1.005600000
11962.621000,0.988950000
11962.823000,0.939300000
11963.025000,1.297950000
11963.226000,1.250300000
11963.428000,1.017050000
11963.630000,1.016800000
11963.832000,1.081900000
11964.034000,1.082100000
11964.235000,1.067550000
11964.437000,1.064700000
11964.639000,1.012050000
11964.841000,1.007300000
11965.043000,1.007450000
11965.244000,1.005000000
11965.446000,1.003900000
11965.648000,1.056450000
11965.850000,0.952650000
11966.052000,0.945100000
11966.253000,0.983700000
11966.455000,0.944350000
11966.657000,0.944300000
11966.859000,1.375900000
11967.061000,1.178050000
11967.262000,1.023550000
11967.464000,1.034500000
11967.666000,1.033850000
11967.868000,1.000700000
11968.070000,1.004100000
11968.271000,1.006600000
11968.473000,0.954000000
11968.675000,0.984450000
11968.877000,0.966600000
11969.079000,0.988200000
11969.280000,0.944550000
11969.482000,0.951000000
11969.684000,0.948050000
11969.886000,0.949300000
11970.088000,0.949800000
11970.289000,0.945000000
11970.491000,1.319450000
11970.693000,1.315950000
11970.895000,1.018750000
11971.097000,1.023150000
11971.298000,1.028600000
11971.500000,1.010650000
11971.702000,1.010550000
11971.904000,1.006850000
11972.106000,0.957000000
11972.307000,0.956050000
11972.509000,0.955050000
11972.711000,0.938050000
11972.913000,0.945000000
11973.115000,0.943200000
11973.316000,0.951050000
11973.518000,0.951050000
11973.720000,0.940050000
11973.922000,0.949850000
11974.124000,1.000800000
11974.325000,1.366250000
11974.527000,1.381100000
11974.729000,1.056700000
11974.931000,1.058850000
11975.133000,1.069950000
11975.334000,1.058300000
11975.536000,1.064500000
11975.738000,1.068950000
11975.940000,1.009550000
11976.142000,1.007050000
11976.343000,1.004450000
11976.545000,1.000100000
11976.747000,0.950550000
11976.949000,0.951100000
11977.151000,0.949200000
11977.352000,0.990750000
11977.554000,0.947550000
11977.756000,0.956000000
11977.958000,0.950050000
11978.160000,1.320000000
11978.361000,1.336550000
11978.563000,1.009000000
11978.765000,1.007050000
11978.967000,1.037150000
11979.169000,1.026950000
11979.370000,1.014600000
11979.572000,1.012800000
11979.774000,0.962200000
11979.976000,0.963950000
11980.178000,0.960400000
11980.379000,0.952150000
11980.581000,0.950050000
11980.783000,0.954600000
11980.985000,0.952200000
11981.187000,0.950800000
11981.388000,0.950400000
11981.590000,0.956800000
11981.792000,0.955000000
11981.994000,1.303100000
11982.196000,1.153700000
11982.397000,1.035750000
11982.599000,1.056650000
11982.801000,1.025550000
11983.003000,1.028400000
11983.205000,1.007700000
11983.406000,1.067700000
11983.608000,0.956750000
11983.810000,0.956950000
11984.012000,0.958100000
11984.214000,0.952050000
11984.415000,0.957400000
11984.617000,0.950400000
11984.819000,0.955100000
11985.021000,0.956500000
11985.223000,0.947000000
11985.424000,0.935950000
11985.626000,0.991350000
11985.828000,1.407400000
11986.030000,1.158100000
11986.232000,1.008850000
11986.433000,1.014050000
11986.635000,1.027900000
11986.837000,1.031850000
11987.039000,1.012250000
11987.241000,0.954750000
11987.442000,0.959900000
11987.644000,0.958300000
11987.846000,0.959350000
11988.048000,0.952300000
11988.250000,0.955000000
11988.451000,1.046700000
11988.653000,0.999250000
11988.855000,1.008800000
11989.057000,0.997600000
11989.259000,1.006100000
11989.460000,1.000000000
11989.662000,1.433000000
11989.864000,1.235000000
11990.066000,1.063250000
11990.268000,1.063800000
11990.469000,1.080000000
11990.671000,1.009450000
11990.873000,1.008850000
11991.075000,0.968100000
11991.277000,0.952300000
11991.478000,0.958750000
11991.680000,0.958950000
11991.882000,0.952300000
11992.084000,0.949450000
11992.286000,1.008000000
11992.487000,0.955150000
11992.689000,0.957800000
11992.891000,0.948750000
11993.093000,0.936200000
11993.295000,0.946750000
11993.496000,1.440100000
11993.698000,1.179150000
11993.900000,1.013800000
11994.102000,1.010750000
11994.304000,1.021350000
11994.505000,1.019050000
11994.707000,1.017850000
11994.909000,0.956150000
11995.111000,0.950550000
11995.313000,0.958050000
11995.514000,0.961500000
11995.716000,0.954750000
11995.918000,0.949400000
11996.120000,0.902850000
11996.322000,1.005600000
11996.523000,0.963300000
11996.725000,0.970400000
11996.927000,0.952400000
11997.129000,1.015250000
11997.331000,1.380050000
11997.532000,1.220500000
11997.734000,1.055400000
11997.936000,1.059850000
11998.138000,1.057150000
11998.340000,1.061750000
11998.541000,1.064000000
11998.743000,1.011950000
11998.945000,1.009100000
11999.147000,1.010800000
11999.349000,0.963450000
11999.550000,0.953100000
11999.752000,0.950300000
11999.954000,0.955250000
12000.156000,0.952400000
12000.358000,0.955450000
12000.559000,0.948100000
12000.761000,0.955800000
12000.963000,1.325950000
12001.165000,1.307900000
12001.367000,1.172450000
12001.568000,1.001950000
12001.770000,1.021750000
12001.972000,1.022650000
12002.174000,1.012650000
12002.376000,1.076150000
12002.577000,1.008650000
12002.779000,1.010400000
12002.981000,1.008050000
12003.183000,1.014500000
12003.385000,0.998550000
12003.586000,1.000200000
12003.788000,1.002700000
12003.990000,0.999700000
12004.192000,1.005250000
12004.394000,0.991450000
12004.595000,1.000550000
12004.797000,1.309450000
12004.999000,1.333750000
12005.201000,1.159050000
12005.403000,1.012600000
12005.604000,1.021850000
12005.806000,1.027450000
12006.008000,1.023350000
12006.210000,1.024600000
12006.412000,0.958300000
12006.613000,0.963850000
12006.815000,0.968550000
12007.017000,0.965650000
12007.219000,0.957300000
12007.421000,0.952050000
12007.622000,0.959300000
12007.824000,0.996300000
12008.026000,0.956400000
12008.228000,0.950550000
12008.430000,0.951400000
