uptime_s,current_a
57809.159000,0.394750000
57809.361000,0.388550000
57809.563000,0.391400000
57809.765000,0.388400000
57809.967000,0.387950000
57810.168000,0.388300000
57810.370000,0.388400000
57810.572000,0.394050000
57810.774000,0.388250000
57810.976000,0.387550000
57811.177000,0.399350000
57811.379000,0.343550000
57811.581000,0.390500000
57811.783000,0.388050000
57811.985000,0.387450000
57812.186000,0.390000000
57812.388000,0.388050000
57812.590000,0.388950000
57812.792000,0.387950000
57812.994000,0.386950000
57813.195000,0.387600000
57813.397000,0.387800000
57813.599000,0.393850000
57813.801000,0.341300000
57814.003000,0.341650000
57814.204000,0.342200000
57814.406000,0.341850000
57814.608000,0.342600000
57814.810000,0.341800000
57815.012000,0.341200000
57815.213000,0.342000000
57815.415000,0.341600000
57815.617000,0.380050000
57815.819000,0.341650000
57816.021000,0.342000000
57816.222000,0.340550000
57816.424000,0.341500000
57816.626000,0.340950000
57816.828000,0.341500000
57817.030000,0.340450000
57817.231000,0.342650000
57817.433000,0.341050000
57817.635000,0.340850000
57817.837000,0.340450000
57818.039000,0.389550000
57818.240000,0.342950000
57818.442000,0.425750000
57818.644000,0.350600000
57818.846000,0.340700000
57819.048000,0.340750000
57819.249000,0.664400000
57819.451000,0.594900000
57819.653000,1.405800000
57819.855000,1.152050000
57820.057000,1.024150000
57820.258000,1.028350000
57820.460000,1.030650000
57820.662000,1.025450000
57820.864000,1.019150000
57821.066000,0.967650000
57821.267000,0.956600000
57821.469000,0.958200000
57821.671000,0.952450000
57821.873000,0.954950000
57822.075000,0.954900000
57822.276000,0.958900000
57822.478000,0.960800000
57822.680000,0.951350000
57822.882000,0.955850000
57823.084000,0.961800000
57823.285000,1.360200000
57823.487000,1.212150000
57823.689000,1.075400000
57823.891000,1.080900000
57824.093000,1.071350000
57824.294000,1.073000000
57824.496000,1.059550000
57824.698000,1.019600000
57824.900000,1.010400000
57825.102000,1.010100000
57825.303000,1.007300000
57825.505000,0.971200000
57825.707000,0.957050000
57825.909000,0.962350000
57826.111000,0.964650000
57826.312000,0.955050000
57826.514000,0.954300000
57826.716000,0.992600000
57826.918000,1.427950000
57827.120000,1.157900000
57827.321000,1.023450000
57827.523000,1.021550000
57827.725000,1.025250000
57827.927000,1.013200000
57828.129000,1.004500000
57828.330000,0.970100000
57828.532000,0.956500000
57828.734000,0.959150000
57828.936000,0.966350000
57829.138000,0.956650000
57829.339000,0.954750000
57829.541000,1.044450000
57829.743000,0.957700000
57829.945000,0.955750000
57830.147000,0.954250000
57830.348000,0.952150000
57830.550000,1.007600000
57830.752000,1.454050000
57830.954000,1.214750000
57831.156000,1.072350000
57831.357000,1.072100000
57831.559000,1.074600000
57831.761000,1.079950000
57831.963000,1.063800000
57832.165000,1.018800000
57832.366000,1.019300000
57832.568000,1.011150000
57832.770000,0.967300000
57832.972000,0.957200000
57833.174000,0.954900000
57833.375000,0.948850000
57833.577000,0.961700000
57833.779000,0.958100000
57833.981000,0.961850000
57834.183000,0.957850000
57834.384000,1.418200000
57834.586000,1.310650000
57834.788000,1.159000000
57834.990000,1.022300000
57835.192000,1.222050000
57835.393000,1.035100000
57835.595000,1.016050000
57835.797000,1.032200000
57835.999000,1.016050000
57836.201000,1.012900000
57836.402000,1.010350000
57836.604000,1.006400000
57836.806000,1.007200000
57837.008000,1.006000000
57837.210000,1.007150000
57837.411000,1.003900000
57837.613000,1.007950000
57837.815000,1.043750000
57838.017000,0.960950000
57838.219000,1.354450000
57838.420000,1.318150000
57838.622000,1.222650000
57838.824000,1.076550000
57839.026000,1.082800000
57839.228000,1.081950000
57839.429000,1.071750000
57839.631000,1.061850000
57839.833000,1.015800000
57840.035000,1.020100000
57840.237000,1.016650000
57840.438000,1.017850000
57840.640000,1.006500000
57840.842000,1.004650000
57841.044000,1.007250000
57841.246000,1.011400000
57841.447000,0.967100000
57841.649000,0.955050000
57841.851000,0.959650000
57842.053000,1.326900000
57842.255000,1.307100000
57842.456000,1.382500000
57842.658000,1.025050000
57842.860000,1.021150000
57843.062000,1.027400000
57843.264000,1.020850000
57843.465000,1.012600000
57843.667000,0.985650000
57843.869000,0.964750000
57844.071000,0.965600000
57844.273000,0.962850000
57844.474000,0.957050000
57844.676000,0.955850000
57844.878000,0.957850000
57845.080000,0.960200000
57845.282000,0.964000000
57845.483000,0.957300000
57845.685000,0.963500000
57845.887000,1.371600000
57846.089000,1.365900000
57846.291000,1.018800000
57846.492000,1.021800000
57846.694000,1.023500000
57846.896000,1.021350000
57847.098000,1.030350000
57847.300000,1.041350000
