uptime_s,current_a
26957.370000,0.392300000
26957.572000,0.386500000
26957.774000,0.385800000
26957.975000,0.386200000
26958.177000,0.386550000
26958.379000,0.385950000
26958.581000,0.387350000
26958.783000,0.386300000
26958.984000,0.385700000
26959.186000,0.385400000
26959.388000,0.386800000
26959.590000,0.340050000
26959.792000,0.340450000
26959.993000,0.339700000
26960.195000,0.339550000
26960.397000,0.339950000
26960.599000,0.339000000
26960.801000,0.339500000
26961.002000,0.339450000
26961.204000,0.339650000
26961.406000,0.339850000
26961.608000,0.339800000
26961.810000,0.340900000
26962.011000,0.338850000
26962.213000,0.339400000
26962.415000,0.339450000
26962.617000,0.339100000
26962.819000,0.339550000
26963.020000,0.338450000
26963.222000,0.338950000
26963.424000,0.339000000
26963.626000,0.338750000
26963.828000,0.338000000
26964.029000,0.339000000
26964.231000,0.338650000
26964.433000,0.339200000
26964.635000,0.338950000
26964.837000,0.338700000
26965.038000,0.338700000
26965.240000,0.339400000
26965.442000,0.422850000
26965.644000,0.387000000
26965.846000,0.357000000
26966.047000,0.338650000
26966.249000,0.338500000
26966.451000,0.338700000
26966.653000,0.338100000
26966.855000,0.338950000
26967.056000,0.338250000
26967.258000,0.338900000
26967.460000,1.424800000
26967.662000,1.519650000
26967.864000,1.011600000
26968.065000,1.014150000
26968.267000,1.007700000
26968.469000,1.438150000
26968.671000,1.566550000
26968.873000,1.063500000
26969.074000,1.064750000
26969.276000,1.072750000
26969.478000,1.434750000
26969.680000,1.575500000
26969.882000,1.065350000
26970.083000,1.068700000
26970.285000,1.056500000
26970.487000,1.143150000
26970.689000,1.519600000
26970.891000,1.014150000
26971.092000,1.009900000
26971.294000,1.022450000
26971.496000,1.005350000
26971.698000,1.426000000
26971.900000,1.042800000
26972.101000,1.022750000
26972.303000,1.021050000
26972.505000,1.074050000
26972.707000,1.501550000
26972.909000,1.204200000
26973.110000,1.023250000
26973.312000,1.009650000
26973.514000,1.011500000
26973.716000,1.441250000
26973.918000,1.189000000
26974.119000,1.184150000
26974.321000,1.024800000
26974.523000,1.025500000
26974.725000,1.408650000
26974.927000,1.491800000
26975.128000,1.025350000
26975.330000,1.019600000
26975.532000,1.027250000
26975.734000,1.448150000
26975.936000,1.470150000
26976.137000,1.021350000
26976.339000,1.015650000
26976.541000,1.067150000
26976.743000,1.390000000
26976.945000,1.305800000
26977.146000,1.030400000
26977.348000,1.030600000
26977.550000,1.034400000
26977.752000,1.398350000
26977.954000,1.515500000
26978.155000,1.025350000
26978.357000,1.021250000
26978.559000,0.987100000
26978.761000,1.054700000
26978.963000,1.501350000
26979.164000,1.068650000
26979.366000,1.061950000
26979.568000,1.063450000
26979.770000,1.129500000
26979.972000,1.465600000
26980.173000,1.230500000
26980.375000,1.068900000
26980.577000,1.072550000
26980.779000,1.071300000
26980.981000,1.464350000
26981.182000,1.462300000
26981.384000,1.020600000
26981.586000,1.022350000
26981.788000,1.008800000
26981.990000,1.019750000
26982.191000,1.533900000
26982.393000,1.025150000
26982.595000,1.013600000
26982.797000,1.024350000
26982.999000,1.016250000
26983.200000,1.418900000
26983.402000,1.202050000
26983.604000,1.022250000
26983.806000,1.018500000
26984.008000,1.019650000
26984.209000,1.469900000
26984.411000,1.549800000
26984.613000,1.020500000
26984.815000,1.065250000
26985.017000,1.028900000
26985.218000,1.273500000
26985.420000,1.539550000
26985.622000,1.024450000
26985.824000,1.017050000
26986.026000,1.024300000
26986.227000,1.079800000
26986.429000,1.435200000
26986.631000,1.207150000
26986.833000,1.018000000
26987.035000,1.002600000
26987.236000,1.023650000
26987.438000,1.484750000
26987.640000,1.469050000
26987.842000,1.032900000
26988.044000,1.030650000
26988.245000,1.020950000
26988.447000,1.328350000
26988.649000,1.527350000
