uptime_s,current_a
12464.498000,0.385350000
12464.699000,0.385600000
12464.901000,0.385700000
12465.103000,0.385500000
12465.305000,0.385500000
12465.507000,0.385050000
12465.708000,0.384750000
12465.910000,0.385950000
12466.112000,0.385200000
12466.314000,0.385950000
12466.516000,0.339200000
12466.717000,0.339950000
12466.919000,0.341800000
12467.121000,0.338900000
12467.323000,0.375500000
12467.525000,0.338550000
12467.726000,0.339450000
12467.928000,0.339200000
12468.130000,0.339050000
12468.332000,0.339350000
12468.534000,0.338600000
12468.735000,0.339650000
12468.937000,0.339200000
12469.139000,0.349750000
12469.341000,0.338850000
12469.543000,0.338300000
12469.744000,0.338550000
12469.946000,0.338650000
12470.148000,0.337650000
12470.350000,0.384800000
12470.552000,0.372900000
12470.753000,0.378050000
12470.955000,0.375800000
12471.157000,0.342950000
12471.359000,0.339000000
12471.561000,0.338750000
12471.762000,0.338750000
12471.964000,0.338350000
12472.166000,0.338350000
12472.368000,0.338750000
12472.570000,0.338850000
12472.771000,0.338700000
12472.973000,0.338300000
12473.175000,0.339450000
12473.377000,0.337750000
12473.579000,0.339350000
12473.780000,0.338000000
12473.982000,0.337700000
12474.184000,0.337750000
12474.386000,0.430750000
12474.588000,0.687050000
12474.789000,0.641650000
12474.991000,0.596200000
12475.193000,0.477050000
12475.395000,0.468100000
12475.597000,0.637350000
12475.798000,0.554600000
12476.000000,0.503650000
12476.202000,0.468150000
12476.404000,0.666900000
12476.606000,0.466600000
12476.807000,0.602850000
12477.009000,1.173850000
12477.211000,1.252550000
12477.413000,1.072000000
12477.615000,1.223300000
12477.816000,1.168350000
12478.018000,1.081650000
12478.220000,1.034450000
12478.422000,1.101350000
12478.624000,1.028350000
12478.825000,0.976500000
12479.027000,1.002750000
12479.229000,1.067250000
12479.431000,0.716200000
12479.633000,0.713550000
12479.834000,0.709900000
12480.036000,1.116350000
12480.238000,1.494250000
12480.440000,1.227450000
12480.642000,0.961750000
12480.843000,1.159350000
12481.045000,1.182550000
12481.247000,1.140400000
12481.449000,1.131500000
12481.651000,0.916000000
12481.852000,1.129000000
12482.054000,1.194050000
12482.256000,1.011250000
12482.458000,1.077200000
12482.660000,0.670900000
12482.861000,0.691950000
12483.063000,0.667350000
12483.265000,1.187350000
12483.467000,0.629300000
12483.669000,1.355650000
12483.870000,1.223350000
12484.072000,0.978200000
12484.274000,1.118850000
12484.476000,1.047400000
12484.678000,1.089700000
12484.879000,1.118200000
12485.081000,1.131750000
12485.283000,1.012400000
12485.485000,0.946550000
12485.687000,0.670700000
12485.888000,0.674150000
12486.090000,0.668450000
12486.292000,1.221350000
12486.494000,1.424150000
12486.696000,1.364800000
12486.897000,1.252550000
12487.099000,1.173950000
12487.301000,1.206550000
12487.503000,1.254200000
12487.705000,1.134100000
12487.906000,1.084050000
12488.108000,0.949650000
12488.310000,1.109950000
12488.512000,0.888900000
12488.714000,0.672750000
12488.915000,0.677350000
12489.117000,0.676000000
12489.319000,0.679650000
12489.521000,1.128200000
12489.723000,0.851250000
12489.924000,1.061050000
12490.126000,1.093100000
12490.328000,0.923700000
12490.530000,1.097300000
12490.732000,0.884450000
12490.933000,1.023750000
12491.135000,1.002350000
12491.337000,0.926350000
12491.539000,1.205000000
12491.741000,0.956600000
12491.942000,0.997100000
12492.144000,0.677800000
12492.346000,0.751900000
12492.548000,0.721250000
12492.750000,1.265850000
12492.951000,0.681750000
12493.153000,1.363700000
12493.355000,1.092050000
12493.557000,1.283900000
12493.759000,0.986950000
12493.960000,1.106150000
12494.162000,1.112500000
12494.364000,1.169800000
12494.566000,1.039550000
12494.768000,1.028850000
12494.969000,0.924850000
12495.171000,0.952300000
12495.373000,0.680850000
12495.575000,0.679600000
12495.777000,0.674600000
12495.978000,1.215400000
12496.180000,0.635900000
12496.382000,1.102700000
12496.584000,1.195300000
12496.786000,1.172250000
12496.987000,1.211950000
12497.189000,0.900550000
12497.391000,0.946300000
12497.593000,1.146750000
12497.795000,1.255550000
12497.996000,1.036950000
12498.198000,1.331600000
12498.400000,0.730100000
12498.602000,0.666550000
12498.804000,0.725300000
12499.005000,0.728250000
12499.207000,1.264100000
12499.409000,1.426750000
12499.611000,1.285800000
12499.813000,1.241250000
12500.014000,1.182000000
12500.216000,1.188050000
12500.418000,0.901850000
12500.620000,1.197400000
12500.822000,0.985800000
12501.023000,1.052600000
12501.225000,1.101150000
12501.427000,1.058300000
12501.629000,0.677250000
12501.831000,0.682150000
12502.032000,0.680400000
12502.234000,0.634600000
12502.436000,1.212400000
12502.638000,1.300750000
12502.840000,1.232500000
12503.041000,1.080850000
12503.243000,1.263050000
12503.445000,1.255750000
12503.647000,0.929350000
12503.849000,1.023900000
12504.050000,1.008450000
12504.252000,1.025050000
12504.454000,1.010000000
12504.656000,0.928850000
12504.858000,0.970500000
12505.059000,0.698500000
12505.261000,0.731850000
12505.463000,0.696250000
12505.665000,1.084350000
12505.867000,1.465900000
12506.068000,1.324100000
12506.270000,1.181700000
12506.472000,1.256800000
12506.674000,1.191700000
12506.876000,1.194250000
12507.077000,0.986850000
12507.279000,1.204900000
12507.481000,0.619750000
12507.683000,0.954500000
12507.885000,1.032250000
12508.086000,1.076650000
12508.288000,0.681450000
12508.490000,0.674400000
12508.692000,0.669750000
12508.894000,0.675500000
12509.095000,0.897800000
12509.297000,1.000400000
12509.499000,1.220300000
12509.701000,1.054950000
12509.903000,1.406900000
12510.104000,1.102500000
12510.306000,1.145500000
12510.508000,0.905050000
12510.710000,1.172400000
12510.912000,1.022600000
12511.113000,0.907450000
12511.315000,0.938350000
12511.517000,0.729250000
12511.719000,0.723450000
12511.921000,0.729400000
12512.122000,1.294700000
12512.324000,1.348300000
12512.526000,1.281350000
12512.728000,1.231050000
12512.930000,1.134500000
12513.131000,1.065700000
12513.333000,1.187850000
12513.535000,1.178700000
12513.737000,1.068550000
12513.939000,1.015150000
12514.140000,1.082550000
12514.342000,1.007350000
12514.544000,0.949100000
12514.746000,0.668350000
12514.948000,0.680750000
12515.149000,0.680050000
12515.351000,1.214150000
12515.553000,1.050750000
12515.755000,1.104600000
12515.957000,1.198550000
12516.158000,1.079650000
12516.360000,1.247200000
12516.562000,1.206900000
12516.764000,1.167600000
12516.966000,0.904600000
12517.167000,0.994350000
12517.369000,1.009800000
12517.571000,0.960750000
12517.773000,0.901000000
12517.975000,0.668500000
12518.176000,0.682850000
12518.378000,0.685700000
12518.580000,0.680750000
12518.782000,1.154700000
12518.984000,0.673050000
12519.185000,1.199100000
12519.387000,1.203850000
12519.589000,1.090300000
12519.791000,1.146700000
12519.993000,1.082800000
12520.194000,1.175900000
12520.396000,1.111750000
12520.598000,0.969750000
12520.800000,1.019000000
12521.002000,1.000850000
12521.203000,0.946300000
12521.405000,0.682700000
12521.607000,0.683400000
12521.809000,0.681000000
12522.011000,0.989550000
12522.212000,1.392550000
12522.414000,1.355200000
12522.616000,1.151150000
12522.818000,1.032450000
12523.020000,1.145150000
12523.221000,1.025850000
12523.423000,1.010650000
12523.625000,1.270150000
12523.827000,1.001300000
12524.029000,1.183250000
12524.230000,0.999050000
12524.432000,0.991750000
12524.634000,0.734700000
12524.836000,0.736950000
12525.038000,0.729500000
12525.239000,1.053250000
12525.441000,1.165850000
12525.643000,1.254250000
12525.845000,1.239900000
12526.047000,1.222550000
12526.248000,1.157950000
12526.450000,1.181300000
12526.652000,1.178100000
12526.854000,1.074100000
12527.056000,1.002050000
12527.257000,1.036150000
12527.459000,1.198650000
12527.661000,0.998950000
12527.863000,1.038450000
12528.065000,0.731250000
12528.266000,0.766900000
12528.468000,0.729050000
12528.670000,1.098200000
12528.872000,1.508250000
12529.074000,0.949100000
12529.275000,1.211450000
12529.477000,1.103600000
12529.679000,1.199250000
12529.881000,1.236550000
12530.083000,0.953950000
12530.284000,1.031250000
12530.486000,0.996700000
12530.688000,1.117400000
12530.890000,0.950450000
12531.092000,1.006350000
12531.293000,0.681250000
12531.495000,0.682850000
12531.697000,0.680200000
12531.899000,0.639350000
12532.101000,1.049150000
12532.302000,1.002100000
12532.504000,0.913450000
12532.706000,1.252600000
12532.908000,1.113400000
12533.110000,1.137450000
12533.311000,1.065800000
12533.513000,1.043950000
12533.715000,0.921700000
12533.917000,0.977650000
12534.119000,1.100650000
12534.320000,0.970300000
12534.522000,0.946000000
12534.724000,0.683700000
12534.926000,0.682800000
12535.128000,0.682100000
12535.329000,1.191750000
12535.531000,0.634800000
12535.733000,1.256000000
12535.935000,1.068500000
12536.137000,1.154600000
12536.338000,1.222500000
12536.540000,1.150050000
12536.742000,1.078050000
12536.944000,0.965800000
12537.146000,1.010250000
12537.347000,1.099850000
12537.549000,1.122450000
12537.751000,1.036900000
12537.953000,0.684250000
12538.155000,0.681650000
12538.356000,0.683600000
12538.558000,1.221550000
12538.760000,1.209700000
12538.962000,1.161000000
12539.164000,1.241900000
12539.365000,1.104100000
12539.567000,1.135900000
12539.769000,1.249650000
12539.971000,1.123250000
12540.173000,0.991050000
12540.374000,0.995050000
12540.576000,0.949300000
12540.778000,0.922050000
12540.980000,1.009850000
12541.182000,0.682150000
12541.383000,0.688650000
12541.585000,0.681350000
12541.787000,1.053700000
12541.989000,0.636350000
12542.191000,1.113350000
12542.392000,1.235100000
12542.594000,1.231800000
12542.796000,1.378150000
12542.998000,1.123500000
12543.200000,1.069800000
12543.401000,1.074350000
12543.603000,1.175600000
12543.805000,1.090050000
12544.007000,1.129500000
12544.209000,1.011050000
12544.410000,0.732550000
12544.612000,0.732500000
12544.814000,0.764150000
12545.016000,0.685450000
12545.218000,1.100450000
12545.419000,1.402400000
12545.621000,1.418750000
12545.823000,0.977000000
12546.025000,1.162750000
12546.227000,0.976750000
12546.428000,1.007700000
12546.630000,1.012900000
12546.832000,1.177700000
12547.034000,1.079200000
12547.236000,1.053500000
12547.437000,0.916100000
12547.639000,0.680800000
12547.841000,0.684950000
12548.043000,0.650850000
12548.245000,1.057400000
12548.446000,1.001750000
12548.648000,1.117850000
12548.850000,1.159500000
12549.052000,1.158600000
12549.254000,1.172250000
12549.455000,1.220250000
12549.657000,1.231100000
12549.859000,1.124900000
12550.061000,0.973700000
12550.263000,1.033050000
12550.464000,1.109350000
12550.666000,1.023500000
12550.868000,1.065450000
12551.070000,0.729750000
12551.272000,0.729950000
12551.473000,0.747100000
12551.675000,1.149700000
12551.877000,1.330950000
12552.079000,1.147050000
12552.281000,1.209800000
12552.482000,1.371900000
12552.684000,0.982950000
12552.886000,1.322850000
12553.088000,1.175200000
12553.290000,1.000250000
12553.491000,1.061550000
12553.693000,1.184950000
12553.895000,1.026600000
12554.097000,0.993250000
12554.299000,0.730750000
12554.500000,0.727500000
12554.702000,0.676100000
12554.904000,0.636150000
12555.106000,0.904750000
12555.308000,1.062950000
12555.509000,1.188600000
12555.711000,1.186100000
12555.913000,1.160450000
12556.115000,1.091500000
12556.317000,1.072400000
12556.518000,1.019750000
12556.720000,1.096750000
12556.922000,0.948700000
12557.124000,1.090850000
12557.326000,1.121100000
12557.527000,0.667000000
12557.729000,0.685050000
12557.931000,0.677050000
12558.133000,0.766200000
12558.335000,1.224100000
12558.536000,1.038050000
12558.738000,1.079850000
12558.940000,1.160450000
12559.142000,1.241650000
12559.344000,1.090250000
12559.545000,0.630300000
12559.747000,1.044550000
12559.949000,1.191000000
12560.151000,1.132650000
12560.353000,1.051750000
12560.554000,0.953700000
12560.756000,1.233850000
12560.958000,0.683250000
12561.160000,0.680250000
12561.362000,0.676750000
12561.563000,1.213550000
12561.765000,0.639300000
12561.967000,1.224300000
12562.169000,1.174100000
12562.371000,1.197400000
12562.572000,1.134500000
12562.774000,1.140600000
12562.976000,1.018750000
12563.178000,0.958300000
12563.380000,1.110550000
12563.581000,1.123900000
12563.783000,0.911900000
12563.985000,0.645150000
12564.187000,0.724050000
12564.389000,0.683200000
12564.590000,0.725700000
12564.792000,1.215950000
12564.994000,0.642900000
12565.196000,1.215050000
12565.398000,1.197750000
12565.599000,1.149500000
12565.801000,1.178450000
12566.003000,1.190150000
12566.205000,0.968000000
12566.407000,1.122300000
12566.608000,0.913950000
12566.810000,1.225550000
12567.012000,0.999250000
12567.214000,1.070550000
12567.416000,0.692300000
12567.617000,0.684600000
12567.819000,0.682200000
12568.021000,1.189150000
12568.223000,0.936650000
12568.425000,1.144850000
12568.626000,0.985800000
12568.828000,1.128450000
12569.030000,1.194100000
12569.232000,1.139650000
12569.434000,0.956800000
12569.635000,1.064450000
12569.837000,1.014750000
12570.039000,1.029550000
12570.241000,0.901600000
12570.443000,0.915650000
12570.644000,0.688300000
12570.846000,0.688200000
12571.048000,0.684600000
12571.250000,1.099350000
12571.452000,1.478100000
12571.653000,1.343350000
12571.855000,1.133600000
12572.057000,0.926300000
12572.259000,1.133650000
12572.461000,1.263500000
12572.662000,1.003500000
12572.864000,1.075300000
12573.066000,0.939850000
12573.268000,0.910200000
12573.470000,1.029300000
12573.671000,0.981150000
12573.873000,0.690300000
12574.075000,0.731750000
12574.277000,0.691650000
12574.479000,0.639200000
12574.680000,1.192300000
12574.882000,1.332000000
12575.084000,1.109050000
12575.286000,1.216600000
12575.488000,0.991050000
12575.689000,1.152850000
12575.891000,0.997400000
12576.093000,1.021600000
12576.295000,1.051350000
12576.497000,1.019000000
12576.698000,1.042200000
12576.900000,1.155000000
12577.102000,0.731700000
12577.304000,0.733150000
12577.506000,0.733350000
12577.707000,1.119550000
12577.909000,1.097850000
12578.111000,0.749750000
12578.313000,1.051300000
12578.515000,1.118150000
12578.716000,1.208300000
12578.918000,1.218150000
12579.120000,1.216000000
12579.322000,1.030700000
12579.524000,1.177700000
12579.725000,1.190350000
12579.927000,1.128300000
12580.129000,0.971000000
12580.331000,0.682950000
12580.533000,0.685850000
12580.734000,0.692850000
12580.936000,0.734350000
12581.138000,1.081750000
12581.340000,0.636400000
12581.542000,0.712650000
12581.743000,1.093000000
12581.945000,1.083800000
12582.147000,1.218050000
12582.349000,1.068750000
12582.551000,0.953700000
12582.752000,1.135350000
12582.954000,0.965350000
12583.156000,1.125000000
12583.358000,0.911650000
12583.560000,1.209600000
12583.761000,0.682000000
12583.963000,0.684800000
12584.165000,0.684850000
12584.367000,1.187300000
12584.569000,1.333250000
12584.770000,1.354250000
12584.972000,0.941400000
12585.174000,1.216300000
12585.376000,1.085850000
12585.578000,1.026400000
12585.779000,1.012950000
12585.981000,0.976200000
12586.183000,1.189100000
12586.385000,1.109900000
12586.587000,1.032150000
12586.788000,1.065700000
12586.990000,0.731900000
12587.192000,0.732800000
12587.394000,0.731350000
12587.596000,1.111650000
12587.797000,0.690550000
12587.999000,0.957200000
12588.201000,1.221750000
12588.403000,1.001600000
12588.605000,0.639800000
12588.806000,0.995550000
12589.008000,1.179350000
12589.210000,0.958500000
12589.412000,1.141000000
12589.614000,1.008900000
12589.815000,0.905350000
12590.017000,0.978650000
12590.219000,0.690200000
12590.421000,0.684300000
12590.623000,0.682050000
12590.824000,0.637400000
12591.026000,1.049550000
12591.228000,1.349450000
12591.430000,1.290200000
12591.632000,0.935200000
12591.833000,1.129600000
12592.035000,1.248600000
12592.237000,0.975700000
12592.439000,1.021450000
12592.641000,0.978100000
12592.842000,1.041550000
12593.044000,1.000800000
12593.246000,0.905950000
12593.448000,0.685150000
12593.650000,0.675800000
12593.851000,0.684950000
12594.053000,0.686100000
12594.255000,1.063900000
12594.457000,0.662150000
12594.659000,1.400850000
12594.860000,1.215250000
12595.062000,1.001750000
12595.264000,1.220800000
12595.466000,1.098000000
12595.668000,1.096900000
12595.869000,1.106150000
12596.071000,1.109100000
12596.273000,1.165300000
12596.475000,1.129650000
12596.677000,0.989950000
12596.878000,0.734550000
12597.080000,0.732100000
12597.282000,0.732900000
12597.484000,1.232450000
12597.686000,1.251150000
12597.887000,0.974200000
12598.089000,1.263700000
12598.291000,1.179950000
12598.493000,1.272000000
12598.695000,1.140050000
12598.896000,1.062900000
12599.098000,1.197600000
12599.300000,1.136500000
12599.502000,0.989300000
12599.704000,0.964550000
12599.905000,0.972800000
12600.107000,0.684350000
12600.309000,0.729250000
12600.511000,0.684400000
12600.713000,1.190850000
12600.914000,0.642250000
12601.116000,1.381600000
12601.318000,1.153600000
12601.520000,1.135750000
12601.722000,1.271350000
12601.923000,0.909500000
12602.125000,1.121600000
12602.327000,1.017750000
12602.529000,1.261150000
12602.731000,0.947400000
12602.932000,1.148700000
12603.134000,1.059400000
12603.336000,0.732100000
12603.538000,0.736350000
12603.740000,0.731000000
12603.941000,1.248050000
12604.143000,1.402850000
12604.345000,1.386350000
12604.547000,0.975450000
12604.749000,1.175700000
12604.950000,1.167450000
12605.152000,1.220600000
12605.354000,1.151400000
12605.556000,1.006100000
12605.758000,0.965500000
12605.959000,1.194850000
12606.161000,0.950100000
12606.363000,0.951950000
12606.565000,0.682700000
12606.767000,0.677050000
12606.968000,0.684550000
12607.170000,1.228200000
12607.372000,0.920450000
12607.574000,0.959000000
12607.776000,1.020600000
12607.977000,1.180650000
12608.179000,1.164700000
12608.381000,1.270600000
12608.583000,1.017950000
12608.785000,0.955000000
12608.986000,1.035100000
12609.188000,1.166200000
12609.390000,0.908100000
12609.592000,1.060200000
12609.794000,0.735950000
12609.995000,0.730850000
12610.197000,0.732950000
12610.399000,0.687150000
12610.601000,0.848750000
12610.803000,1.309400000
12611.004000,1.229500000
12611.206000,0.684000000
12611.408000,1.087250000
12611.610000,1.373600000
12611.812000,1.045450000
12612.013000,1.215250000
12612.215000,0.987300000
12612.417000,1.089750000
12612.619000,1.118350000
12612.821000,1.188000000
12613.022000,0.732750000
12613.224000,0.733850000
12613.426000,0.732000000
12613.628000,0.688550000
12613.830000,1.229650000
12614.031000,1.435800000
12614.233000,0.679150000
12614.435000,1.283300000
12614.637000,1.136300000
12614.839000,1.259950000
12615.040000,1.070450000
12615.242000,1.170950000
12615.444000,1.041150000
12615.646000,1.114750000
12615.848000,1.030550000
12616.049000,0.967850000
12616.251000,0.684900000
12616.453000,0.687200000
12616.655000,0.685850000
12616.857000,0.756200000
12617.058000,1.074050000
12617.260000,1.301450000
12617.462000,1.181900000
12617.664000,0.921600000
12617.866000,1.229150000
12618.067000,1.121950000
12618.269000,0.910400000
12618.471000,1.072600000
12618.673000,0.913800000
12618.875000,0.937300000
12619.076000,0.953350000
12619.278000,0.945850000
12619.480000,0.684350000
12619.682000,0.686100000
12619.884000,0.684850000
12620.085000,0.729400000
12620.287000,1.210000000
12620.489000,1.324200000
12620.691000,1.001150000
12620.893000,1.137850000
12621.094000,1.240050000
12621.296000,1.194550000
12621.498000,0.861250000
12621.700000,0.926400000
12621.902000,1.075800000
12622.103000,1.215850000
12622.305000,1.248700000
12622.507000,0.967050000
12622.709000,0.678950000
12622.911000,0.685300000
12623.112000,0.684350000
12623.314000,0.687050000
12623.516000,1.166850000
12623.718000,0.949800000
12623.920000,0.638900000
12624.121000,1.227400000
12624.323000,1.064350000
12624.525000,0.939050000
12624.727000,1.243850000
12624.929000,1.011100000
12625.130000,1.183500000
12625.332000,1.141850000
12625.534000,0.985500000
12625.736000,0.913000000
12625.938000,1.169500000
12626.139000,0.686850000
12626.341000,0.678200000
12626.543000,0.682200000
12626.745000,1.171050000
12626.947000,1.460200000
12627.148000,1.207300000
12627.350000,1.185950000
12627.552000,1.058300000
12627.754000,1.045000000
12627.956000,1.229550000
12628.157000,0.967900000
12628.359000,0.628500000
12628.561000,1.195000000
12628.763000,1.070600000
12628.965000,1.006800000
12629.166000,0.927150000
12629.368000,0.689900000
12629.570000,0.681400000
12629.772000,0.681650000
12629.974000,0.641500000
12630.175000,0.896000000
12630.377000,1.329850000
12630.579000,1.222350000
12630.781000,0.919350000
12630.983000,0.640350000
12631.184000,1.030500000
12631.386000,1.042750000
12631.588000,1.028950000
12631.790000,0.953000000
12631.992000,0.943200000
12632.193000,0.920800000
12632.395000,0.999050000
12632.597000,0.685250000
12632.799000,0.686600000
12633.001000,0.686050000
12633.202000,1.059600000
12633.404000,1.274000000
12633.606000,1.298700000
12633.808000,1.267000000
12634.010000,1.188250000
12634.211000,1.022250000
12634.413000,1.185550000
12634.615000,1.268700000
12634.817000,1.027750000
12635.019000,1.007400000
12635.220000,0.965600000
12635.422000,1.031700000
12635.624000,0.955900000
12635.826000,0.696250000
12636.028000,0.733450000
12636.229000,0.724550000
12636.431000,0.654850000
12636.633000,1.127150000
12636.835000,1.397200000
12637.037000,1.171100000
12637.238000,1.071200000
12637.440000,1.187000000
12637.642000,1.213550000
12637.844000,1.234400000
12638.046000,1.011800000
12638.247000,1.109600000
12638.449000,1.034300000
12638.651000,0.947750000
12638.853000,1.266600000
12639.055000,1.001700000
12639.256000,0.688300000
12639.458000,0.685850000
12639.660000,0.685850000
12639.862000,0.639600000
12640.064000,0.642000000
12640.265000,1.321950000
12640.467000,0.909450000
12640.669000,1.055800000
12640.871000,0.640200000
12641.073000,1.283900000
12641.274000,1.147850000
12641.476000,0.900850000
12641.678000,1.203150000
12641.880000,1.033250000
12642.082000,0.969950000
12642.283000,0.966450000
12642.485000,0.735850000
12642.687000,0.691600000
12642.889000,0.730300000
12643.091000,0.683950000
12643.292000,0.688700000
12643.494000,1.250200000
12643.696000,1.088350000
12643.898000,1.032300000
12644.100000,0.683700000
12644.301000,1.115200000
12644.503000,1.260300000
12644.705000,0.994550000
12644.907000,0.974450000
12645.109000,1.011100000
12645.310000,0.941050000
12645.512000,0.959150000
12645.714000,0.685050000
12645.916000,0.684100000
12646.118000,0.684550000
12646.319000,0.681350000
12646.521000,1.198150000
12646.723000,1.308450000
12646.925000,1.228400000
12647.127000,1.108900000
12647.328000,1.176550000
12647.530000,1.143050000
12647.732000,0.894900000
12647.934000,1.024850000
12648.136000,0.947400000
12648.337000,1.082900000
12648.539000,1.100250000
12648.741000,1.116750000
12648.943000,1.128250000
12649.145000,0.696950000
12649.346000,0.729250000
12649.548000,0.730950000
12649.750000,1.140700000
12649.952000,1.460850000
12650.154000,1.158900000
12650.355000,1.041100000
12650.557000,1.162600000
12650.759000,1.321050000
12650.961000,1.214700000
12651.163000,1.058550000
12651.364000,0.950600000
12651.566000,1.076750000
12651.768000,0.946850000
12651.970000,1.065250000
12652.172000,0.956950000
12652.373000,0.691100000
12652.575000,0.689650000
12652.777000,0.728000000
12652.979000,0.639450000
12653.181000,1.042900000
12653.382000,1.316100000
12653.584000,1.291400000
12653.786000,1.114750000
12653.988000,1.185200000
12654.190000,1.182950000
12654.391000,0.935550000
12654.593000,1.172100000
12654.795000,1.006100000
12654.997000,0.961350000
12655.199000,0.925250000
12655.400000,1.018900000
12655.602000,0.726950000
12655.804000,0.688600000
12656.006000,0.676200000
12656.208000,0.624550000
12656.409000,1.258600000
12656.611000,1.275300000
12656.813000,1.278400000
12657.015000,1.181700000
12657.217000,0.991350000
12657.418000,1.176100000
12657.620000,0.911800000
12657.822000,0.988200000
12658.024000,1.006650000
12658.226000,0.625250000
12658.427000,0.936100000
12658.629000,0.888050000
12658.831000,1.214050000
12659.033000,0.685150000
12659.235000,0.675650000
12659.436000,0.683800000
12659.638000,0.634150000
12659.840000,0.888500000
12660.042000,1.347350000
12660.244000,1.210650000
12660.445000,0.636350000
12660.647000,1.105600000
12660.849000,1.097950000
12661.051000,1.007200000
12661.253000,1.075200000
12661.454000,1.057750000
12661.656000,0.995200000
12661.858000,0.921450000
12662.060000,0.927500000
12662.262000,0.693950000
12662.463000,0.731500000
12662.665000,0.731600000
12662.867000,0.799300000
12663.069000,1.235250000
12663.271000,0.691900000
12663.472000,1.032400000
12663.674000,1.183350000
12663.876000,1.126250000
12664.078000,1.202200000
12664.280000,1.250150000
12664.481000,1.068200000
12664.683000,0.981350000
12664.885000,1.243600000
12665.087000,1.114750000
12665.289000,1.029200000
12665.490000,1.161150000
12665.692000,0.681900000
12665.894000,0.685000000
12666.096000,0.683850000
12666.298000,1.133100000
12666.499000,1.055650000
12666.701000,1.370600000
12666.903000,1.073750000
12667.105000,1.222400000
12667.307000,1.235900000
12667.508000,0.993350000
12667.710000,1.231300000
12667.912000,1.107900000
12668.114000,1.128300000
12668.316000,1.002250000
12668.517000,0.906850000
12668.719000,1.085150000
12668.921000,0.686650000
12669.123000,0.681600000
12669.325000,0.684000000
12669.526000,1.154700000
12669.728000,0.745900000
12669.930000,1.103750000
12670.132000,1.122650000
12670.334000,1.190200000
12670.535000,1.260850000
12670.737000,1.439250000
12670.939000,0.989500000
12671.141000,0.906850000
12671.343000,0.984300000
12671.544000,1.022450000
12671.746000,1.080350000
12671.948000,1.010950000
12672.150000,0.728950000
12672.352000,0.685650000
12672.553000,0.675500000
12672.755000,0.665700000
12672.957000,1.259600000
12673.159000,1.335850000
12673.361000,1.418550000
12673.562000,1.216100000
12673.764000,1.160500000
12673.966000,1.254500000
12674.168000,1.098600000
12674.370000,1.015250000
12674.571000,1.034300000
12674.773000,1.053750000
12674.975000,1.243100000
12675.177000,0.927450000
12675.379000,0.729850000
12675.580000,0.733700000
12675.782000,0.731100000
12675.984000,0.852450000
12676.186000,1.243750000
12676.388000,0.688000000
12676.589000,1.195100000
12676.791000,1.170500000
12676.993000,1.171500000
12677.195000,1.269050000
12677.397000,1.215150000
12677.598000,0.945300000
12677.800000,0.901850000
12678.002000,1.027250000
12678.204000,1.089850000
12678.406000,1.062350000
12678.607000,1.001100000
12678.809000,0.732850000
12679.011000,0.755850000
12679.213000,0.731750000
