uptime_s,current_a
9948.455000,0.388500000
9948.657000,0.390500000
9948.859000,0.388750000
9949.061000,0.388250000
9949.262000,0.383800000
9949.464000,0.384950000
9949.666000,0.384950000
9949.868000,0.383700000
9950.070000,0.384100000
9950.271000,0.383900000
9950.473000,0.338350000
9950.675000,0.339250000
9950.877000,0.339350000
9951.079000,0.340400000
9951.280000,0.345700000
9951.482000,0.338750000
9951.684000,0.337950000
9951.886000,0.339000000
9952.088000,0.338700000
9952.289000,0.339100000
9952.491000,0.337700000
9952.693000,0.337900000
9952.895000,0.338350000
9953.097000,0.337950000
9953.298000,0.345400000
9953.500000,0.385450000
9953.702000,0.341300000
9953.904000,0.337700000
9954.106000,0.338250000
9954.307000,0.337650000
9954.509000,0.338150000
9954.711000,0.340550000
9954.913000,0.338150000
9955.115000,0.337800000
9955.316000,0.337800000
9955.518000,0.338550000
9955.720000,0.338650000
9955.922000,0.337100000
9956.124000,0.337250000
9956.325000,0.337550000
9956.527000,0.374950000
9956.729000,0.337750000
9956.931000,0.337800000
9957.133000,0.337950000
9957.334000,0.337250000
9957.536000,0.338300000
9957.738000,0.338650000
9957.940000,0.337100000
9958.142000,0.338200000
9958.343000,0.381950000
9958.545000,0.472350000
9958.747000,0.434650000
9958.949000,1.383850000
9959.151000,1.380600000
9959.352000,1.079400000
9959.554000,1.049750000
9959.756000,1.007550000
9959.958000,1.432700000
9960.160000,1.425450000
9960.361000,1.048850000
9960.563000,1.094100000
9960.765000,1.061500000
9960.967000,1.438250000
9961.169000,1.415800000
9961.370000,1.097300000
9961.572000,1.105250000
9961.774000,1.060600000
9961.976000,1.450100000
9962.178000,1.431750000
9962.379000,1.142150000
9962.581000,1.098850000
9962.783000,1.075550000
9962.985000,1.299450000
9963.187000,1.372650000
9963.388000,1.107400000
9963.590000,1.105750000
9963.792000,1.074550000
9963.994000,0.659900000
9964.196000,1.514100000
9964.397000,1.099450000
9964.599000,1.101500000
9964.801000,1.016850000
9965.003000,1.018450000
9965.205000,1.463750000
9965.406000,1.057650000
9965.608000,1.060550000
9965.810000,1.025000000
9966.012000,1.017800000
9966.214000,1.384050000
9966.415000,1.216250000
9966.617000,1.113650000
9966.819000,1.027400000
9967.021000,1.071650000
9967.223000,1.444500000
9967.424000,1.244150000
9967.626000,1.097300000
9967.828000,1.022850000
9968.030000,1.020650000
9968.232000,1.504650000
9968.433000,1.220300000
9968.635000,1.057900000
9968.837000,1.025400000
9969.039000,1.018900000
9969.241000,1.488600000
9969.442000,1.208750000
9969.644000,1.073450000
9969.846000,1.024900000
9970.048000,1.024400000
9970.250000,1.149650000
9970.451000,1.280500000
9970.653000,1.097550000
9970.855000,1.074350000
9971.057000,1.033100000
9971.259000,1.495000000
9971.460000,1.289600000
9971.662000,1.039650000
9971.864000,1.082650000
9972.066000,1.075250000
9972.268000,1.443550000
9972.469000,1.255700000
9972.671000,1.061750000
9972.873000,1.027600000
9973.075000,1.007650000
9973.277000,1.434650000
9973.478000,1.271600000
9973.680000,1.053650000
9973.882000,1.024250000
9974.084000,1.062600000
9974.286000,1.444800000
9974.487000,1.371650000
9974.689000,1.054600000
9974.891000,1.061700000
9975.093000,1.018900000
9975.295000,1.420450000
9975.496000,1.336950000
9975.698000,1.046800000
9975.900000,1.097900000
9976.102000,1.015550000
9976.304000,1.021750000
9976.505000,1.486800000
9976.707000,1.234950000
9976.909000,1.058400000
9977.111000,1.025300000
9977.313000,1.014450000
9977.514000,1.395550000
9977.716000,1.315500000
9977.918000,1.048800000
9978.120000,1.024900000
9978.322000,1.013900000
9978.523000,1.475700000
9978.725000,1.272250000
9978.927000,1.052050000
9979.129000,1.069800000
9979.331000,1.002150000
9979.532000,1.416250000
9979.734000,1.377050000
9979.936000,0.992550000
9980.138000,1.051050000
9980.340000,1.027350000
9980.541000,1.019700000
9980.743000,1.460300000
9980.945000,1.101200000
9981.147000,1.100600000
9981.349000,1.063650000
9981.550000,1.063650000
9981.752000,1.593700000
9981.954000,1.257250000
9982.156000,1.106250000
9982.358000,1.068100000
9982.559000,1.075200000
9982.761000,1.403200000
9982.963000,1.328450000
9983.165000,1.056800000
9983.367000,1.020700000
9983.568000,1.004400000
9983.770000,1.412500000
9983.972000,1.386800000
9984.174000,1.050050000
9984.376000,1.065800000
9984.577000,1.029500000
9984.779000,1.427850000
9984.981000,1.281950000
9985.183000,1.049200000
9985.385000,1.053950000
9985.586000,1.016050000
9985.788000,0.992750000
9985.990000,1.596700000
9986.192000,1.279950000
9986.394000,1.103800000
9986.595000,1.067950000
9986.797000,1.061300000
9986.999000,1.544850000
9987.201000,1.426050000
9987.403000,1.093250000
9987.604000,1.083200000
9987.806000,1.069850000
9988.008000,1.459150000
9988.210000,1.288500000
9988.412000,1.061200000
9988.613000,1.023150000
9988.815000,1.027350000
9989.017000,1.419900000
9989.219000,1.259250000
9989.421000,1.055700000
9989.622000,1.047050000
9989.824000,1.014050000
9990.026000,1.027950000
9990.228000,1.384350000
9990.430000,1.051200000
9990.631000,1.054900000
9990.833000,1.027400000
9991.035000,1.006050000
9991.237000,1.582050000
9991.439000,1.286050000
9991.640000,1.113700000
9991.842000,1.068850000
9992.044000,1.063050000
9992.246000,1.429350000
9992.448000,1.312500000
9992.649000,1.108600000
9992.851000,1.080650000
9993.053000,1.062250000
9993.255000,1.424200000
9993.457000,1.408100000
9993.658000,1.058500000
9993.860000,1.106650000
9994.062000,1.079250000
9994.264000,1.491950000
9994.466000,1.341650000
9994.667000,1.108550000
9994.869000,1.111750000
9995.071000,1.071700000
9995.273000,1.116400000
9995.475000,1.557650000
9995.676000,1.273000000
9995.878000,1.105850000
9996.080000,1.075300000
9996.282000,1.062000000
9996.484000,1.438400000
9996.685000,1.385500000
9996.887000,1.059500000
9997.089000,1.029950000
9997.291000,1.007150000
9997.493000,1.472550000
9997.694000,1.356750000
9997.896000,1.062750000
9998.098000,1.098300000
9998.300000,1.041500000
9998.502000,1.427150000
9998.703000,1.300600000
9998.905000,0.978650000
9999.107000,1.064750000
9999.309000,1.024200000
9999.511000,1.023000000
9999.712000,1.514050000
9999.914000,1.127100000
10000.116000,1.062800000
10000.318000,0.995250000
10000.520000,1.006200000
10000.721000,1.422200000
10000.923000,1.304500000
10001.125000,1.011050000
10001.327000,0.979150000
10001.529000,1.064600000
10001.730000,1.476050000
10001.932000,1.528200000
10002.134000,1.069900000
10002.336000,1.119300000
10002.538000,1.008100000
10002.739000,1.049050000
10002.941000,1.330200000
10003.143000,1.282650000
10003.345000,1.073300000
10003.547000,1.070350000
10003.748000,1.071650000
10003.950000,1.411450000
10004.152000,1.352050000
10004.354000,1.072850000
10004.556000,1.031700000
10004.757000,1.008750000
10004.959000,1.434200000
10005.161000,1.241250000
10005.363000,0.929500000
10005.565000,1.067100000
10005.766000,1.034550000
10005.968000,0.998300000
10006.170000,1.515500000
10006.372000,1.285300000
10006.574000,1.054500000
10006.775000,1.022550000
10006.977000,1.019450000
10007.179000,1.380500000
10007.381000,1.170950000
10007.583000,1.061300000
10007.784000,1.033350000
10007.986000,1.017200000
10008.188000,1.428850000
10008.390000,1.250100000
10008.592000,1.034000000
10008.793000,1.060600000
10008.995000,0.994350000
10009.197000,0.997450000
10009.399000,1.498350000
10009.601000,1.222450000
10009.802000,1.021750000
10010.004000,1.029950000
10010.206000,1.022150000
10010.408000,1.446950000
10010.610000,1.238250000
10010.811000,0.981300000
10011.013000,1.024350000
10011.215000,1.015400000
10011.417000,1.428100000
10011.619000,1.416850000
10011.820000,1.024650000
10012.022000,1.052500000
10012.224000,1.028450000
10012.426000,0.951050000
10012.628000,1.550500000
10012.829000,1.271350000
10013.031000,1.114950000
10013.233000,1.041200000
10013.435000,1.059100000
10013.637000,1.418750000
10013.838000,1.221750000
10014.040000,1.070850000
10014.242000,1.112800000
10014.444000,1.160100000
10014.646000,1.320100000
10014.847000,1.372850000
10015.049000,0.972300000
10015.251000,1.086100000
10015.453000,1.035550000
10015.655000,1.019100000
10015.856000,1.308950000
10016.058000,1.178050000
10016.260000,1.056700000
10016.462000,1.035050000
10016.664000,1.024700000
10016.865000,1.490350000
10017.067000,1.256900000
10017.269000,0.957500000
10017.471000,1.098350000
10017.673000,1.031050000
10017.874000,0.983650000
10018.076000,1.275900000
10018.278000,1.221000000
10018.480000,1.024150000
10018.682000,1.019900000
10018.883000,0.985400000
10019.085000,1.225200000
10019.287000,1.374400000
10019.489000,0.940700000
10019.691000,1.018850000
10019.892000,0.985600000
10020.094000,1.424400000
10020.296000,1.310000000
10020.498000,0.955950000
10020.700000,1.015000000
10020.901000,1.023400000
10021.103000,1.018050000
10021.305000,1.472800000
10021.507000,1.133350000
10021.709000,1.023200000
10021.910000,0.989400000
10022.112000,1.043250000
10022.314000,1.436300000
10022.516000,1.374300000
10022.718000,1.108900000
10022.919000,1.121300000
10023.121000,1.076800000
10023.323000,1.315950000
10023.525000,1.446750000
10023.727000,1.031600000
10023.928000,1.066050000
10024.130000,1.077900000
10024.332000,1.077150000
10024.534000,1.357800000
10024.736000,1.222450000
10024.937000,1.073400000
10025.139000,0.954650000
10025.341000,1.016900000
10025.543000,1.429200000
10025.745000,1.225150000
10025.946000,0.982600000
10026.148000,1.030300000
10026.350000,1.030450000
10026.552000,1.020150000
10026.754000,1.332100000
10026.955000,1.061750000
10027.157000,0.981750000
10027.359000,0.990050000
10027.561000,0.985200000
10027.763000,1.394400000
10027.964000,1.207000000
10028.166000,0.937050000
10028.368000,1.027900000
10028.570000,0.972300000
10028.772000,1.032000000
10028.973000,1.428200000
10029.175000,1.193250000
10029.377000,1.025350000
10029.579000,1.032000000
10029.781000,0.950650000
10029.982000,1.373050000
10030.184000,1.321200000
10030.386000,1.012350000
10030.588000,1.035050000
10030.790000,0.987200000
10030.991000,0.988550000
10031.193000,1.381800000
10031.395000,1.106900000
10031.597000,1.056750000
10031.799000,1.030800000
10032.000000,1.007550000
10032.202000,1.378950000
10032.404000,1.183750000
10032.606000,0.978400000
10032.808000,0.994650000
10033.009000,1.174350000
10033.211000,1.408900000
10033.413000,1.170550000
10033.615000,0.903400000
10033.817000,1.058000000
10034.018000,1.068250000
10034.220000,0.994850000
10034.422000,1.419150000
10034.624000,1.172450000
10034.826000,1.011550000
10035.027000,1.157800000
10035.229000,1.064350000
10035.431000,1.368700000
10035.633000,1.347150000
10035.835000,1.000150000
10036.036000,0.993950000
10036.238000,1.072900000
10036.440000,1.073350000
10036.642000,1.358950000
10036.844000,1.322900000
10037.045000,1.010200000
10037.247000,0.928900000
10037.449000,0.980400000
10037.651000,1.387100000
10037.853000,1.302250000
10038.054000,0.984700000
10038.256000,1.025000000
10038.458000,1.026150000
10038.660000,1.023050000
10038.862000,1.337850000
10039.063000,1.104450000
10039.265000,0.973800000
10039.467000,0.995350000
10039.669000,1.024800000
10039.871000,1.434900000
10040.072000,1.256750000
10040.274000,1.024100000
10040.476000,1.019750000
10040.678000,0.952900000
10040.880000,1.041600000
10041.081000,1.491550000
10041.283000,1.187200000
10041.485000,0.976850000
10041.687000,0.891850000
10041.889000,1.006300000
10042.090000,1.401350000
10042.292000,1.443500000
10042.494000,0.927350000
10042.696000,1.070300000
10042.898000,1.039050000
10043.099000,1.051750000
10043.301000,1.269650000
10043.503000,1.127350000
10043.705000,0.982750000
10043.907000,1.022700000
10044.108000,0.956350000
10044.310000,1.463900000
10044.512000,1.226050000
10044.714000,1.015000000
10044.916000,1.023050000
10045.117000,0.994500000
10045.319000,0.947300000
10045.521000,1.318750000
10045.723000,1.243450000
10045.925000,1.060300000
10046.126000,1.086100000
10046.328000,1.039100000
10046.530000,1.421250000
10046.732000,1.281550000
10046.934000,1.106400000
10047.135000,1.070850000
10047.337000,1.079050000
10047.539000,0.952700000
10047.741000,1.348200000
10047.943000,1.066650000
10048.144000,0.983350000
10048.346000,0.979950000
10048.548000,1.025650000
10048.750000,1.159800000
10048.952000,1.265200000
10049.153000,1.021850000
10049.355000,1.028750000
10049.557000,1.187550000
10049.759000,1.237400000
10049.961000,1.263800000
10050.162000,1.271400000
10050.364000,1.027250000
10050.566000,0.923200000
10050.768000,1.005400000
10050.970000,1.277800000
10051.171000,1.147800000
10051.373000,1.060700000
10051.575000,1.069100000
10051.777000,0.976300000
10051.979000,1.242400000
10052.180000,1.404100000
10052.382000,1.018750000
10052.584000,0.937300000
10052.786000,0.958200000
10052.988000,0.944600000
10053.189000,1.233450000
10053.391000,1.147150000
10053.593000,1.015200000
10053.795000,1.060000000
10053.997000,1.081050000
10054.198000,1.077600000
10054.400000,1.475050000
10054.602000,1.108900000
10054.804000,1.030800000
10055.006000,0.996150000
10055.207000,1.034150000
10055.409000,1.486650000
10055.611000,1.256450000
10055.813000,1.032350000
10056.015000,1.072600000
10056.216000,1.071300000
10056.418000,0.997350000
10056.620000,1.348650000
10056.822000,1.149050000
10057.024000,1.066600000
