uptime_s,current_a
55779.253000,0.396550000
55779.455000,0.397300000
55779.657000,0.397400000
55779.859000,0.397150000
55780.060000,0.396550000
55780.262000,0.397650000
55780.464000,0.397400000
55780.666000,0.397400000
55780.868000,0.395950000
55781.069000,0.396350000
55781.271000,0.396950000
55781.473000,0.397600000
55781.675000,0.397300000
55781.877000,0.399500000
55782.078000,0.397250000
55782.280000,0.397400000
55782.482000,0.399050000
55782.684000,0.389800000
55782.886000,0.391600000
55783.087000,0.389450000
55783.289000,0.343200000
55783.491000,0.342550000
55783.693000,0.343000000
55783.895000,0.343250000
55784.096000,0.343800000
55784.298000,0.344000000
55784.500000,0.342950000
55784.702000,0.342750000
55784.904000,0.343700000
55785.105000,0.343250000
55785.307000,0.344150000
55785.509000,0.343750000
55785.711000,0.342600000
55785.913000,0.342900000
55786.114000,0.343150000
55786.316000,0.342750000
55786.518000,0.380150000
55786.720000,0.345150000
55786.922000,0.342600000
55787.123000,0.342700000
55787.325000,0.342850000
55787.527000,0.342550000
55787.729000,0.342300000
55787.931000,0.342400000
55788.132000,0.342650000
55788.334000,0.342100000
55788.536000,0.341950000
55788.738000,0.341400000
55788.940000,0.341600000
55789.141000,0.439650000
55789.343000,1.535800000
55789.545000,1.311400000
55789.747000,1.021550000
55789.949000,1.026350000
55790.150000,1.020750000
55790.352000,1.430050000
55790.554000,1.589450000
55790.756000,1.083400000
55790.958000,1.053600000
55791.159000,1.077400000
55791.361000,1.435350000
55791.563000,1.359200000
55791.765000,1.086150000
55791.967000,1.088700000
55792.168000,1.088400000
55792.370000,1.070950000
55792.572000,1.527700000
55792.774000,1.024550000
55792.976000,1.036200000
55793.177000,1.015350000
55793.379000,1.020900000
55793.581000,1.411450000
55793.783000,1.230950000
55793.985000,1.024400000
55794.186000,1.019650000
55794.388000,1.019050000
55794.590000,1.384250000
55794.792000,1.473950000
55794.994000,1.026500000
55795.195000,1.021200000
55795.397000,1.024250000
55795.599000,1.020700000
55795.801000,1.506900000
55796.003000,1.034050000
55796.204000,1.044850000
55796.406000,1.024400000
