uptime_s,current_a
13367.553000,0.389300000
13367.754000,0.387250000
13367.956000,0.388000000
13368.158000,0.387550000
13368.360000,0.383350000
13368.562000,0.383600000
13368.763000,0.382850000
13368.965000,0.383100000
13369.167000,0.383750000
13369.369000,0.389000000
13369.571000,0.386150000
13369.772000,0.375350000
13369.974000,0.336950000
13370.176000,0.337450000
13370.378000,0.337600000
13370.580000,0.337850000
13370.781000,0.338600000
13370.983000,0.337200000
13371.185000,0.338450000
13371.387000,0.337750000
13371.589000,0.337050000
13371.790000,0.387000000
13371.992000,0.391950000
13372.194000,0.337650000
13372.396000,0.337100000
13372.598000,0.337000000
13372.799000,0.336800000
13373.001000,0.337650000
13373.203000,0.337250000
13373.405000,0.337100000
13373.607000,0.336900000
13373.808000,0.336650000
13374.010000,0.341150000
13374.212000,0.336450000
13374.414000,0.336650000
13374.616000,0.338100000
13374.817000,0.383650000
13375.019000,0.336950000
13375.221000,0.337050000
13375.423000,0.336750000
13375.625000,0.337200000
13375.826000,0.336550000
13376.028000,0.336650000
13376.230000,0.336600000
13376.432000,0.336900000
13376.634000,0.336350000
13376.835000,0.389850000
13377.037000,0.337000000
13377.239000,0.336300000
13377.441000,0.400150000
13377.643000,0.524200000
13377.844000,0.442750000
13378.046000,1.435650000
13378.248000,1.350950000
13378.450000,1.020700000
13378.652000,1.064550000
13378.853000,1.087500000
13379.055000,1.441300000
13379.257000,1.392200000
13379.459000,1.071850000
13379.661000,1.054750000
13379.862000,1.090750000
13380.064000,1.434750000
13380.266000,1.579950000
13380.468000,1.074650000
13380.670000,1.059700000
13380.871000,1.113650000
13381.073000,1.437300000
13381.275000,1.431400000
13381.477000,1.025050000
13381.679000,1.004150000
13381.880000,1.055500000
13382.082000,1.390150000
13382.284000,1.327050000
13382.486000,1.024250000
13382.688000,1.013450000
13382.889000,1.038100000
13383.091000,1.466750000
13383.293000,1.537150000
13383.495000,1.017550000
13383.697000,1.024900000
13383.898000,1.009900000
13384.100000,1.439100000
13384.302000,1.415150000
13384.504000,1.023600000
13384.706000,1.019800000
13384.907000,0.974950000
13385.109000,1.354800000
13385.311000,1.418850000
13385.513000,1.079300000
13385.715000,1.202450000
13385.916000,1.034050000
13386.118000,1.463350000
13386.320000,1.383900000
13386.522000,1.028200000
13386.724000,1.056950000
13386.925000,1.024800000
13387.127000,1.479950000
13387.329000,1.551600000
13387.531000,1.025050000
13387.733000,1.047150000
13387.934000,1.025200000
13388.136000,1.372750000
13388.338000,1.407850000
13388.540000,1.024450000
13388.742000,1.062650000
13388.943000,1.023000000
13389.145000,1.470250000
13389.347000,1.468900000
13389.549000,1.074150000
13389.751000,1.108450000
13389.952000,1.068900000
13390.154000,1.500550000
13390.356000,1.276250000
13390.558000,1.059250000
13390.760000,1.109100000
13390.961000,1.070450000
13391.163000,1.513050000
13391.365000,1.212750000
13391.567000,1.025100000
13391.769000,1.047800000
13391.970000,1.022900000
13392.172000,1.465550000
