uptime_s,current_a
14153.564000,0.386100000
14153.765000,0.386100000
14153.967000,0.386050000
14154.169000,0.385100000
14154.371000,0.387250000
14154.573000,0.385300000
14154.774000,0.385550000
14154.976000,0.385000000
14155.178000,0.386250000
14155.380000,0.388450000
14155.582000,0.387050000
14155.783000,0.339250000
14155.985000,0.425050000
14156.187000,0.352450000
14156.389000,0.339850000
14156.591000,0.339750000
14156.792000,0.339800000
14156.994000,0.339150000
14157.196000,0.339500000
14157.398000,0.339700000
14157.600000,0.339800000
14157.801000,0.339500000
14158.003000,0.339450000
14158.205000,0.338800000
14158.407000,0.345650000
14158.609000,0.339250000
14158.810000,0.339450000
14159.012000,0.338750000
14159.214000,0.339000000
14159.416000,0.339150000
14159.618000,0.339950000
14159.819000,0.338600000
14160.021000,0.339000000
14160.223000,0.338850000
14160.425000,0.338900000
14160.627000,0.384800000
14160.828000,0.390650000
14161.030000,0.385000000
14161.232000,0.384950000
14161.434000,0.392250000
14161.636000,0.384900000
14161.837000,0.384350000
14162.039000,0.386450000
14162.241000,0.384650000
14162.443000,0.384650000
14162.645000,0.338350000
14162.846000,0.391700000
14163.048000,0.364150000
14163.250000,0.338150000
14163.452000,0.379200000
14163.654000,0.433800000
14163.855000,0.467050000
14164.057000,0.462750000
14164.259000,0.539050000
14164.461000,0.431350000
14164.663000,0.423850000
14164.864000,0.464300000
14165.066000,0.496750000
14165.268000,0.430100000
14165.470000,0.497000000
14165.672000,0.499650000
14165.873000,1.290600000
14166.075000,1.303550000
14166.277000,1.009950000
14166.479000,0.988550000
14166.681000,0.993150000
14166.882000,0.981750000
14167.084000,0.994300000
14167.286000,1.002050000
14167.488000,0.957150000
14167.690000,0.936000000
14167.891000,0.940800000
14168.093000,0.935950000
14168.295000,0.935600000
14168.497000,0.935100000
14168.699000,0.924050000
14168.900000,0.930150000
14169.102000,0.932900000
14169.304000,0.934250000
14169.506000,1.010800000
14169.708000,1.286700000
14169.909000,1.217750000
14170.111000,1.039450000
14170.313000,1.040600000
14170.515000,1.034450000
14170.717000,1.060600000
14170.918000,1.058650000
14171.120000,0.996450000
14171.322000,0.987300000
14171.524000,0.991450000
14171.726000,1.113700000
14171.927000,0.936450000
14172.129000,0.942550000
14172.331000,0.932100000
14172.533000,0.983900000
14172.735000,0.940600000
14172.936000,0.935750000
14173.138000,0.939450000
14173.340000,1.442750000
14173.542000,1.161800000
14173.744000,0.997700000
14173.945000,0.989950000
14174.147000,0.993600000
14174.349000,1.011800000
14174.551000,1.016400000
14174.753000,0.951900000
14174.954000,0.942950000
14175.156000,0.942350000
14175.358000,0.985950000
14175.560000,0.942200000
14175.762000,0.945200000
14175.963000,0.931200000
14176.165000,0.944950000
14176.367000,0.984450000
14176.569000,0.996250000
14176.771000,0.952100000
14176.972000,1.283700000
14177.174000,1.171350000
14177.376000,1.003200000
14177.578000,0.995800000
14177.780000,0.995550000
14177.981000,0.998800000
14178.183000,1.016450000
14178.385000,0.955800000
14178.587000,0.950900000
14178.789000,0.949250000
14178.990000,0.941550000
14179.192000,0.935800000
14179.394000,0.940000000
14179.596000,0.928600000
14179.798000,0.936050000
14179.999000,0.986500000
14180.201000,0.991500000
14180.403000,0.977800000
14180.605000,1.307600000
14180.807000,1.272300000
14181.008000,1.192700000
14181.210000,1.055850000
14181.412000,1.047600000
14181.614000,1.055400000
14181.816000,1.062950000
14182.017000,1.059050000
14182.219000,0.946050000
14182.421000,0.936900000
14182.623000,0.940200000
14182.825000,0.939350000
14183.026000,0.991500000
14183.228000,0.939500000
14183.430000,0.984750000
14183.632000,1.022900000
14183.834000,0.937500000
14184.035000,0.932800000
14184.237000,0.941550000
14184.439000,1.312950000
14184.641000,1.213400000
14184.843000,0.986600000
14185.044000,1.000300000
14185.246000,0.997450000
14185.448000,0.998850000
14185.650000,1.004950000
14185.852000,0.987800000
14186.053000,0.953050000
14186.255000,0.931600000
14186.457000,0.940600000
14186.659000,0.941250000
14186.861000,0.955400000
14187.062000,0.945600000
14187.264000,0.931750000
14187.466000,0.929450000
14187.668000,0.933350000
14187.870000,0.975450000
14188.071000,0.935850000
14188.273000,1.302550000
14188.475000,1.326750000
14188.677000,1.158000000
14188.879000,0.991550000
14189.080000,0.998000000
14189.282000,0.994100000
14189.484000,1.000600000
14189.686000,1.002850000
14189.888000,0.950500000
14190.089000,0.942350000
14190.291000,0.997650000
14190.493000,0.983150000
14190.695000,0.943300000
14190.897000,0.943200000
14191.098000,0.938300000
14191.300000,0.933000000
14191.502000,0.931350000
14191.704000,0.943200000
14191.906000,0.975350000
14192.107000,1.265300000
14192.309000,1.282150000
14192.511000,1.145100000
14192.713000,0.993300000
14192.915000,0.987800000
14193.116000,0.986650000
14193.318000,1.007050000
14193.520000,1.005850000
14193.722000,0.954400000
14193.924000,0.942500000
14194.125000,0.942650000
14194.327000,0.940150000
14194.529000,0.942900000
14194.731000,0.978800000
14194.933000,0.992750000
14195.134000,0.934900000
14195.336000,0.934550000
14195.538000,0.930500000
14195.740000,0.934800000
14195.942000,0.935100000
14196.143000,1.410700000
14196.345000,1.150350000
14196.547000,0.995150000
14196.749000,1.005150000
14196.951000,1.003650000
14197.152000,1.046900000
14197.354000,1.049250000
14197.556000,0.956750000
14197.758000,1.009050000
14197.960000,0.947550000
14198.161000,0.943850000
14198.363000,0.941950000
14198.565000,0.942150000
14198.767000,0.946800000
14198.969000,0.935850000
14199.170000,0.933600000
14199.372000,0.934500000
14199.574000,0.938600000
14199.776000,0.937450000
14199.978000,1.454950000
14200.179000,1.203650000
14200.381000,1.045300000
14200.583000,1.048500000
14200.785000,1.039350000
14200.987000,1.049000000
14201.188000,1.055850000
14201.390000,0.980650000
14201.592000,0.998150000
14201.794000,0.998600000
14201.996000,0.993600000
14202.197000,0.996150000
14202.399000,0.997350000
14202.601000,0.942650000
14202.803000,0.928700000
14203.005000,0.977650000
14203.206000,0.937450000
14203.408000,0.930550000
14203.610000,0.940200000
14203.812000,1.432700000
14204.014000,1.206150000
14204.215000,1.034950000
14204.417000,1.004900000
14204.619000,0.953900000
14204.821000,0.998850000
14205.023000,1.003800000
14205.224000,1.009500000
14205.426000,0.954750000
14205.628000,0.945150000
14205.830000,0.983550000
14206.032000,0.942750000
14206.233000,0.939600000
14206.435000,0.943800000
14206.637000,0.939600000
14206.839000,0.939600000
