uptime_s,current_a
10633.768000,0.385950000
10633.970000,0.388950000
10634.172000,0.386150000
10634.373000,0.386850000
10634.575000,0.385900000
10634.777000,0.424600000
10634.979000,0.386700000
10635.181000,0.386350000
10635.382000,0.386400000
10635.584000,0.386300000
10635.786000,0.339950000
10635.988000,0.340000000
10636.190000,0.340250000
10636.391000,0.340200000
10636.593000,0.339850000
10636.795000,0.340850000
10636.997000,0.340000000
10637.199000,0.339300000
10637.400000,0.339150000
10637.602000,0.341900000
10637.804000,0.340850000
10638.006000,0.340000000
10638.208000,0.339900000
10638.409000,0.339650000
10638.611000,0.339500000
10638.813000,0.340250000
10639.015000,0.339100000
10639.217000,0.339800000
10639.418000,0.338950000
10639.620000,0.339350000
10639.822000,0.339800000
10640.024000,0.339450000
10640.226000,0.339100000
10640.427000,0.338850000
10640.629000,0.339150000
10640.831000,0.349250000
10641.033000,0.339150000
10641.235000,0.388050000
10641.436000,0.383800000
10641.638000,0.339100000
10641.840000,0.339000000
10642.042000,0.339900000
10642.244000,0.339250000
10642.445000,0.339250000
10642.647000,0.338450000
10642.849000,0.338650000
10643.051000,0.377350000
10643.253000,0.338650000
10643.454000,0.339100000
10643.656000,0.387500000
10643.858000,0.430200000
10644.060000,0.437500000
10644.262000,0.430700000
10644.463000,0.506100000
10644.665000,0.428550000
10644.867000,0.438750000
10645.069000,0.478950000
10645.271000,0.506750000
10645.472000,0.421300000
10645.674000,0.501300000
10645.876000,0.481000000
10646.078000,1.279650000
10646.280000,1.198700000
10646.481000,0.989600000
10646.683000,0.977800000
10646.885000,0.992700000
10647.087000,0.975400000
10647.289000,0.995050000
10647.490000,0.989700000
10647.692000,0.944300000
10647.894000,0.942950000
10648.096000,0.987000000
10648.298000,0.986000000
10648.499000,0.933300000
10648.701000,0.943650000
10648.903000,0.932250000
10649.105000,0.932150000
10649.307000,0.932350000
10649.508000,0.932950000
10649.710000,1.375800000
10649.912000,1.335800000
10650.114000,1.173550000
10650.316000,1.036900000
10650.517000,1.040000000
10650.719000,1.041650000
10650.921000,1.051550000
10651.123000,1.046700000
10651.325000,0.982250000
10651.526000,0.990950000
10651.728000,0.988300000
10651.930000,1.139950000
10652.132000,0.944650000
10652.334000,0.942800000
10652.535000,0.945850000
10652.737000,0.935350000
10652.939000,0.939100000
10653.141000,0.931000000
10653.343000,0.940400000
10653.544000,1.412900000
10653.746000,1.148900000
10653.948000,1.050300000
10654.150000,1.082000000
10654.352000,1.052000000
10654.553000,1.053800000
10654.755000,1.053000000
10654.957000,1.005750000
10655.159000,0.992250000
10655.361000,0.994200000
10655.562000,0.997200000
10655.764000,0.988650000
10655.966000,0.997300000
10656.168000,0.988700000
10656.370000,0.991200000
10656.571000,0.899400000
10656.773000,0.935700000
10656.975000,0.934850000
10657.177000,1.314800000
10657.379000,0.893650000
10657.580000,0.997850000
10657.782000,0.997650000
10657.984000,1.000450000
10658.186000,0.995800000
10658.388000,1.001800000
10658.589000,0.959100000
10658.791000,1.173800000
10658.993000,0.947900000
10659.195000,0.953300000
10659.397000,0.946150000
10659.598000,0.944850000
10659.800000,0.941000000
10660.002000,0.938100000
10660.204000,0.936150000
10660.406000,1.043600000
10660.607000,0.932950000
10660.809000,1.310950000
10661.011000,1.314850000
10661.213000,1.122350000
10661.415000,0.980650000
10661.616000,1.006150000
10661.818000,0.984450000
10662.020000,1.023550000
10662.222000,1.005100000
10662.424000,0.987850000
10662.625000,0.944700000
10662.827000,0.943700000
10663.029000,0.942200000
10663.231000,0.940000000
10663.433000,0.944200000
10663.634000,0.936200000
10663.836000,0.938450000
10664.038000,0.937200000
10664.240000,0.938150000
10664.442000,0.938250000
10664.643000,1.383700000
10664.845000,1.285950000
10665.047000,1.118300000
10665.249000,1.026650000
10665.451000,1.107800000
10665.652000,0.993600000
10665.854000,1.003600000
10666.056000,0.992550000
10666.258000,0.953950000
10666.460000,0.943550000
10666.661000,0.992100000
10666.863000,0.993500000
10667.065000,0.994700000
10667.267000,0.988750000
10667.469000,1.043500000
10667.670000,0.982700000
10667.872000,0.983850000
10668.074000,0.987200000
10668.276000,0.979100000
10668.478000,0.985550000
10668.679000,1.481400000
10668.881000,1.156600000
10669.083000,0.989500000
10669.285000,0.991850000
10669.487000,0.992650000
10669.688000,1.202800000
10669.890000,0.996650000
10670.092000,0.951200000
10670.294000,0.950200000
10670.496000,0.943450000
10670.697000,0.947350000
10670.899000,0.939600000
10671.101000,0.943700000
10671.303000,0.946250000
10671.505000,0.932850000
10671.706000,0.946550000
10671.908000,0.937450000
10672.110000,0.937850000
10672.312000,0.930150000
10672.514000,1.418800000
10672.715000,1.122650000
10672.917000,0.986550000
10673.119000,0.993300000
10673.321000,0.993000000
10673.523000,1.034550000
10673.724000,1.003600000
10673.926000,1.211250000
10674.128000,0.940250000
10674.330000,0.942500000
10674.532000,0.943750000
10674.733000,0.953800000
10674.935000,0.943500000
10675.137000,0.939250000
10675.339000,0.943400000
10675.541000,0.981950000
10675.742000,0.992850000
10675.944000,0.971000000
10676.146000,0.930450000
10676.348000,1.418300000
10676.550000,1.128250000
10676.751000,0.991050000
10676.953000,0.990500000
10677.155000,0.992400000
10677.357000,0.998750000
10677.559000,0.997250000
10677.760000,1.004000000
10677.962000,0.939150000
10678.164000,0.941850000
10678.366000,0.943750000
10678.568000,0.936250000
10678.769000,0.937850000
10678.971000,0.936550000
10679.173000,0.933000000
10679.375000,0.936000000
10679.577000,0.938650000
10679.778000,0.935150000
10679.980000,0.927300000
10680.182000,1.319550000
10680.384000,0.832050000
10680.586000,0.991650000
10680.787000,0.992800000
10680.989000,0.991800000
10681.191000,0.986850000
10681.393000,1.001650000
10681.595000,0.996500000
10681.796000,0.982800000
10681.998000,0.942900000
10682.200000,0.944500000
10682.402000,0.987050000
10682.604000,0.997000000
10682.805000,0.949000000
10683.007000,0.937450000
10683.209000,0.941350000
10683.411000,1.034300000
10683.613000,0.938350000
10683.814000,0.936100000
10684.016000,1.335600000
10684.218000,1.203100000
10684.420000,0.995800000
10684.622000,1.024100000
10684.823000,0.995050000
10685.025000,0.997950000
10685.227000,1.050700000
10685.429000,1.045200000
10685.631000,0.997450000
10685.832000,0.988650000
10686.034000,0.992900000
10686.236000,0.995350000
10686.438000,0.992300000
10686.640000,0.991650000
10686.841000,0.994000000
10687.043000,0.985100000
10687.245000,0.989950000
10687.447000,0.936300000
10687.649000,0.993350000
10687.850000,1.361650000
10688.052000,1.366050000
10688.254000,1.042450000
10688.456000,1.037700000
10688.658000,1.045150000
10688.859000,1.035800000
10689.061000,1.045050000
10689.263000,1.047850000
10689.465000,0.992650000
10689.667000,0.996200000
10689.868000,0.994000000
10690.070000,0.943450000
10690.272000,0.943700000
10690.474000,0.936100000
10690.676000,0.985300000
10690.877000,0.990400000
10691.079000,0.989850000
10691.281000,0.985050000
10691.483000,0.986650000
10691.685000,1.354100000
10691.886000,1.273500000
10692.088000,1.039600000
10692.290000,1.035200000
10692.492000,1.034200000
10692.694000,0.989550000
10692.895000,1.039700000
10693.097000,1.003800000
10693.299000,0.948450000
10693.501000,0.948800000
10693.703000,0.938400000
10693.904000,0.946100000
10694.106000,0.941200000
10694.308000,0.940400000
10694.510000,0.940650000
10694.712000,0.940300000
10694.913000,0.934250000
10695.115000,0.936000000
10695.317000,0.933700000
10695.519000,1.303600000
10695.721000,1.207800000
10695.922000,1.314900000
10696.124000,1.004800000
10696.326000,1.042900000
10696.528000,1.018350000
10696.730000,0.998700000
10696.931000,1.002300000
10697.133000,0.953950000
10697.335000,0.947400000
10697.537000,0.946700000
10697.739000,0.946950000
10697.940000,0.939200000
10698.142000,0.946800000
10698.344000,0.932650000
10698.546000,0.937300000
10698.748000,0.933100000
10698.949000,0.942650000
10699.151000,0.934150000
10699.353000,1.301200000
10699.555000,1.224650000
10699.757000,1.128350000
10699.958000,0.992350000
10700.160000,0.981000000
10700.362000,0.994950000
10700.564000,0.996200000
10700.766000,1.005650000
10700.967000,0.948500000
10701.169000,1.208700000
10701.371000,0.944800000
10701.573000,0.946500000
10701.775000,0.941100000
10701.976000,0.942800000
10702.178000,0.949850000
10702.380000,0.935150000
10702.582000,0.933900000
10702.784000,0.934750000
10702.985000,0.936300000
10703.187000,0.984850000
10703.389000,1.396800000
10703.591000,1.129800000
10703.793000,0.995000000
10703.994000,1.039000000
10704.196000,0.990750000
10704.398000,0.994700000
10704.600000,0.994600000
10704.802000,0.951800000
10705.003000,0.944100000
10705.205000,0.949850000
10705.407000,0.946050000
10705.609000,0.942750000
10705.811000,0.943300000
10706.012000,0.944950000
10706.214000,0.935600000
10706.416000,0.935900000
10706.618000,0.937450000
10706.820000,0.928250000
10707.021000,0.926550000
10707.223000,1.437300000
10707.425000,1.124150000
10707.627000,1.000050000
10707.829000,0.994750000
10708.030000,0.994100000
10708.232000,0.984050000
10708.434000,0.997050000
10708.636000,1.002050000
10708.838000,0.953050000
10709.039000,0.949000000
10709.241000,0.946750000
10709.443000,0.948150000
10709.645000,0.994400000
10709.847000,0.939200000
10710.048000,0.990000000
10710.250000,0.955850000
10710.452000,0.985650000
10710.654000,0.988350000
10710.856000,0.982450000
10711.057000,0.937050000
10711.259000,1.170950000
10711.461000,1.040300000
10711.663000,1.009700000
10711.865000,1.042100000
10712.066000,1.047200000
10712.268000,1.090200000
10712.470000,1.003800000
10712.672000,0.947300000
10712.874000,0.948600000
10713.075000,0.944700000
10713.277000,0.947600000
10713.479000,0.947600000
10713.681000,0.945950000
10713.883000,0.988750000
10714.084000,0.991800000
10714.286000,0.986650000
10714.488000,0.986800000
10714.690000,0.987750000
