uptime_s,current_a
56483.737000,0.388500000
56483.939000,0.388900000
56484.141000,0.428250000
56484.342000,0.389300000
56484.544000,0.388850000
56484.746000,0.389050000
56484.948000,0.389250000
56485.150000,0.389400000
56485.351000,0.388900000
56485.553000,0.389300000
56485.755000,0.342750000
56485.957000,0.343000000
56486.159000,0.342350000
56486.360000,0.342650000
56486.562000,0.343650000
56486.764000,0.342450000
56486.966000,0.342600000
56487.168000,0.342600000
56487.369000,0.341500000
56487.571000,0.342950000
56487.773000,0.342250000
56487.975000,0.342400000
56488.177000,0.342100000
56488.378000,0.341350000
56488.580000,0.341350000
56488.782000,0.341650000
56488.984000,0.342950000
56489.186000,0.392500000
56489.387000,0.341200000
56489.589000,0.341700000
56489.791000,0.342150000
56489.993000,0.343300000
56490.195000,0.342000000
56490.396000,0.341300000
56490.598000,0.340450000
56490.800000,0.387550000
56491.002000,0.388550000
56491.204000,0.348050000
56491.405000,0.341750000
56491.607000,0.341550000
56491.809000,0.341450000
56492.011000,0.340450000
56492.213000,0.341400000
56492.414000,0.379650000
56492.616000,0.341250000
56492.818000,0.343200000
56493.020000,0.341550000
56493.222000,0.340800000
56493.423000,0.341900000
56493.625000,0.667250000
56493.827000,0.662800000
56494.029000,1.354250000
56494.231000,1.128250000
56494.432000,0.996200000
56494.634000,0.988400000
56494.836000,1.007350000
56495.038000,0.999250000
56495.240000,1.051950000
56495.441000,0.952400000
56495.643000,0.947150000
56495.845000,0.949000000
56496.047000,0.947450000
56496.249000,0.946450000
56496.450000,0.944350000
56496.652000,0.946150000
56496.854000,0.944900000
56497.056000,0.948600000
56497.258000,0.941600000
56497.459000,0.942750000
56497.661000,1.350500000
56497.863000,1.338600000
56498.065000,1.052350000
56498.267000,1.051700000
56498.468000,1.058250000
56498.670000,1.056050000
56498.872000,1.011900000
56499.074000,0.965600000
56499.276000,1.004150000
56499.477000,1.000900000
56499.679000,1.002350000
56499.881000,0.950850000
56500.083000,0.954950000
56500.285000,0.951150000
56500.486000,0.945150000
56500.688000,0.953150000
56500.890000,1.054200000
56501.092000,0.938450000
56501.294000,1.323400000
56501.495000,1.312150000
56501.697000,1.129350000
56501.899000,1.001650000
56502.101000,1.014700000
56502.303000,1.012650000
56502.504000,1.015450000
56502.706000,1.004800000
56502.908000,0.954950000
56503.110000,0.953750000
56503.312000,0.949800000
56503.513000,0.990250000
56503.715000,0.947250000
56503.917000,0.946450000
56504.119000,0.949700000
56504.321000,0.944150000
56504.522000,0.950900000
56504.724000,0.995900000
56504.926000,0.994550000
56505.128000,1.380300000
56505.330000,1.351000000
56505.531000,1.039550000
56505.733000,1.039850000
56505.935000,1.056150000
56506.137000,1.058450000
56506.339000,1.060950000
56506.540000,1.057050000
56506.742000,1.005250000
56506.944000,0.998900000
56507.146000,0.954650000
56507.348000,0.954700000
56507.549000,0.946150000
56507.751000,0.950100000
56507.953000,0.946700000
56508.155000,0.949500000
56508.357000,0.951150000
56508.558000,0.955700000
56508.760000,0.944700000
56508.962000,1.293300000
56509.164000,1.290900000
56509.366000,1.128550000
56509.567000,0.996200000
56509.769000,0.994550000
56509.971000,1.001500000
56510.173000,1.010450000
56510.375000,1.014200000
56510.576000,0.958100000
56510.778000,1.008050000
56510.980000,0.954150000
56511.182000,0.953150000
56511.384000,0.979200000
56511.585000,0.996800000
56511.787000,1.050900000
56511.989000,0.954900000
56512.191000,0.945500000
56512.393000,0.943650000
56512.594000,0.938700000
56512.796000,0.948400000
56512.998000,1.281100000
56513.200000,1.137150000
56513.402000,0.993600000
56513.603000,0.999900000
56513.805000,1.011100000
56514.007000,0.989450000
56514.209000,1.012700000
56514.411000,0.906050000
56514.612000,0.987850000
56514.814000,0.951650000
56515.016000,0.955000000
56515.218000,0.996750000
56515.420000,0.996700000
56515.621000,1.001450000
56515.823000,0.996800000
56516.025000,1.003200000
56516.227000,0.990900000
56516.429000,1.059150000
56516.630000,0.992650000
56516.832000,1.455200000
56517.034000,1.183650000
56517.236000,0.995350000
56517.438000,0.997600000
56517.639000,1.011550000
56517.841000,1.001100000
56518.043000,1.018350000
56518.245000,1.015900000
56518.447000,1.001150000
56518.648000,0.970950000
56518.850000,0.955350000
56519.052000,0.950050000
56519.254000,0.949100000
56519.456000,0.950650000
56519.657000,0.958000000
56519.859000,0.954300000
56520.061000,0.944350000
56520.263000,0.950350000
56520.465000,0.944050000
56520.666000,1.283000000
56520.868000,1.207200000
56521.070000,1.004900000
56521.272000,1.005100000
56521.474000,1.012600000
56521.675000,1.014400000
56521.877000,1.012300000
56522.079000,1.019300000
56522.281000,0.964300000
56522.483000,0.954500000
56522.684000,0.955400000
56522.886000,1.138550000
56523.088000,0.949800000
56523.290000,0.954200000
56523.492000,0.953150000
56523.693000,0.958050000
56523.895000,1.004950000
56524.097000,1.001800000
56524.299000,0.995050000
56524.501000,1.383000000
56524.702000,1.307550000
56524.904000,1.046900000
56525.106000,1.047200000
56525.308000,1.054450000
56525.510000,1.051500000
56525.711000,1.069100000
56525.913000,1.070150000
56526.115000,1.010150000
56526.317000,1.003000000
56526.519000,0.957450000
56526.720000,0.956500000
56526.922000,0.950250000
56527.124000,0.949550000
56527.326000,0.955100000
56527.528000,0.956700000
56527.729000,0.953700000
56527.931000,0.951200000
56528.133000,0.951200000
56528.335000,1.302600000
56528.537000,1.309350000
56528.738000,1.000050000
56528.940000,1.002850000
56529.142000,1.016100000
56529.344000,1.007750000
56529.546000,0.964800000
56529.747000,1.017350000
56529.949000,0.957450000
56530.151000,0.954800000
56530.353000,0.955150000
56530.555000,0.955550000
56530.756000,0.951650000
56530.958000,0.952500000
56531.160000,0.993850000
56531.362000,0.954750000
56531.564000,0.956800000
56531.765000,0.943450000
56531.967000,0.946900000
56532.169000,1.344950000
56532.371000,1.309000000
56532.573000,1.158600000
56532.774000,1.000900000
56532.976000,1.015050000
56533.178000,1.011500000
56533.380000,1.017800000
56533.582000,1.012500000
56533.783000,0.952700000
56533.985000,0.992200000
56534.187000,0.954000000
56534.389000,0.958100000
56534.591000,0.954000000
56534.792000,0.953750000
56534.994000,1.139300000
56535.196000,0.953400000
56535.398000,0.953450000
56535.600000,0.947800000
56535.801000,0.948600000
56536.003000,0.947550000
56536.205000,1.426200000
56536.407000,1.186200000
56536.609000,1.060750000
56536.810000,1.051300000
56537.012000,1.064400000
56537.214000,1.049100000
56537.416000,1.063350000
56537.618000,1.004350000
56537.819000,1.008300000
56538.021000,1.005750000
56538.223000,0.958900000
56538.425000,0.952650000
56538.627000,1.002200000
56538.828000,0.953050000
56539.030000,1.004550000
56539.232000,0.974750000
56539.434000,0.949850000
56539.636000,0.950550000
56539.837000,0.950400000
56540.039000,1.398750000
56540.241000,1.150950000
56540.443000,1.000700000
56540.645000,1.005550000
56540.846000,0.995750000
56541.048000,1.018800000
56541.250000,1.060900000
56541.452000,1.074750000
56541.654000,1.013700000
56541.855000,1.007400000
56542.057000,1.008350000
56542.259000,1.038600000
56542.461000,0.999600000
56542.663000,0.999350000
56542.864000,1.001800000
56543.066000,1.002100000
56543.268000,0.997000000
56543.470000,1.004800000
56543.672000,0.951050000
56543.873000,1.312800000
56544.075000,1.308100000
56544.277000,1.007650000
56544.479000,1.006250000
56544.681000,1.009600000
56544.882000,1.014350000
56545.084000,1.014600000
56545.286000,1.016300000
56545.488000,0.965900000
56545.690000,0.958300000
56545.891000,0.977950000
56546.093000,0.973050000
56546.295000,0.951900000
56546.497000,0.953700000
56546.699000,0.954900000
56546.900000,0.958300000
56547.102000,1.017900000
56547.304000,0.953500000
56547.506000,0.950600000
56547.708000,1.335600000
56547.909000,1.237250000
56548.111000,0.998750000
56548.313000,1.011200000
56548.515000,1.011850000
56548.717000,1.015650000
56548.918000,1.015700000
56549.120000,1.065800000
56549.322000,0.960550000
56549.524000,0.955550000
56549.726000,0.956000000
56549.927000,0.960300000
56550.129000,0.951900000
56550.331000,0.950700000
56550.533000,0.998600000
56550.735000,0.955250000
56550.936000,0.956000000
56551.138000,0.950850000
56551.340000,0.952900000
56551.542000,1.320750000
56551.744000,1.250600000
56551.945000,1.001150000
56552.147000,1.002350000
56552.349000,1.014050000
56552.551000,1.014700000
56552.753000,1.073850000
56552.954000,1.046450000
56553.156000,0.964350000
56553.358000,0.993700000
56553.560000,0.961050000
56553.762000,1.006300000
56553.963000,1.000700000
56554.165000,1.004800000
56554.367000,1.002900000
56554.569000,1.011950000
56554.771000,1.002250000
56554.972000,1.003750000
56555.174000,0.999000000
56555.376000,1.392650000
56555.578000,1.253050000
56555.780000,1.147550000
56555.981000,1.006550000
56556.183000,1.010100000
56556.385000,1.010950000
56556.587000,1.017700000
56556.789000,1.023300000
56556.990000,0.965200000
56557.192000,0.959000000
56557.394000,0.960400000
56557.596000,1.015050000
56557.798000,1.001750000
56557.999000,1.002450000
56558.201000,1.004700000
56558.403000,1.003750000
56558.605000,1.008600000
56558.807000,1.004150000
56559.008000,0.998900000
56559.210000,1.436850000
56559.412000,1.366850000
56559.614000,1.195700000
56559.816000,1.053450000
56560.017000,0.991100000
56560.219000,1.014250000
56560.421000,1.014400000
56560.623000,1.019150000
56560.825000,0.962950000
56561.026000,1.015200000
56561.228000,0.961350000
56561.430000,0.957300000
56561.632000,0.994600000
56561.834000,0.957800000
56562.035000,1.010150000
56562.237000,0.960400000
