uptime_s,current_a
74873.569000,0.441500000
74873.771000,0.397150000
74873.973000,0.396400000
74874.175000,0.395900000
74874.376000,0.395700000
74874.578000,0.421700000
74874.780000,0.397400000
74874.982000,0.402450000
74875.184000,0.395400000
74875.385000,0.389050000
74875.587000,0.389200000
74875.789000,0.389600000
74875.991000,0.392450000
74876.193000,0.389000000
74876.394000,0.389050000
74876.596000,0.389400000
74876.798000,0.388600000
74877.000000,0.392850000
74877.202000,0.390050000
74877.403000,0.390050000
74877.605000,0.343550000
74877.807000,0.342550000
74878.009000,0.342800000
74878.211000,0.342700000
74878.412000,0.342150000
74878.614000,0.342800000
74878.816000,0.342700000
74879.018000,0.342350000
74879.220000,0.342800000
74879.421000,0.342700000
74879.623000,0.342150000
74879.825000,0.342150000
74880.027000,0.342050000
74880.229000,0.342150000
74880.430000,0.343600000
74880.632000,0.343450000
74880.834000,0.342800000
74881.036000,0.341800000
74881.238000,0.341200000
74881.439000,0.341700000
74881.641000,0.341550000
74881.843000,0.380150000
74882.045000,0.341850000
74882.247000,0.341800000
74882.448000,0.341550000
74882.650000,0.342250000
74882.852000,0.381750000
74883.054000,0.388700000
74883.256000,0.386650000
74883.457000,0.341550000
74883.659000,0.411450000
74883.861000,1.451500000
74884.063000,1.193250000
74884.265000,0.995950000
74884.466000,0.995800000
74884.668000,0.998000000
74884.870000,1.376900000
74885.072000,1.224900000
74885.274000,1.056800000
74885.475000,1.046500000
74885.677000,1.056050000
74885.879000,1.397650000
74886.081000,1.361050000
74886.283000,1.048700000
74886.484000,0.998200000
74886.686000,1.055000000
74886.888000,1.481150000
74887.090000,1.421850000
74887.292000,1.053450000
74887.493000,1.063400000
74887.695000,1.057550000
74887.897000,1.430350000
74888.099000,1.550450000
74888.301000,1.056100000
74888.502000,1.050400000
74888.704000,1.054550000
74888.906000,0.993350000
74889.108000,1.359950000
74889.310000,1.001650000
74889.511000,1.008200000
74889.713000,1.023500000
74889.915000,1.044450000
74890.117000,1.406850000
74890.319000,1.165700000
74890.520000,1.006550000
74890.722000,1.000700000
74890.924000,1.003400000
74891.126000,1.403700000
74891.328000,1.353550000
74891.529000,1.006400000
74891.731000,1.013850000
74891.933000,1.003200000
74892.135000,1.002250000
74892.337000,1.363200000
74892.538000,1.061800000
74892.740000,1.054750000
74892.942000,1.096200000
74893.144000,1.047300000
74893.346000,1.427850000
74893.547000,1.521700000
74893.749000,1.043350000
74893.951000,1.248500000
74894.153000,1.058800000
74894.355000,1.388550000
74894.556000,1.497250000
74894.758000,1.008650000
74894.960000,1.000950000
74895.162000,1.013400000
74895.364000,1.001950000
74895.565000,1.413750000
74895.767000,1.063500000
74895.969000,1.060050000
74896.171000,1.060700000
74896.373000,1.054050000
74896.574000,1.424400000
74896.776000,1.225450000
74896.978000,1.054400000
74897.180000,1.052100000
74897.382000,1.050200000
74897.583000,1.408450000
74897.785000,1.380750000
74897.987000,1.004900000
74898.189000,1.009850000
