uptime_s,current_a
26788.060000,0.385850000
26788.262000,0.422950000
26788.463000,0.388100000
26788.665000,0.386150000
26788.867000,0.384800000
26789.069000,0.385100000
26789.271000,0.384900000
26789.472000,0.386050000
26789.674000,0.385650000
26789.876000,0.385550000
26790.078000,0.339950000
26790.280000,0.339600000
26790.481000,0.339700000
26790.683000,0.339450000
26790.885000,0.339850000
26791.087000,0.338750000
26791.289000,0.338500000
26791.490000,0.339450000
26791.692000,0.338650000
26791.894000,0.340050000
26792.096000,0.341600000
26792.298000,0.339100000
26792.499000,0.344150000
26792.701000,0.338450000
26792.903000,0.339850000
26793.105000,0.339250000
26793.307000,0.338600000
26793.508000,0.343700000
26793.710000,0.384500000
26793.912000,0.344600000
26794.114000,0.349850000
26794.316000,0.339050000
26794.517000,0.338000000
26794.719000,0.338450000
26794.921000,0.339050000
26795.123000,0.338200000
26795.325000,0.339150000
26795.526000,0.338400000
26795.728000,0.339400000
26795.930000,0.338550000
26796.132000,0.339000000
26796.334000,0.338200000
26796.535000,0.375450000
26796.737000,0.337650000
26796.939000,0.337450000
26797.141000,0.338150000
26797.343000,0.337950000
26797.544000,0.337850000
26797.746000,0.342850000
26797.948000,1.337200000
26798.150000,1.437700000
26798.352000,0.987450000
26798.553000,1.039200000
26798.755000,1.041700000
26798.957000,1.287000000
26799.159000,1.316950000
26799.361000,1.078700000
26799.562000,1.045400000
26799.764000,1.030200000
26799.966000,1.041700000
26800.168000,1.445000000
26800.370000,1.040550000
26800.571000,1.019350000
26800.773000,1.047150000
26800.975000,1.021850000
26801.177000,1.469400000
26801.379000,0.992250000
26801.580000,0.994850000
26801.782000,0.998000000
26801.984000,0.990000000
26802.186000,1.348100000
26802.388000,1.181250000
26802.589000,1.006700000
26802.791000,0.990950000
26802.993000,1.001150000
26803.195000,1.356600000
26803.397000,1.163850000
26803.598000,1.000900000
26803.800000,0.993550000
26804.002000,0.998450000
26804.204000,1.360650000
26804.406000,1.312050000
26804.607000,1.006050000
26804.809000,1.168350000
26805.011000,0.995850000
26805.213000,1.421050000
26805.415000,1.490350000
26805.616000,1.009600000
26805.818000,1.010550000
26806.020000,1.002750000
26806.222000,1.360900000
26806.424000,1.329750000
26806.625000,1.005500000
26806.827000,1.002350000
26807.029000,0.998800000
26807.231000,1.370800000
26807.433000,1.353800000
26807.634000,1.047500000
26807.836000,1.012000000
26808.038000,1.006150000
26808.240000,0.997650000
26808.442000,1.456850000
26808.643000,1.005500000
26808.845000,1.015450000
26809.047000,0.997500000
26809.249000,0.997000000
26809.451000,1.389300000
26809.652000,1.057400000
26809.854000,1.055850000
26810.056000,1.048550000
26810.258000,1.060650000
26810.460000,1.503100000
26810.661000,1.274600000
26810.863000,1.048200000
26811.065000,1.037200000
26811.267000,1.048450000
26811.469000,1.370350000
26811.670000,1.456400000
26811.872000,0.996850000
26812.074000,1.003250000
26812.276000,0.980800000
26812.478000,1.385000000
26812.679000,1.441850000
26812.881000,1.003250000
26813.083000,0.997850000
26813.285000,0.990000000
26813.487000,0.995050000
26813.688000,1.443200000
26813.890000,1.002650000
26814.092000,1.027700000
26814.294000,1.018050000
26814.496000,0.981700000
26814.697000,1.377800000
26814.899000,0.992950000
26815.101000,1.010050000
26815.303000,0.997200000
26815.505000,0.996350000
26815.706000,1.369750000
26815.908000,1.432350000
26816.110000,1.059850000
26816.312000,1.055250000
26816.514000,1.041450000
26816.715000,1.048500000
26816.917000,1.550450000
26817.119000,1.054600000
26817.321000,1.057750000
26817.523000,1.046400000
26817.724000,1.048050000
26817.926000,1.425700000
26818.128000,1.178800000
26818.330000,1.010000000
26818.532000,0.990350000
26818.733000,1.048550000
26818.935000,0.944100000
26819.137000,1.392750000
26819.339000,1.001500000
26819.541000,1.001600000
26819.742000,0.998700000
26819.944000,1.247650000
26820.146000,1.547050000
26820.348000,1.051250000
26820.550000,1.052800000
26820.751000,1.042950000
26820.953000,1.051400000
26821.155000,1.520400000
26821.357000,1.240650000
26821.559000,1.050450000
26821.760000,1.044550000
26821.962000,1.054950000
26822.164000,1.445050000
26822.366000,1.490300000
26822.568000,1.003900000
26822.769000,1.012000000
26822.971000,1.124400000
26823.173000,1.387250000
26823.375000,1.356950000
26823.577000,1.003550000
26823.778000,1.009950000
26823.980000,0.997700000
26824.182000,0.998200000
26824.384000,1.483800000
26824.586000,1.000600000
26824.787000,1.001150000
26824.989000,1.000100000
26825.191000,1.007250000
26825.393000,1.381750000
26825.595000,1.492000000
26825.796000,1.011100000
26825.998000,0.998450000
26826.200000,1.000800000
26826.402000,1.383700000
26826.604000,1.510850000
26826.805000,1.015050000
26827.007000,1.049850000
26827.209000,0.994050000
26827.411000,1.002100000
26827.613000,1.463500000
26827.814000,1.054050000
26828.016000,1.054450000
26828.218000,1.006250000
26828.420000,0.996500000
26828.622000,1.379700000
26828.823000,1.411050000
26829.025000,1.011100000
26829.227000,1.131700000
26829.429000,0.993400000
26829.631000,1.378200000
26829.832000,1.382750000
26830.034000,1.012500000
26830.236000,1.000100000
26830.438000,1.003650000
26830.640000,1.000850000
26830.841000,1.510450000
26831.043000,1.056350000
26831.245000,1.056650000
26831.447000,1.044200000
26831.649000,1.049350000
26831.850000,1.421750000
26832.052000,1.213450000
26832.254000,1.053550000
26832.456000,1.044000000
26832.658000,1.048250000
26832.859000,1.382300000
26833.061000,1.284350000
26833.263000,1.009600000
26833.465000,1.013100000
26833.667000,0.998900000
26833.868000,1.000200000
26834.070000,1.480800000
26834.272000,1.002950000
26834.474000,1.008500000
26834.676000,1.022200000
26834.877000,1.045450000
26835.079000,1.430650000
26835.281000,1.186550000
26835.483000,1.001650000
26835.685000,1.004700000
26835.886000,1.007050000
26836.088000,1.443550000
26836.290000,1.575200000
26836.492000,1.064850000
26836.694000,1.053650000
26836.895000,1.048800000
26837.097000,1.453900000
26837.299000,1.451000000
26837.501000,1.064000000
26837.703000,1.051000000
26837.904000,1.038800000
26838.106000,1.095400000
26838.308000,1.475550000
26838.510000,1.197700000
26838.712000,1.009350000
26838.913000,1.006100000
26839.115000,1.002550000
26839.317000,1.433150000
26839.519000,1.355300000
26839.721000,1.008350000
26839.922000,1.012600000
26840.124000,1.010800000
26840.326000,1.382750000
26840.528000,1.303250000
26840.730000,1.004400000
26840.931000,1.011100000
26841.133000,0.990650000
26841.335000,1.003850000
26841.537000,1.542500000
26841.739000,1.247200000
26841.940000,1.054600000
26842.142000,1.048600000
26842.344000,1.054600000
26842.546000,1.504300000
26842.748000,1.557450000
26842.949000,1.056300000
26843.151000,1.061600000
26843.353000,1.055500000
26843.555000,1.388600000
26843.757000,1.505350000
26843.958000,1.006700000
26844.160000,1.009550000
26844.362000,1.004350000
26844.564000,0.997450000
26844.766000,1.477700000
26844.967000,1.006500000
26845.169000,1.002200000
26845.371000,0.992200000
26845.573000,1.016250000
26845.775000,1.387600000
26845.976000,1.303500000
26846.178000,1.013550000
26846.380000,1.048600000
26846.582000,1.004800000
26846.784000,1.376400000
26846.985000,1.523600000
26847.187000,1.004900000
26847.389000,1.001250000
26847.591000,1.001650000
26847.793000,1.006400000
26847.994000,1.309450000
26848.196000,0.936000000
26848.398000,1.019400000
26848.600000,1.047300000
26848.802000,1.040800000
26849.003000,1.378700000
26849.205000,1.372750000
26849.407000,1.008200000
26849.609000,1.008750000
26849.811000,1.007100000
26850.012000,1.378600000
26850.214000,1.387850000
26850.416000,1.007350000
26850.618000,1.053700000
26850.820000,1.044250000
26851.021000,1.050800000
