uptime_s,current_a
11159.053000,0.384650000
11159.255000,0.390350000
11159.457000,0.384850000
11159.659000,0.385300000
11159.861000,0.385400000
11160.062000,0.390200000
11160.264000,0.390250000
11160.466000,0.386500000
11160.668000,0.390100000
11160.870000,0.385600000
11161.071000,0.339000000
11161.273000,0.383800000
11161.475000,0.338350000
11161.677000,0.340850000
11161.879000,0.338800000
11162.080000,0.338200000
11162.282000,0.339150000
11162.484000,0.338750000
11162.686000,0.338550000
11162.888000,0.339450000
11163.089000,0.338500000
11163.291000,0.338050000
11163.493000,0.375650000
11163.695000,0.344300000
11163.897000,0.345750000
11164.098000,0.372600000
11164.300000,0.340000000
11164.502000,0.338500000
11164.704000,0.338150000
11164.906000,0.338400000
11165.107000,0.337850000
11165.309000,0.339800000
11165.511000,0.338400000
11165.713000,0.338500000
11165.915000,0.338100000
11166.116000,0.337650000
11166.318000,0.349500000
11166.520000,0.337650000
11166.722000,0.338150000
11166.924000,0.338000000
11167.125000,0.383100000
11167.327000,0.383500000
11167.529000,0.382750000
11167.731000,0.384450000
11167.933000,0.382650000
11168.134000,0.383250000
11168.336000,0.383200000
11168.538000,0.383600000
11168.740000,0.384750000
11168.942000,0.438300000
11169.143000,0.429800000
11169.345000,0.429950000
11169.547000,1.348400000
11169.749000,1.456500000
11169.951000,0.987400000
11170.152000,0.993900000
11170.354000,1.014350000
11170.556000,1.400150000
11170.758000,1.507400000
11170.960000,1.040100000
11171.161000,1.048850000
11171.363000,1.076800000
11171.565000,1.397300000
11171.767000,1.568800000
11171.969000,1.042000000
11172.170000,1.037600000
11172.372000,1.079250000
11172.574000,1.408800000
11172.776000,1.474800000
11172.978000,0.995150000
11173.179000,0.994750000
11173.381000,1.027150000
11173.583000,1.351050000
11173.785000,1.344500000
11173.987000,0.999650000
11174.188000,1.002000000
11174.390000,1.030350000
11174.592000,1.408750000
11174.794000,1.482850000
11174.996000,1.008400000
11175.197000,1.005650000
11175.399000,1.033000000
11175.601000,1.357150000
11175.803000,1.265600000
11176.005000,0.966500000
11176.206000,1.004800000
11176.408000,1.031300000
11176.610000,1.363350000
11176.812000,1.477650000
11177.014000,1.005300000
11177.215000,1.012100000
11177.417000,1.041800000
11177.619000,1.359250000
11177.821000,1.536550000
11178.023000,1.000500000
11178.224000,1.007850000
11178.426000,1.026000000
11178.628000,1.367350000
11178.830000,1.222100000
11179.032000,0.996550000
11179.233000,1.006750000
11179.435000,1.023550000
11179.637000,1.368000000
11179.839000,1.433350000
11180.041000,1.007200000
11180.242000,1.011450000
11180.444000,1.036750000
11180.646000,1.296650000
11180.848000,1.472400000
11181.050000,1.062000000
11181.251000,1.062500000
11181.453000,1.089100000
11181.655000,1.303700000
11181.857000,1.538550000
11182.059000,1.057800000
11182.260000,1.055800000
11182.462000,1.080350000
11182.664000,1.298150000
11182.866000,1.334950000
11183.068000,1.002150000
11183.269000,1.009900000
11183.471000,1.041600000
11183.673000,1.253150000
11183.875000,1.466000000
11184.077000,1.058900000
11184.278000,1.009250000
11184.480000,1.049550000
11184.682000,1.051550000
11184.884000,1.437500000
11185.086000,0.996300000
11185.287000,1.001100000
11185.489000,1.026750000
11185.691000,0.990400000
11185.893000,1.478750000
11186.095000,1.145900000
11186.296000,1.001000000
11186.498000,1.033950000
11186.700000,0.985900000
11186.902000,1.369850000
11187.104000,1.513800000
11187.305000,0.994100000
11187.507000,1.001250000
11187.709000,0.993000000
11187.911000,1.424300000
11188.113000,1.419450000
11188.314000,1.005100000
11188.516000,1.001350000
11188.718000,1.016500000
