uptime_s,current_a
11381.437000,0.402450000
11381.639000,0.397050000
11381.841000,0.397450000
11382.042000,0.403100000
11382.244000,0.398050000
11382.446000,0.397050000
11382.648000,0.396950000
11382.850000,0.396950000
11383.051000,0.396550000
11383.253000,0.389100000
11383.455000,0.389650000
11383.657000,0.342400000
11383.859000,0.353400000
11384.060000,0.428200000
11384.262000,0.349200000
11384.464000,0.345850000
11384.666000,0.343700000
11384.868000,0.343050000
11385.069000,0.343500000
11385.271000,0.343550000
11385.473000,0.343850000
11385.675000,0.342800000
11385.877000,0.343350000
11386.078000,0.343150000
11386.280000,0.343950000
11386.482000,0.343550000
11386.684000,0.343250000
11386.886000,0.343100000
11387.087000,0.342450000
11387.289000,0.342550000
11387.491000,0.344700000
11387.693000,0.342700000
11387.895000,0.342450000
11388.096000,0.345400000
11388.298000,0.342400000
11388.500000,0.353550000
11388.702000,0.342700000
11388.904000,0.343850000
11389.105000,0.342950000
11389.307000,0.342950000
11389.509000,0.342400000
11389.711000,0.341950000
11389.913000,0.342950000
11390.114000,0.342950000
11390.316000,0.341500000
11390.518000,0.348250000
11390.720000,0.341650000
11390.922000,0.389300000
11391.123000,0.378000000
11391.325000,0.396350000
11391.527000,0.438200000
11391.729000,0.520400000
11391.931000,0.768750000
11392.132000,1.476800000
11392.334000,1.049550000
11392.536000,1.011800000
11392.738000,1.002100000
11392.940000,0.997650000
11393.141000,1.408300000
11393.343000,1.064000000
11393.545000,1.057200000
11393.747000,1.053150000
11393.949000,1.025100000
11394.150000,1.375800000
11394.352000,1.070350000
11394.554000,1.070150000
11394.756000,1.061400000
11394.958000,1.068450000
11395.159000,1.483700000
11395.361000,1.206400000
11395.563000,1.013450000
11395.765000,1.018400000
11395.967000,1.009200000
11396.168000,1.361550000
11396.370000,1.203900000
11396.572000,1.007850000
11396.774000,0.999450000
11396.976000,0.973850000
11397.177000,1.428300000
11397.379000,1.344750000
11397.581000,0.995400000
11397.783000,1.042750000
11397.985000,1.022900000
11398.186000,1.391800000
11398.388000,1.234150000
11398.590000,1.015000000
11398.792000,1.018900000
11398.994000,1.014650000
11399.195000,1.009000000
11399.397000,1.259750000
11399.599000,1.020700000
11399.801000,1.013600000
11400.003000,0.982700000
11400.204000,1.014650000
11400.406000,1.368150000
11400.608000,1.421900000
11400.810000,1.017150000
11401.012000,1.006350000
11401.213000,0.984100000
11401.415000,1.400800000
11401.617000,1.374050000
11401.819000,1.077250000
11402.021000,1.065850000
11402.222000,1.060000000
11402.424000,1.063200000
11402.626000,1.484350000
11402.828000,1.076950000
11403.030000,1.066350000
11403.231000,1.065800000
11403.433000,1.105000000
11403.635000,1.404150000
11403.837000,1.278000000
11404.039000,1.055300000
11404.240000,1.053550000
11404.442000,1.052800000
11404.644000,1.537000000
11404.846000,1.596850000
11405.048000,1.077650000
11405.249000,1.073850000
11405.451000,1.218050000
11405.653000,1.457900000
11405.855000,1.520250000
11406.057000,1.022050000
11406.258000,1.028800000
11406.460000,1.017300000
11406.662000,1.008950000
11406.864000,1.545400000
11407.066000,1.068600000
11407.267000,1.069150000
11407.469000,1.068900000
11407.671000,1.077150000
11407.873000,1.442550000
11408.075000,1.527950000
11408.276000,1.076450000
11408.478000,1.250850000
11408.680000,1.059600000
11408.882000,1.449000000
11409.084000,1.446000000
11409.285000,1.019000000
11409.487000,1.025000000
11409.689000,1.022150000
11409.891000,1.015700000
11410.093000,1.529800000
11410.294000,0.986350000
11410.496000,1.017750000
11410.698000,1.017200000
11410.900000,0.991200000
11411.102000,1.397000000
11411.303000,1.231800000
11411.505000,1.042100000
11411.707000,1.085950000
11411.909000,1.067000000
11412.111000,1.456050000
11412.312000,1.378150000
11412.514000,1.084800000
11412.716000,1.068200000
11412.918000,1.075900000
11413.120000,1.329150000
11413.321000,1.363500000
11413.523000,1.038450000
11413.725000,1.074350000
11413.927000,1.015750000
11414.129000,1.024800000
11414.330000,1.449350000
11414.532000,1.244550000
11414.734000,1.082450000
11414.936000,1.074250000
11415.138000,1.064500000
11415.339000,1.452850000
11415.541000,1.445900000
11415.743000,1.077150000
11415.945000,1.071550000
11416.147000,1.073050000
11416.348000,1.009050000
11416.550000,1.350250000
11416.752000,1.031250000
11416.954000,1.025650000
11417.156000,1.019550000
11417.357000,1.019000000
11417.559000,1.417500000
11417.761000,1.269700000
11417.963000,1.051150000
11418.165000,1.074000000
11418.366000,1.070400000
11418.568000,1.462950000
11418.770000,1.582600000
11418.972000,1.035400000
11419.174000,1.081750000
11419.375000,1.074950000
11419.577000,1.072200000
11419.779000,1.524600000
11419.981000,0.979650000
11420.183000,0.989500000
11420.384000,1.074800000
11420.586000,1.076700000
11420.788000,1.455800000
11420.990000,1.372500000
11421.192000,1.087200000
11421.393000,1.023000000
11421.595000,0.987600000
11421.797000,1.358150000
11421.999000,1.463250000
11422.201000,1.035600000
11422.402000,1.023700000
11422.604000,1.023050000
11422.806000,1.069100000
11423.008000,1.197200000
11423.210000,1.106850000
11423.411000,1.083600000
11423.613000,1.072700000
11423.815000,1.071350000
11424.017000,1.438900000
11424.219000,1.297050000
11424.420000,0.975100000
11424.622000,1.082950000
11424.824000,0.996350000
11425.026000,1.065450000
11425.228000,1.452850000
11425.429000,1.153350000
11425.631000,1.069100000
11425.833000,1.061300000
11426.035000,1.047450000
11426.237000,1.511100000
11426.438000,1.277400000
11426.640000,1.066800000
11426.842000,1.035300000
11427.044000,0.997050000
11427.246000,1.017250000
11427.447000,1.337150000
11427.649000,0.954650000
11427.851000,0.987650000
11428.053000,1.024850000
11428.255000,1.022300000
11428.456000,1.252300000
11428.658000,1.290200000
