uptime_s,current_a
14659.678000,0.398800000
14659.880000,0.390900000
14660.082000,0.385650000
14660.283000,0.385000000
14660.485000,0.386650000
14660.687000,0.386200000
14660.889000,0.388400000
14661.091000,0.385850000
14661.292000,0.384950000
14661.494000,0.385000000
14661.696000,0.339100000
14661.898000,0.338850000
14662.100000,0.350650000
14662.301000,0.339750000
14662.503000,0.338900000
14662.705000,0.338550000
14662.907000,0.339850000
14663.109000,0.339550000
14663.310000,0.339700000
14663.512000,0.339400000
14663.714000,0.338550000
14663.916000,0.339350000
14664.118000,0.339150000
14664.319000,0.339200000
14664.521000,0.340750000
14664.723000,0.338500000
14664.925000,0.338500000
14665.127000,0.338500000
14665.328000,0.338700000
14665.530000,0.337950000
14665.732000,0.338900000
14665.934000,0.349250000
14666.136000,0.375950000
14666.337000,0.338500000
14666.539000,0.337850000
14666.741000,0.338400000
14666.943000,0.338000000
14667.145000,0.338600000
14667.346000,0.338100000
14667.548000,0.387800000
14667.750000,0.386300000
14667.952000,0.385800000
14668.154000,0.338900000
14668.355000,0.338950000
14668.557000,0.338450000
14668.759000,0.338150000
14668.961000,0.350850000
14669.163000,0.337800000
14669.364000,0.338150000
14669.566000,0.379150000
14669.768000,0.519000000
14669.970000,0.504450000
14670.172000,0.556900000
14670.373000,0.613700000
14670.575000,0.568750000
14670.777000,0.466300000
14670.979000,0.479050000
14671.181000,0.636000000
14671.382000,0.466150000
14671.584000,0.466200000
14671.786000,0.466550000
14671.988000,0.636450000
14672.190000,0.605450000
14672.391000,1.024050000
14672.593000,0.979350000
14672.795000,1.228650000
14672.997000,1.066350000
14673.199000,1.157000000
14673.400000,1.174000000
14673.602000,0.937800000
14673.804000,1.220200000
14674.006000,1.050250000
14674.208000,1.169350000
14674.409000,0.941300000
14674.611000,1.076700000
14674.813000,0.712250000
14675.015000,0.712550000
14675.217000,0.708650000
14675.418000,1.242650000
14675.620000,1.549950000
14675.822000,0.996300000
14676.024000,1.212900000
14676.226000,1.204850000
14676.427000,1.207450000
14676.629000,1.276050000
14676.831000,1.144550000
14677.033000,0.952450000
14677.235000,1.120600000
14677.436000,0.886250000
14677.638000,0.987700000
14677.840000,0.669050000
14678.042000,0.669750000
14678.244000,0.668700000
14678.445000,0.627050000
14678.647000,1.067600000
14678.849000,0.951450000
14679.051000,1.133600000
14679.253000,1.209850000
14679.454000,1.091450000
14679.656000,1.147400000
14679.858000,0.968700000
14680.060000,1.059250000
14680.262000,0.998250000
14680.463000,0.958100000
14680.665000,1.093900000
14680.867000,0.987300000
14681.069000,0.718800000
14681.271000,0.717300000
14681.472000,0.713350000
14681.674000,0.678750000
14681.876000,0.933700000
14682.078000,1.042000000
14682.280000,1.053900000
14682.481000,1.211150000
14682.683000,1.233800000
14682.885000,0.904650000
14683.087000,1.225750000
14683.289000,1.106900000
14683.490000,0.950450000
14683.692000,1.201950000
14683.894000,0.937850000
14684.096000,0.664850000
14684.298000,0.675800000
14684.499000,0.670300000
14684.701000,0.676550000
14684.903000,1.069250000
14685.105000,1.316100000
14685.307000,0.632250000
14685.508000,1.109750000
14685.710000,1.017550000
14685.912000,1.091300000
14686.114000,1.168400000
14686.316000,0.950050000
14686.517000,1.109400000
14686.719000,0.712700000
14686.921000,1.047550000
14687.123000,1.145200000
14687.325000,0.953650000
14687.526000,0.677900000
14687.728000,0.677900000
14687.930000,0.673850000
14688.132000,1.054950000
14688.334000,1.099650000
14688.535000,1.427800000
14688.737000,1.163850000
14688.939000,1.171100000
14689.141000,1.045250000
14689.343000,1.186450000
14689.544000,1.051850000
14689.746000,1.144800000
14689.948000,1.050800000
14690.150000,1.008250000
14690.352000,1.003700000
14690.553000,0.964600000
14690.755000,0.678750000
14690.957000,0.678550000
14691.159000,0.673050000
14691.361000,1.070700000
14691.562000,1.299950000
14691.764000,1.006150000
14691.966000,1.168750000
14692.168000,1.099550000
14692.370000,1.137300000
14692.571000,1.269250000
14692.773000,1.110050000
14692.975000,0.923000000
14693.177000,0.992100000
14693.379000,0.938850000
14693.580000,0.958550000
14693.782000,1.219150000
14693.984000,0.725750000
14694.186000,0.726550000
14694.388000,0.728400000
14694.589000,0.681150000
14694.791000,0.886700000
14694.993000,1.385350000
14695.195000,1.153950000
14695.397000,0.787050000
14695.598000,1.154750000
14695.800000,1.150300000
14696.002000,0.956800000
14696.204000,1.122750000
14696.406000,1.038150000
14696.607000,1.068450000
14696.809000,1.034700000
14697.011000,1.003950000
14697.213000,0.679100000
14697.415000,0.676200000
14697.616000,0.676800000
14697.818000,0.637200000
14698.020000,1.213100000
14698.222000,1.263300000
14698.424000,0.635400000
14698.625000,0.980650000
14698.827000,1.103500000
14699.029000,1.133500000
