uptime_s,current_a
11776.763000,0.384100000
11776.965000,0.386700000
11777.167000,0.383800000
11777.369000,0.383700000
11777.570000,0.384700000
11777.772000,0.384200000
11777.974000,0.386900000
11778.176000,0.383800000
11778.378000,0.383500000
11778.579000,0.384400000
11778.781000,0.338050000
11778.983000,0.338300000
11779.185000,0.337400000
11779.387000,0.338250000
11779.588000,0.337900000
11779.790000,0.337800000
11779.992000,0.337850000
11780.194000,0.338150000
11780.396000,0.337350000
11780.597000,0.339900000
11780.799000,0.374850000
11781.001000,0.337750000
11781.203000,0.338850000
11781.405000,0.337350000
11781.606000,0.337500000
11781.808000,0.337250000
11782.010000,0.338200000
11782.212000,0.336950000
11782.414000,0.337750000
11782.615000,0.336900000
11782.817000,0.343400000
11783.019000,0.384400000
11783.221000,0.383900000
11783.423000,0.337400000
11783.624000,0.336650000
11783.826000,0.337200000
11784.028000,0.337350000
11784.230000,0.338900000
11784.432000,0.337650000
11784.633000,0.337300000
11784.835000,0.337100000
11785.037000,0.336750000
11785.239000,0.338250000
11785.441000,0.337550000
11785.642000,0.337550000
11785.844000,0.338100000
11786.046000,0.336800000
11786.248000,0.336650000
11786.450000,0.336950000
11786.651000,0.443550000
11786.853000,0.528400000
11787.055000,0.431200000
11787.257000,1.427350000
11787.459000,1.181800000
11787.660000,1.024100000
11787.862000,0.988400000
11788.064000,0.981000000
11788.266000,1.502700000
11788.468000,1.250800000
11788.669000,1.077500000
11788.871000,1.041800000
11789.073000,1.039850000
11789.275000,1.392800000
11789.477000,1.148650000
11789.678000,1.074150000
11789.880000,1.033800000
11790.082000,1.040800000
11790.284000,1.312650000
11790.486000,1.274500000
11790.687000,1.031500000
11790.889000,1.003700000
11791.091000,0.980200000
11791.293000,1.325250000
11791.495000,1.261250000
11791.696000,0.984450000
11791.898000,1.039050000
11792.100000,0.988500000
11792.302000,1.406600000
11792.504000,1.263050000
11792.705000,1.036050000
11792.907000,0.999750000
11793.109000,1.000100000
11793.311000,1.392850000
11793.513000,1.190050000
11793.714000,1.037250000
11793.916000,0.997650000
11794.118000,1.041800000
11794.320000,1.468400000
11794.522000,1.282250000
11794.723000,1.079250000
11794.925000,1.055900000
11795.127000,1.045800000
11795.329000,1.435950000
11795.531000,1.261950000
11795.732000,1.088500000
11795.934000,1.057500000
11796.136000,1.048750000
11796.338000,1.468700000
11796.540000,1.256350000
11796.741000,1.083500000
11796.943000,1.042000000
11797.145000,1.005300000
11797.347000,1.407450000
11797.549000,1.306000000
11797.750000,1.036350000
11797.952000,1.009750000
11798.154000,1.006100000
11798.356000,1.403100000
11798.558000,1.358000000
11798.759000,1.081000000
11798.961000,1.059050000
11799.163000,1.057650000
11799.365000,1.401200000
11799.567000,1.304100000
11799.768000,1.088800000
11799.970000,1.061500000
11800.172000,1.098900000
